Vial ,Site,Location,Rep,Collection Date,CH4 area,CH4 hgt,CO2  area,CO2 hgt,Run Date,File name,Notes,dilution sample vol (ml),dilution status,CH4 curve,CH4 conc ppm,CO2 conc ppm
181,Deans,top,2,8/16/2022,68.2468,15.361,8220.5028,900.19,10/11/2022,EDC_A_12,NA,NA,0,low,28.98131252,1794.751895
182,Deans,top,3,8/16/2022,60.4512,13.493,7864.1696,862.7,10/11/2022,EDC_A_13,NA,NA,0,low,25.79447476,1713.950786
183,Deans,top,1,8/16/2022,39.767,8.733,5516.798,621.756,10/11/2022,EDC_A_14,needle bent; don't include,NA,0,low,17.33878315,1181.667444
184,Deans,bottom,1,8/16/2022,116.6162,26.959,4269.8374,578.029,10/11/2022,EDC_A_15,split peak,NA,0,high,41.66484908,898.9101864
184,Deans,bottom,1,8/16/2022,102.7794,23.604,6363.4012,705.518,10/11/2022,EDC_A_15.01,NA,NA,0,high,38.73161006,1373.64079
185,Deans,bottom,2,8/16/2022,125.3335,29.112,8218.4177,889.076,10/11/2022,EDC_A_16,NA,NA,0,high,43.51281426,1794.279083
186,Deans,bottom,3,8/16/2022,121.7912,28.241,5986.618,665.064,10/11/2022,EDC_A_17,NA,NA,0,high,42.76188828,1288.202498
187,Deans,outlet,1,8/16/2022,40.427,8.927,4468.9028,508.958,10/11/2022,EDC_A_18,NA,NA,0,low,17.60859085,944.0496933
188,Deans,outlet,2,8/16/2022,40.1722,8.857,3857.1342,445.53,10/11/2022,EDC_A_19,NA,NA,0,low,17.50442873,805.3267764
calibration check,NA,NA,NA,NA,966.7084,225.505,50395.6021,4321.849,10/11/2022,EDC_A_20,NA,NA,0,high,221.8744072,11358.25808
calibration check,NA,NA,NA,NA,1015.7251,235.546,52790.903,4495.02,10/11/2022,EDC_A_21,NA,NA,0,high,232.2653717,11901.40974
189,Deans,outlet,3,8/16/2022,19.1283,4.197,3756.942,434.238,10/11/2022,EDC_A_22,NA,NA,0,low,8.901691919,782.6074766
190,Deans,inlet,1,8/16/2022,2575.8112,555.133,23905.3108,2287.716,10/11/2022,EDC_A_23,exceeds highest standard,NA,0,high,562.9852944,5351.394579
191,Deans,inlet,2,8/16/2022,4661.2406,982.849,36322.9594,3271.408,10/11/2022,EDC_A_24,exceeds highest standard,NA,0,high,1005.071824,8167.185442
192,Deans,inlet,3,8/16/2022,3256.5768,694.902,22834.327,2188.911,10/11/2022,EDC_A_25,exceeds highest standard,NA,0,high,707.2996028,5108.541323
203,Sister3,inlet,1,8/23/2022,0,0,6114.6444,670.416,10/11/2022,EDC_A_26,NA,NA,0,low,1.082051524,1317.233402
204,Sister3,inlet,2,8/23/2022,0,0,5296.612,588.335,10/11/2022,EDC_A_27,NA,NA,0,low,1.082051524,1131.73869
205,Sister3,inlet,3,8/23/2022,0,0,"6,235",680.854,10/11/2022,EDC_A_28,NA,NA,0,low,1.082051524,1344.552244
206,Sister3,bottom,1,8/23/2022,1644.1754,363.223,10708.607,1108.718,10/11/2022,EDC_A_29,exceeds highest standard,NA,0,high,365.4894512,2358.947363
209,Sister3,top,1,8/23/2022,107.2822,24.722,2967.5084,349.38,10/11/2022,EDC_A_30,NA,NA,0,high,39.68615076,603.5977471
calibration check,NA,NA,NA,NA,1006.8003,234.465,51635.1136,4326.79,10/11/2022,EDC_A_31,NA,NA,0,high,230.3734189,11639.32621
210,Sister3,top,2,8/23/2022,110.9326,25.671,3540.675,408.507,10/11/2022,EDC_A_32,NA,NA,0,high,40.45999267,733.5673836
211,Sister3,top,3,8/23/2022,112.033,26.007,3588.2808,413.496,10/11/2022,EDC_A_33,NA,NA,0,high,40.69326454,744.3623401
212,Sister3,outlet,1,8/23/2022,500.7358,121.396,6307.2048,684.775,10/11/2022,EDC_A_34,NA,NA,0,high,123.093691,1360.897854
213,Sister3,outlet,2,8/23/2022,527.4325,127.602,6275.6996,681.303,10/11/2022,EDC_A_35,NA,NA,0,high,128.7530777,1353.753824
214,Sister3,outlet,3,8/23/2022,501.173,121.287,7508.9491,800.163,10/11/2022,EDC_A_36,NA,NA,0,high,123.1863723,1633.401991
226,Deans,inlet,1,8/31/2022,3963.3626,840.175,30524.9106,2762.235,10/11/2022,EDC_A_37,exceeds highest standard,NA,0,high,857.1298879,6852.436301
229,Deans,outlet,1,8/31/2022,690.71,164.666,15810.7374,1554.622,10/11/2022,EDC_A_39,NA,NA,0,high,163.3659893,3515.892017
230,Deans,outlet,2,8/31/2022,863.8248,202.041,10798.7746,1106.207,10/11/2022,EDC_A_40,NA,NA,0,high,200.0642928,2379.393513
231,Deans,outlet,3,8/31/2022,1108.1534,253.563,9573.8298,992.076,10/11/2022,EDC_A_41,NA,NA,0,high,251.8590853,2101.628496
232,Deans,top,1,8/31/2022,22.719,4.9575,4586.7668,511.858,10/11/2022,EDC_A_42,NA,NA,0,low,10.36956846,970.7762004
calibration check,NA,NA,NA,NA,1005.121,234.193,50978.6626,4126.966,10/11/2022,EDC_A_43,NA,NA,0,high,230.0174271,11490.47123
233,Deans,top,2,8/31/2022,480.4426,116.788,5735.4404,625.193,10/11/2022,EDC_A_44,NA,NA,0,high,118.791771,1231.246176
234,Deans,top,3,8/31/2022,23.062,5.023,4884.5013,540.48,10/11/2022,EDC_A_45,NA,NA,0,low,10.5097867,1038.289633
235,Deans,bottom,1,8/31/2022,23.8256,5.19,2749.1506,324.532,10/11/2022,EDC_A_46,NA,NA,0,low,10.82194604,554.0835501
236,Deans,bottom,2,8/31/2022,31.6416,6.934,3719.4136,424.027,10/11/2022,EDC_A_47,NA,NA,0,low,14.0171233,774.0976428
237,Deans,bottom,3,8/31/2022,37.658,8.324,2864.9342,336.268,10/11/2022,EDC_A_48,NA,NA,0,low,16.47662491,580.3383117
249,Catfish,inlet,3,9/6/2022,91.224,20.822,10299.0246,1052.745,10/11/2022,EDC_A_49,NA,NA,0,high,36.28200103,2266.071617
250,Catfish,inlet,2,9/6/2022,69.7761,15.805,9851.0892,1011.587,10/11/2022,EDC_A_50,NA,NA,0,low,29.60648967,2164.499053
251,Catfish,inlet,1,9/6/2022,41.6533,9.199,10873.2844,1104.03,10/11/2022,EDC_A_51,NA,NA,0,low,18.10990174,2396.289145
252,Catfish,outlet,1,9/6/2022,215.1565,51.658,11157.7472,1128.914,10/11/2022,EDC_A_52,NA,NA,0,high,62.55423487,2460.793124
253,Catfish,outlet,2,9/6/2022,347.3978,84.94,9949.2013,1018.537,10/11/2022,EDC_A_53,NA,NA,0,high,90.58783668,2186.746676
calibration check,NA,NA,NA,NA,1004.1984,234.097,50679.0946,4150.09,10/11/2022,EDC_A_54,NA,NA,0,high,229.8218467,11422.54204
