Vial,Site,Location,Rep,Collection Date,CH4 area,CH4 hgt,CO2  area,CO2 hgt,Run Date,File name,Notes,dilution sample vol (ml),dilution status,CO2 curve,Measured CH4 conc ppm,Measured CO2 conc ppm,Sample Vol,Final Vol,Undiluted CH4 conc ppm,Undiluted CO2 conc ppm
0206,Sister3,bottom,1,8/23/2022,35.5316,8.378,314.161,34.981,10/12/2022,EDC_B_16,NA,NA,0,low,177.7365706,1432.092481,NA,NA,177.7365706,1432.092481
0207,Sister3,bottom,2,8/23/2022,20.772,5.061,223.199,25.545,10/12/2022,EDC_B_17,NA,NA,0,low,105.3736947,990.37957,NA,NA,105.3736947,990.37957
diluted 1% std,NA,NA,1,NA,1.7838,0.387,7.9136,1.009,10/12/2022,EDC_B_18,NA,1 mL in 59 mL zero air,1,low,12.27897929,-55.04973771,1,60,736.7387576,-3302.984263
diluted 1% std,NA,NA,2,NA,7.7162,1.831,27.2238,3.695,10/12/2022,EDC_B_19,NA,NA,0,low,41.36415269,38.72089893,NA,NA,41.36415269,38.72089893
0208,Sister3,bottom,3,8/23/2022,19.8148,4.85,239.8028,27.067,10/12/2022,EDC_B_20,NA,NA,0,low,100.6807663,1071.007885,NA,NA,100.6807663,1071.007885
0190,Deans,inlet,1,8/16/2022,60.4464,13.737,650.373,66.719,10/12/2022,EDC_B_21,NA,NA,0,low,299.8880233,3064.743271,NA,NA,299.8880233,3064.743271
0191,Deans,inlet,2,8/16/2022,110.5558,24.116,964.2036,94.456,10/12/2022,EDC_B_22,NA,NA,0,low,545.5627229,4588.709628,NA,NA,545.5627229,4588.709628
0192,Deans,inlet,3,8/16/2022,96.3228,21.195,839.2874,83.322,10/12/2022,EDC_B_23,NA,NA,0,low,475.7816439,3982.114585,NA,NA,475.7816439,3982.114585
0226,Deans,inlet,1,8/31/2022,105.968,23.185,914.7454,89.661,10/12/2022,EDC_B_24,NA,NA,0,low,523.0698096,4348.539827,NA,NA,523.0698096,4348.539827
"calibration check (200 ppm CH4, 10000 CO2)",NA,NA,NA,NA,46.7576,10.973,2350.5912,200.518,10/12/2022,EDC_B_25,NA,NA,0,low,205.2671855,9430.991909,NA,NA,205.2671855,9430.991909
"calibration check (200 ppm CH4, 10000 CO2)",NA,NA,NA,NA,47.2896,11.103,2403.9163,204.456,10/12/2022,EDC_B_26,NA,NA,0,low,207.5672287,9646.708333,NA,NA,207.5672287,9646.708333
0227,Deans,inlet,2,8/31/2022,191.275,40.872,1524.7582,139.202,10/12/2022,EDC_B_27,NA,NA,0,low,941.3101317,7310.771632,NA,NA,941.3101317,7310.771632
0228,Deans,inlet,3,8/31/2022,158.6528,34.093,1465.0256,134.168,10/12/2022,EDC_B_28,NA,NA,0,low,781.3710946,7020.709182,NA,NA,781.3710946,7020.709182
0231,Deans,outlet,3,8/31/2022,23.4947,5.742,314.7684,34.132,10/12/2022,EDC_B_29,NA,NA,0,low,118.7224577,1435.042025,NA,NA,118.7224577,1435.042025
DIL1,NA,NA,NA,NA,1989.5816,384.814,3549.7964,274.693,10/12/2022,EDC_B_30,NA,NA,0,high,9757.987914,18855.44878,NA,NA,9757.987914,18855.44878
DIL2,NA,NA,NA,NA,2065.7646,397.852,3659.4972,230.178,10/12/2022,EDC_B_31,NA,NA,0,high,10131.49539,19561.9167,NA,NA,10131.49539,19561.9167
DIL3,NA,NA,NA,NA,2061.4882,396.334,3663.024,279.89,10/12/2022,EDC_B_32,NA,NA,0,high,10110.5292,19584.62912,NA,NA,10110.5292,19584.62912
0276,Picks,top,1,9/13/2022,852.0005,173.267,1885.1788,164.252,10/12/2022,EDC_B_33,NA,NA,0,low,4180.693136,9060.979767,NA,NA,4180.693136,9060.979767
