Vial ,Site,Location,Rep,Collection Date,CH4 area,CH4 hgt,CO2  area,CO2 hgt,Run Date,File name,Notes,dilution sample vol (ml),dilution status,CH4 Curve,Measured CH4 conc ppm,Measured CO2 conc ppm,Sample Vol,Final Vol,Undiluted CH4 conc ppm,Undiluted CO2 conc ppm
0161,Catfish,zero air,NA,7/28/2022,1.3236,0.279,1106.8502,163.631,10/14/2022,EDC_D_72,NA,NA,0,low,1.053478034,239.9265691,NA,NA,1.053478034,239.9265691
0162,Catfish,zero air,NA,7/28/2022,1.7314,0.38,847.3306,127.218,10/14/2022,EDC_D_73,NA,NA,0,low,1.234320071,184.9356293,NA,NA,1.234320071,184.9356293
0163,Catfish,zero air,NA,7/28/2022,1.9087,0.396,1366.3559,198.146,10/14/2022,EDC_D_74,NA,NA,0,low,1.312945115,294.9145635,NA,NA,1.312945115,294.9145635
0164,Catfish,top,1,7/28/2022,48.2215,10.765,3957.801,525.477,10/14/2022,EDC_D_76,NA,NA,0,low,21.85071136,844.029164,NA,NA,21.85071136,844.029164
0165,Catfish,top,2,7/28/2022,68.758,15.601,4410.3366,580.991,10/14/2022,EDC_D_77,NA,NA,0,low,30.95777974,939.9192545,NA,NA,30.95777974,939.9192545
0166,Catfish,top,3,7/28/2022,20.7108,4.491,4756.313,625.84,10/14/2022,EDC_D_78,Hard to pull,NA,0,low,9.650880518,1013.229969,NA,NA,9.650880518,1013.229969
0167,Catfish,bottom,1,7/28/2022,NA,NA,22836.0268,2766.542H8:I8,10/14/2022,EDC_D_79,Hard to pull; double peak,NA,0,high,NA,4844.233304,NA,NA,NA,4844.233304
0167,Catfish,bottom,1,7/28/2022,1.7659,0.394,160.574,22.591,10/14/2022,EDC_D_80,Possibly could not retrieve enough gas,1 mL in 10mL glass syringe,1,low,1.24961936,39.41524912,1,10,12.4961936,394.1524912
0168,Catfish,bottom,2,7/28/2022,2649.6031,572.817,1569.6392,225.467,10/14/2022,EDC_D_81,NA,1 mL in 10mL glass syringe,1,high,575.7674922,337.9893051,1,10,5757.674922,3379.893051
0168,Catfish,bottom,2,7/28/2022,364.2194,89.914,172.2713,24.519,10/14/2022,EDC_D_82,NA,0.1mL in 10mL glass syringe,1,high,94.72809673,41.89385004,0.1,10,9472.809673,4189.385004
0169,Catfish,bottom,3,7/28/2022,957.0707,223.947,409.2728,61.482,10/14/2022,EDC_D_83,NA,0.1mL in 10mL glass syringe,1,high,219.5145083,92.11331407,0.1,10,21951.45083,9211.331407
0170,Catfish,outlet,1,7/28/2022,6.2699,1.314,8893.9685,1128.207,10/14/2022,EDC_D_84,NA,NA,0,low,3.246952693,1889.979026,NA,NA,3.246952693,1889.979026
"calibration check 30 ppm CH4, 2000 ppm CO2",NA,NA,NA,NA,29.3506,7.072,4752.0642,645.05,10/14/2022,EDC_D_85,Didn't properly flush the sample loop,NA,0,low,13.48226607,1012.329669,NA,NA,13.48226607,1012.329669
"calibration check 30 ppm CH4, 2000 ppm CO2",NA,NA,NA,NA,77.4997,17.807,11654.0728,1459.226,10/14/2022,EDC_D_86,NA,NA,0,high,34.37784956,2474.83169,NA,NA,34.37784956,2474.83169
"calibration check 30 ppm CH4, 2000 ppm CO2",NA,NA,NA,NA,77.902,17.81,11579.0475,1451.803,10/14/2022,EDC_D_87,NA,NA,0,high,34.46252775,2458.934194,NA,NA,34.46252775,2458.934194
0171,Catfish,outlet,2,7/28/2022,4.5554,0.939,8471.8491,1077.344,10/14/2022,EDC_D_88,NA,NA,0,low,2.486644523,1800.53398,NA,NA,2.486644523,1800.53398
0172,Catfish,outlet,3,7/28/2022,4,0.878,7819.6836,997.78,10/14/2022,EDC_D_89,NA,NA,0,low,2.343585079,1662.343286,NA,NA,2.343585079,1662.343286
