Serial Number:	20725838 --

Date Time, GMT -0400	Temp, (*F)	Button Down	Button Up	Host Connect	Stopped	EOF	
2022-06-03 14:20:47	72.23	 	 	 	 	 	
2022-06-03 14:20:48	72.30	 	 	 	 	 	
2022-06-03 14:20:49	72.30	 	 	 	 	 	
2022-06-03 14:20:50	72.23	 	 	 	 	 	
2022-06-03 14:20:51	72.23	 	 	 	 	 	
2022-06-03 14:20:52	72.23	 	 	 	 	 	
2022-06-03 14:20:53	72.23	 	 	 	 	 	
2022-06-03 14:20:54	72.23	 	 	 	 	 	
2022-06-03 14:20:55	72.23	 	 	 	 	 	
2022-06-03 14:20:56	72.23	 	 	 	 	 	
2022-06-03 14:20:57	72.23	 	 	 	 	 	
2022-06-03 14:20:58	72.23	 	 	 	 	 	
2022-06-03 14:20:59	72.23	 	 	 	 	 	
2022-06-03 14:21:00	72.30	 	 	 	 	 	
2022-06-03 14:21:01	72.23	 	 	 	 	 	
2022-06-03 14:21:02	72.23	 	 	 	 	 	
2022-06-03 14:21:03	72.30	 	 	 	 	 	
2022-06-03 14:21:04	72.23	 	 	 	 	 	
2022-06-03 14:21:05	72.23	 	 	 	 	 	
2022-06-03 14:21:06	72.23	 	 	 	 	 	
2022-06-03 14:21:07	72.23	 	 	 	 	 	
2022-06-03 14:21:08	72.23	 	 	 	 	 	
2022-06-03 14:21:09	72.23	 	 	 	 	 	
2022-06-03 14:21:10	72.23	 	 	 	 	 	
2022-06-03 14:21:11	72.23	 	 	 	 	 	
2022-06-03 14:21:12	72.30	 	 	 	 	 	
2022-06-03 14:21:13	72.23	 	 	 	 	 	
2022-06-03 14:21:14	72.23	 	 	 	 	 	
2022-06-03 14:21:15	72.23	 	 	 	 	 	
2022-06-03 14:21:16	72.23	 	 	 	 	 	
2022-06-03 14:21:17	72.23	 	 	 	 	 	
2022-06-03 14:21:18	72.23	 	 	 	 	 	
2022-06-03 14:21:19	72.23	 	 	 	 	 	
2022-06-03 14:21:20	72.23	 	 	 	 	 	
2022-06-03 14:21:21	72.23	 	 	 	 	 	
2022-06-03 14:21:22	72.30	 	 	 	 	 	
2022-06-03 14:21:23	72.23	 	 	 	 	 	
2022-06-03 14:21:24	72.23	 	 	 	 	 	
2022-06-03 14:21:25	72.30	 	 	 	 	 	
2022-06-03 14:21:26	72.23	 	 	 	 	 	
2022-06-03 14:21:27	72.23	 	 	 	 	 	
2022-06-03 14:21:28	72.30	 	 	 	 	 	
2022-06-03 14:21:29	72.15	 	 	 	 	 	
2022-06-03 14:21:30	72.23	 	 	 	 	 	
2022-06-03 14:21:31	72.23	 	 	 	 	 	
2022-06-03 14:21:32	72.30	 	 	 	 	 	
2022-06-03 14:21:33	72.23	 	 	 	 	 	
2022-06-03 14:21:34	72.23	 	 	 	 	 	
2022-06-03 14:21:35	72.23	 	 	 	 	 	
2022-06-03 14:21:36	72.23	 	 	 	 	 	
2022-06-03 14:21:37	72.23	 	 	 	 	 	
2022-06-03 14:21:38	72.30	 	 	 	 	 	
2022-06-03 14:21:39	72.30	 	 	 	 	 	
2022-06-03 14:21:40	72.23	 	 	 	 	 	
2022-06-03 14:21:41	72.23	 	 	 	 	 	
2022-06-03 14:21:42	72.23	 	 	 	 	 	
2022-06-03 14:21:43	72.23	 	 	 	 	 	
2022-06-03 14:21:44	72.30	 	 	 	 	 	
2022-06-03 14:21:45	72.23	 	 	 	 	 	
2022-06-03 14:21:46	72.30	 	 	 	 	 	
2022-06-03 14:21:47	72.23	 	 	 	 	 	
2022-06-03 14:21:48	72.23	 	 	 	 	 	
2022-06-03 14:21:49	72.23	 	 	 	 	 	
2022-06-03 14:21:50	72.23	 	 	 	 	 	
2022-06-03 14:21:51	72.23	 	 	 	 	 	
2022-06-03 14:21:52	72.23	 	 	 	 	 	
2022-06-03 14:21:53	72.23	 	 	 	 	 	
2022-06-03 14:21:54	72.23	 	 	 	 	 	
2022-06-03 14:21:55	72.23	 	 	 	 	 	
2022-06-03 14:21:56	72.23	 	 	 	 	 	
2022-06-03 14:21:57	72.23	 	 	 	 	 	
2022-06-03 14:21:58	72.23	 	 	 	 	 	
2022-06-03 14:21:59	72.23	 	 	 	 	 	
2022-06-03 14:22:00	72.23	 	 	 	 	 	
2022-06-03 14:22:01	72.23	 	 	 	 	 	
2022-06-03 14:22:02	72.30	 	 	 	 	 	
2022-06-03 14:22:03	72.30	 	 	 	 	 	
2022-06-03 14:22:04	72.15	 	 	 	 	 	
2022-06-03 14:22:05	72.15	 	 	 	 	 	
2022-06-03 14:22:06	72.23	 	 	 	 	 	
2022-06-03 14:22:07	72.38	 	 	 	 	 	
2022-06-03 14:22:08	72.30	 	 	 	 	 	
2022-06-03 14:22:09	72.15	 	 	 	 	 	
2022-06-03 14:22:10	72.23	 	 	 	 	 	
2022-06-03 14:22:11	72.23	 	 	 	 	 	
2022-06-03 14:22:12	72.23	 	 	 	 	 	
2022-06-03 14:22:13	72.23	 	 	 	 	 	
2022-06-03 14:22:14	72.15	 	 	 	 	 	
2022-06-03 14:22:15	72.23	 	 	 	 	 	
2022-06-03 14:22:16	72.23	 	 	 	 	 	
2022-06-03 14:22:17	72.23	 	 	 	 	 	
2022-06-03 14:22:18	72.23	 	 	 	 	 	
2022-06-03 14:22:19	72.30	 	 	 	 	 	
2022-06-03 14:22:20	72.23	 	 	 	 	 	
2022-06-03 14:22:21	72.23	 	 	 	 	 	
2022-06-03 14:22:22	72.23	 	 	 	 	 	
2022-06-03 14:22:23	72.15	 	 	 	 	 	
2022-06-03 14:22:24	72.23	 	 	 	 	 	
2022-06-03 14:22:25	72.30	 	 	 	 	 	
2022-06-03 14:22:26	72.23	 	 	 	 	 	
2022-06-03 14:22:27	72.23	 	 	 	 	 	
2022-06-03 14:22:28	72.15	 	 	 	 	 	
2022-06-03 14:22:29	72.23	 	 	 	 	 	
2022-06-03 14:22:30	72.23	 	 	 	 	 	
2022-06-03 14:22:31	72.15	 	 	 	 	 	
2022-06-03 14:22:32	72.23	 	 	 	 	 	
2022-06-03 14:22:33	72.23	 	 	 	 	 	
2022-06-03 14:22:34	72.23	 	 	 	 	 	
2022-06-03 14:22:35	72.23	 	 	 	 	 	
2022-06-03 14:22:36	72.23	 	 	 	 	 	
2022-06-03 14:22:37	72.15	 	 	 	 	 	
2022-06-03 14:22:38	72.23	 	 	 	 	 	
2022-06-03 14:22:39	72.23	 	 	 	 	 	
2022-06-03 14:22:40	72.23	 	 	 	 	 	
2022-06-03 14:22:41	72.23	 	 	 	 	 	
2022-06-03 14:22:42	72.23	 	 	 	 	 	
2022-06-03 14:22:43	72.23	 	 	 	 	 	
2022-06-03 14:22:44	72.30	 	 	 	 	 	
2022-06-03 14:22:45	72.23	 	 	 	 	 	
2022-06-03 14:22:46	72.23	 	 	 	 	 	
2022-06-03 14:22:47	72.23	 	 	 	 	 	
2022-06-03 14:22:48	72.15	 	 	 	 	 	
2022-06-03 14:22:49	72.23	 	 	 	 	 	
2022-06-03 14:22:50	72.23	 	 	 	 	 	
2022-06-03 14:22:51	72.30	 	 	 	 	 	
2022-06-03 14:22:52	72.23	 	 	 	 	 	
2022-06-03 14:22:53	72.23	 	 	 	 	 	
2022-06-03 14:22:54	72.30	 	 	 	 	 	
2022-06-03 14:22:55	72.30	 	 	 	 	 	
2022-06-03 14:22:56	72.23	 	 	 	 	 	
2022-06-03 14:22:57	72.23	 	 	 	 	 	
2022-06-03 14:22:58	72.23	 	 	 	 	 	
2022-06-03 14:22:59	72.23	 	 	 	 	 	
2022-06-03 14:23:00	72.23	 	 	 	 	 	
2022-06-03 14:23:01	72.15	 	 	 	 	 	
2022-06-03 14:23:02	72.23	 	 	 	 	 	
2022-06-03 14:23:03	72.23	 	 	 	 	 	
2022-06-03 14:23:04	72.23	 	 	 	 	 	
2022-06-03 14:23:05	72.30	 	 	 	 	 	
2022-06-03 14:23:06	72.23	 	 	 	 	 	
2022-06-03 14:23:07	72.23	 	 	 	 	 	
2022-06-03 14:23:08	72.23	 	 	 	 	 	
2022-06-03 14:23:09	72.23	 	 	 	 	 	
2022-06-03 14:23:10	72.23	 	 	 	 	 	
2022-06-03 14:23:11	72.30	 	 	 	 	 	
2022-06-03 14:23:12	72.23	 	 	 	 	 	
2022-06-03 14:23:13	72.23	 	 	 	 	 	
2022-06-03 14:23:14	72.15	 	 	 	 	 	
2022-06-03 14:23:15	72.23	 	 	 	 	 	
2022-06-03 14:23:16	72.30	 	 	 	 	 	
2022-06-03 14:23:17	72.23	 	 	 	 	 	
2022-06-03 14:23:18	72.30	 	 	 	 	 	
2022-06-03 14:23:19	72.23	 	 	 	 	 	
2022-06-03 14:23:20	72.15	 	 	 	 	 	
2022-06-03 14:23:21	72.23	 	 	 	 	 	
2022-06-03 14:23:22	72.23	 	 	 	 	 	
2022-06-03 14:23:23	72.23	 	 	 	 	 	
2022-06-03 14:23:24	72.23	 	 	 	 	 	
2022-06-03 14:23:25	72.23	 	 	 	 	 	
2022-06-03 14:23:26	72.23	 	 	 	 	 	
2022-06-03 14:23:27	72.23	 	 	 	 	 	
2022-06-03 14:23:28	72.15	 	 	 	 	 	
2022-06-03 14:23:29	72.23	 	 	 	 	 	
2022-06-03 14:23:30	72.23	 	 	 	 	 	
2022-06-03 14:23:31	72.30	 	 	 	 	 	
2022-06-03 14:23:32	72.23	 	 	 	 	 	
2022-06-03 14:23:33	72.30	 	 	 	 	 	
2022-06-03 14:23:34	72.23	 	 	 	 	 	
2022-06-03 14:23:35	72.23	 	 	 	 	 	
2022-06-03 14:23:36	72.30	 	 	 	 	 	
2022-06-03 14:23:37	72.23	 	 	 	 	 	
2022-06-03 14:23:38	72.23	 	 	 	 	 	
2022-06-03 14:23:39	72.30	 	 	 	 	 	
2022-06-03 14:23:40	72.30	 	 	 	 	 	
2022-06-03 14:23:41	72.23	 	 	 	 	 	
2022-06-03 14:23:42	72.23	 	 	 	 	 	
2022-06-03 14:23:43	72.23	 	 	 	 	 	
2022-06-03 14:23:44	72.23	 	 	 	 	 	
2022-06-03 14:23:45	72.30	 	 	 	 	 	
2022-06-03 14:23:46	72.23	 	 	 	 	 	
2022-06-03 14:23:47	72.23	 	 	 	 	 	
2022-06-03 14:23:48	72.30	 	 	 	 	 	
2022-06-03 14:23:49	72.23	 	 	 	 	 	
2022-06-03 14:23:50	72.23	 	 	 	 	 	
2022-06-03 14:23:51	72.23	 	 	 	 	 	
2022-06-03 14:23:52	72.30	 	 	 	 	 	
2022-06-03 14:23:53	72.23	 	 	 	 	 	
2022-06-03 14:23:54	72.23	 	 	 	 	 	
2022-06-03 14:23:55	72.23	 	 	 	 	 	
2022-06-03 14:23:56	72.23	 	 	 	 	 	
2022-06-03 14:23:57	72.30	 	 	 	 	 	
2022-06-03 14:23:58	72.23	 	 	 	 	 	
2022-06-03 14:23:59	72.30	 	 	 	 	 	
2022-06-03 14:24:00	72.23	 	 	 	 	 	
2022-06-03 14:24:01	72.23	 	 	 	 	 	
2022-06-03 14:24:02	72.23	 	 	 	 	 	
2022-06-03 14:24:03	72.23	 	 	 	 	 	
2022-06-03 14:24:04	72.23	 	 	 	 	 	
2022-06-03 14:24:05	72.23	 	 	 	 	 	
2022-06-03 14:24:06	72.30	 	 	 	 	 	
2022-06-03 14:24:07	72.23	 	 	 	 	 	
2022-06-03 14:24:08	72.23	 	 	 	 	 	
2022-06-03 14:24:09	72.23	 	 	 	 	 	
2022-06-03 14:24:10	72.23	 	 	 	 	 	
2022-06-03 14:24:11	72.23	 	 	 	 	 	
2022-06-03 14:24:12	72.23	 	 	 	 	 	
2022-06-03 14:24:13	72.15	 	 	 	 	 	
2022-06-03 14:24:14	72.23	 	 	 	 	 	
