Location,trip,Trap,gas.vol,vial.number,anemometer,date,diffusive.start,diffusive.end,YSI.temp.top,YSI.mmHg.top,YSI.DO.top,YSI.DO.conc.top,YSI.SPC.top,YSI.C.top,YSI.pH.top,YSI.temp.bottom,YSI.mmHg.bottom,YSI.DO.bottom,YSI.DO.conc.bottom,YSI.SPC.bottom,YSI.C.bottom,YSI.pH.bottom,duckweed.shade,notes
Pick,1,P1A,0,,0.2/0.1,6/20/2022,10:54:00.203,10:55:41.881,26.2,751.3,29.6,2.32,54.3,55.6,6.71,26.1,751.2,21.9,1.8,55.4,56.6,6.66,,
Pick,1,P1B,0,,0.4/0.3,6/20/2022,11:00:56.399,11:02:17.277,26.4,751.2,30.1,2.4,54.2,55.6,6.7,21.8,751.2,0.4,0.04,107.6,101.2,6.43,,
Pick,1,P1C,0,,0.1/0.0,6/20/2022,11:07:47.094,11:08:33.879,26.4,751.1,26.3,2.07,54.7,56.1,6.67,17.2,751.1,0.5,0.05,311.5,266.1,7.07,,
Pick,1,P1D,0,,0.7/0.3,6/20/2022,11:11:51.777,11:12:52.690,26.7,751.1,31.4,2.52,54.2,56.2,6.13,15.2,751,0.7,0.07,420.3,345.1,7.3,,
Pick,1,P1E,0,,0.3/0.2,6/20/2022,11:17:05.575,11:18:04.486,26.5,751,31.3,2.39,54.3,55.8,6.72,19.6,751,0.5,0.04,224.6,200.9,6.8,,
Pick,1,P2A,2.5,,0.4/0.6,6/20/2022,11:27:13.178,11:28:06.082,26.6,751,27.6,21.9,54.5,56.2,6.7,26.3,751,22.9,1.88,54.6,56,6.67,in shade/broad leaf macrophyte,
Pick,1,P2B,0,,1.4/1.6,6/20/2022,11:30:57.877,11:32:49.883,26.9,751,29.7,2.33,54.7,56.6,6.68,26,751,15.2,1.22,55.8,56.8,6.59,,
Pick,1,P2C,0,,0.6/0.9,6/20/2022,11:34:43.777,11:35:58.679,26.8,751,26.7,2.1,54.8,56.8,6.65,16.2,751,0.3,0.03,442.7,368,7.33,,
Pick,1,P2D,0,,0.8/1.2,6/20/2022,11:39:30.377,11:40:36.379,26.9,751,32.5,2.51,54.6,56.6,6.72,21.1,751,0.3,0.03,196.6,182.1,6.75,,
Pick,1,P2E,0,,0.8/0.2,6/20/2022,11:42:51.000,11:44:03.262,27.3,750.9,41.9,3.33,54.5,56.8,6.82,26.4,751,38.8,3.05,54.4,55.8,6.72,,
