trip,trap.number,gas.vol,diffusive.start
1,P1A,0,10:54:00.203
1,P1B,0,11:00:56.399
1,P1C,0,11:07:47.094
1,P1D,0,11:11:51.777
1,P1E,0,11:17:05.575
1,P2A,2.5,11:27:13.178
1,P2B,0,11:30:57.877
1,P2C,0,11:34:43.777
1,P2D,0,11:39:30.377
1,P2E,0,11:52:51.280
1,P3A,1,11:51:37.000
1,P3B,0,11:55:42.014
1,P3C,0,12:01:09.983
1,P3D,1,12:05:16.977
1,P3E,0,12:10:04.893
1,P4A,0,12:19:38.457
1,P4B,0,12:24:19.858
1,P4C,0,12:30:28.057
1,P4D,0,12:36:54.455
1,P4E,0,12:40:25.860
1,P5A,0,12:44:46.156
1,P5B,0,12:51:17.459
1,P5C,0,12:55:29.160
1,P5D,0,12:59:13.058
1,P5E,0,13:02:32.753
2,P1A,2.5,14:43:49.483
2,P1B,0,14:48:03.964
2,P1C,0,14:53:18.461
2,P1D,1,14:58:54.969
2,P1E,1,15:02:03.566
2,P2A,60,15:09:52.165
2,P2B,0,15:16:58.771
2,P2C,0,15:20:30.564
2,P2D,0,15:27:31.368
2,P2E,0,15:30:46.275
2,P3A,2.5,15:34:51.176
2,P3B,1,15:39:59.973
2,P3C,1,15:42:54.874
2,P3D,1,15:49:49.771
2,P3E,0,15:52:50.688
2,P4A,0,16:04:54.574
2,P4B,0,16:15:20.371
2,P4C,1,16:18:53.369
2,P4D,0,16:26:11.375
2,P4E,0,16:32:29.374
2,P5A,0,16:54:17.874
2,P5B,25,16:49:08.875
2,P5C,0,16:43:41.085
2,P5D,0,16:39:55.179
2,P5E,2.5,16:36:00.276
3,P1A,7.5,18:42:26.198
3,P1B,0,18:46:21.984
3,P1C,0,18:50:50.369
3,P1D,1,18:55:40.788
3,P1E,1,18:59:56.668
4,P1A,10,19:52:47.367
4,P1B,0,19:57:14.801
4,P1C,0,20:02:23.564
4,P1D,1,20:05:50.167
4,P1E,2.5,20:09:26.065
4,P2A,0,20:17:10.771
4,P2B,1,20:24:40.466
4,P2C,1,20:27:52.273
4,P2D,0,20:35:31.871
4,P2E,1,20:38:46.169
4,P3A,7,20:44:57.574
4,P3B,1,20:48:07.573
4,P3C,10,20:51:50.584
4,P3D,2,20:55:27.375
4,P3E,0,20:58:08.375
4,P4A,10,21:02:44.277
4,P4B,7,21:12:24.381
4,P4C,2,21:16:02.075
4,P4D,125,21:25:12.782
4,P4E,10,21:29:01.676
4,P5A,2,21:47:15.380
4,P5B,2.5,21:43:19.476
4,P5C,5,21.39:49.579
4,P5D,12,21:37:19.581
4,P5E,12,21:33:52.577
6,P1A,12,5:42:53.685
6,P1B,1,
6,P1C,0,5:26:57.379
6,P1D,0,
6,P1E,0,5:32:09.876
6,P2A,0,5:37:15.380
6,P2B,1,
6,P2C,0,5:34:02.876
6,P2D,0,
6,P2E,2,5:48:54.575
5,P1A,10,0:50:30.162
5,P1B,0,
5,P1C,0,0:57:05.560
5,P1D,5,
5,P1E,2,1:02:00.863
5,P2A,0,1:11:33.168
5,P2B,1,
5,P2C,0,1:17:17.970
5,P2D,0,
5,P2E,0.1,1:23:27.565
5,P3A,0,1:28:27.264
5,P3B,1,
5,P3C,10,1:32:38.970
5,P3D,3,
5,P3E,0,1:37:04.673
5,P4A,15,1:44:41.560
5,P4B,8,
5,P4C,0,1:54:41.166
5,P4D,0,
5,P4E,1,2:02:27.171
5,P5A,0,2:17:47.674
5,P5B,0,
5,P5C,10,2:12:32.771
5,P5D,9,
5,P5E,1,2:07:01.972
6,P3A,10,6:24:09.997
6,P3B,5,
6,P3C,125,6:35:12.461
6,P3D,4,
6,P3E,15,6:41:07.862
6,P4A,12,6:46:29.266
6,P4B,15,
6,P4C,0,6:52:18.969
6,P4D,7,
6,P4E,7,6:58:45.568
6,P5A,0,7:15:04.571
6,P5B,0,
6,P5C,7,7:10:57.866
6,P5D,5,
6,P5E,23,7:05:15.067
