Location,Trip,Trap,Date,Start,End
Pick,1,P1A,6/20/2022,54:00.0,55:41.9
Pick,1,P1B,6/20/2022,00:56.4,02:17.3
Pick,1,P1C,6/20/2022,07:47.1,08:33.9
Pick,1,P1D,6/20/2022,11:51.8,12:52.7
Pick,1,P1E,6/20/2022,17:05.6,18:04.5
Pick,1,P2A,6/20/2022,27:13.2,28:06.1
Pick,1,P2B,6/20/2022,30:57.9,32:49.9
Pick,1,P2C,6/20/2022,34:43.8,35:58.7
Pick,1,P2D,6/20/2022,39:30.4,40:36.4
Pick,1,P2E,6/20/2022,42:51.0,44:03.3
Pick,1,P3A,6/20/2022,51:37.0,52:22.2
Pick,1,P3B,6/20/2022,55:42.0,57:01.1
Pick,1,P3C,6/20/2022,01:10.0,02:34.0
Pick,1,P3D,6/20/2022,05:17.0,06:12.0
Pick,1,P3E,6/20/2022,10:04.9,11:08.9
Pick,1,P4A,6/20/2022,19:38.5,21:46.3
Pick,1,P4B,6/20/2022,24:19.9,25:46.8
Pick,1,P4C,6/20/2022,30:28.1,31:49.0
Pick,1,P4D,6/20/2022,36:54.5,37:45.3
Pick,1,P4E,6/20/2022,40:25.9,42:22.6
Pick,1,P5A,6/20/2022,44:46.2,46:23.0
Pick,1,P5B,6/20/2022,51:17.5,52:48.3
Pick,1,P5C,6/20/2022,55:29.2,56:32.2
Pick,1,P5D,6/20/2022,59:13.1,01:02.9
Pick,1,P5E,6/20/2022,02:32.8,04:59.7
Pick,2,P1A,6/20/2022,43:49.5,45:53.2
Pick,2,P1B,6/20/2022,48:04.0,49:58.8
Pick,2,P1C,6/20/2022,53:18.5,54:46.3
Pick,2,P1D,6/20/2022,58:55.0,59:49.9
Pick,2,P1E,6/20/2022,02:03.6,03:14.3
Pick,2,P2A,6/20/2022,09:52.2,11:31.9
Pick,2,P2B,6/20/2022,16:58.8,18:17.7
Pick,2,P2C,6/20/2022,20:30.6,23:08.6
Pick,2,P2D,6/20/2022,27:31.4,28:31.4
Pick,2,P2E,6/20/2022,30:46.3,31:37.2
Pick,2,P3A,6/20/2022,34:51.2,36:19.1
Pick,2,P3B,6/20/2022,40:00.0,41:19.1
Pick,2,P3C,6/20/2022,42:54.9,44:51.9
Pick,2,P3D,6/20/2022,49:49.8,51:05.8
Pick,2,P3E,6/20/2022,52:50.7,54:59.6
Pick,2,P4A,6/20/2022,04:54.6,06:14.6
Pick,2,P4B,6/20/2022,15:20.4,16:44.4
Pick,2,P4C,6/20/2022,18:53.4,20:25.4
Pick,2,P4D,6/20/2022,26:11.4,27:10.4
Pick,2,P4E,6/20/2022,32:29.4,33:27.4
Pick,2,P5A,6/20/2022,54:17.9,55:58.9
Pick,2,P5B,6/20/2022,49:08.9,50:30.9
Pick,2,P5C,6/20/2022,43:41.1,45:27.1
Pick,2,P5D,6/20/2022,39:55.2,41:16.2
