Location	Trip	Date	Trap #	Gas Vol	Vial #	Emptied?	Anemometer	Diffusive start	Diffusive end	YSI top Temp	YSI top Pressure	YSI top DO%L	YSI top DOmg/L	YSI top SPC	YSI top C	YSI top pH	YSI bottom Temp	YSI bottom Pressure	YSI bottom DO%/L	YSI bottom Domg/L	YSI bottom SPC	YSI bottom C	YSI bottom pH	Macrophyte/shade
Pick	1	7/6/2022	P1A	0.0		N																		
Pick	1	7/6/2022	P1B	1.0		N	0.1/0.2	10:22:41.167	10:24:42.875															"Duck, shade"
Pick	1	7/6/2022	P1C	0.0		N																		
Pick	1	7/6/2022	P1D	1.0		N																		
Pick	1	7/6/2022	P1E	2.0		N	0.0/0.1	10:27:28.670	10:29:05.569															"Duck, shade"
Pick	1	7/6/2022	P2A				0.0/0.1	10:32:50.161	10:34:38.165	29.1	745.5	33.6	2.52	55.1	59.5	7.16	28.4	745.9	2.3	0.17	82.3	87.7	6.65	"Duck, shade"
Pick	1	7/6/2022	P2B	0.0		N																		
Pick	1	7/6/2022	P2C	0.0		N	0.1/0.1	10:38:23.771	10:39:44.673	29.1	745.9	32.4	2.4	53.4	57.3	6.89	20.4	745.8	0.7	0.07	366.9	334.9	6.97	"Duck, shade"
Pick	1	7/6/2022	P2D	0.0		N	0.5/0.7	10:43:18.374	10:44:06.268															"Duck, shade"
Pick	1	7/6/2022	P2E	0.0		N																		
Pick	1	7/6/2022	P3A	0.0		N																		
Pick	1	7/6/2022	P3B	0.0		N	0.4/0.9	10:47:51.164	10:49:59.068															"Duck, partial shade"
Pick	1	7/6/2022	P3C	0.0		N																		
Pick	1	7/6/2022	P3D	1.0		N																		
Pick	1	7/6/2022	P3E	2.5		N	0.3/0.5	10:53:38.863	10:54:30.874															"Duck, sun"
Pick	1	7/6/2022	P4A	0.0		N	0.1/0.2	10:57:54.267	11:00:13.067	29.3	745.8	43.7	3.24	53.4	57.8	6.86	28.6	745.8	2.4	0.19	138.5	147.8	6.37	"Duck, sun"
Pick	1	7/6/2022	P4B	0.0		N																		
Pick	1	7/6/2022	P4C	1.0		N	0.1/0.4	11:04:01.870	11:05:54.875	29.5	745.8	43.4	3.18	53.6	58.2	6.82	28.3	745.7	22	0.17	85.6	91.4	6.44	"Duck, sun"
Pick	1	7/6/2022	P4D	1.0		N	1.3/1.7	11:12:23.470	11:14:45.371															"Duck, sun"
Pick	1	7/6/2022	P4E	1.5		N																		
Pick	1	7/6/2022	P5A	1.5		N																		"Duck, sun"
Pick	1	7/6/2022	P5B	48.0	114	Y	0.4/0.5	11:20:32.293	11:23:34.079															
Pick	1	7/6/2022	P5C	1.5		N																		
Pick	1	7/6/2022	P5D	0.0		N																		
Pick	1	7/6/2022	P5E	0.0		N	0.4/0.8	11:27:17.969	11:30:06.768															"Duck, sun"
Pick	2	7/6/2022	P1A	1.0		N																		Sun
Pick	2	7/6/2022	P1B	1.0		N	0.3/0.1	13:10:29.270	13:12:14.867															Sun
Pick	2	7/6/2022	P1C	0.0		N																		
Pick	2	7/6/2022	P1D	1.5		N																		
Pick	2	7/6/2022	P1E	5.0		N	0.7/0.4	13:15:04.667	13:15:52.479															Sun
Pick	2	7/6/2022	P2A	2.5		N	0.7/0.6	13:19:31.001	13:22:12.666	30.8	745.1	49.8	3.65	53.9	59.8	6.89	29.7	745.1	66.5	4.94	52.4	57.1	6.99	"Partial duck, partial shade"
