Serial Number:	20725838 --

Date Time, GMT -0400	Temp, (*C)	Button Down	Button Up	Host Connect	EOF	
2022-07-12 12:40:52	36.29	 	 	 	 	
2022-07-12 12:40:53	36.29	 	 	 	 	
2022-07-12 12:40:54	36.29	 	 	 	 	
2022-07-12 12:40:55	36.29	 	 	 	 	
2022-07-12 12:40:56	36.29	 	 	 	 	
2022-07-12 12:40:57	36.29	 	 	 	 	
2022-07-12 12:40:58	36.25	 	 	 	 	
2022-07-12 12:40:59	36.29	 	 	 	 	
2022-07-12 12:41:00	36.25	 	 	 	 	
2022-07-12 12:41:01	36.25	 	 	 	 	
2022-07-12 12:41:02	36.21	 	 	 	 	
2022-07-12 12:41:03	36.25	 	 	 	 	
2022-07-12 12:41:04	36.25	 	 	 	 	
2022-07-12 12:41:05	36.25	 	 	 	 	
2022-07-12 12:41:06	36.25	 	 	 	 	
2022-07-12 12:41:07	36.25	 	 	 	 	
2022-07-12 12:41:08	36.25	 	 	 	 	
2022-07-12 12:41:09	36.25	 	 	 	 	
2022-07-12 12:41:10	36.25	 	 	 	 	
2022-07-12 12:41:11	36.25	 	 	 	 	
2022-07-12 12:41:12	36.25	 	 	 	 	
2022-07-12 12:41:13	36.21	 	 	 	 	
2022-07-12 12:41:14	36.21	 	 	 	 	
2022-07-12 12:41:15	36.25	 	 	 	 	
2022-07-12 12:41:16	36.21	 	 	 	 	
2022-07-12 12:41:17	36.25	 	 	 	 	
2022-07-12 12:41:18	36.25	 	 	 	 	
2022-07-12 12:41:19	36.21	 	 	 	 	
2022-07-12 12:41:20	36.21	 	 	 	 	
2022-07-12 12:41:21	36.25	 	 	 	 	
2022-07-12 12:41:22	36.25	 	 	 	 	
2022-07-12 12:41:23	36.21	 	 	 	 	
2022-07-12 12:41:24	36.21	 	 	 	 	
2022-07-12 12:41:25	36.21	 	 	 	 	
2022-07-12 12:41:26	36.25	 	 	 	 	
2022-07-12 12:41:27	36.21	 	 	 	 	
2022-07-12 12:41:28	36.25	 	 	 	 	
2022-07-12 12:41:29	36.16	 	 	 	 	
2022-07-12 12:41:30	36.21	 	 	 	 	
2022-07-12 12:41:31	36.21	 	 	 	 	
2022-07-12 12:41:32	36.16	 	 	 	 	
2022-07-12 12:41:33	36.16	 	 	 	 	
2022-07-12 12:41:34	36.21	 	 	 	 	
2022-07-12 12:41:35	36.25	 	 	 	 	
2022-07-12 12:41:36	36.16	 	 	 	 	
2022-07-12 12:41:37	36.21	 	 	 	 	
2022-07-12 12:41:38	36.21	 	 	 	 	
2022-07-12 12:41:39	36.21	 	 	 	 	
2022-07-12 12:41:40	36.16	 	 	 	 	
2022-07-12 12:41:41	36.16	 	 	 	 	
2022-07-12 12:41:42	36.16	 	 	 	 	
2022-07-12 12:41:43	36.21	 	 	 	 	
2022-07-12 12:41:44	36.21	 	 	 	 	
2022-07-12 12:41:45	36.25	 	 	 	 	
2022-07-12 12:41:46	36.16	 	 	 	 	
2022-07-12 12:41:47	36.21	 	 	 	 	
2022-07-12 12:41:48	36.21	 	 	 	 	
2022-07-12 12:41:49	36.16	 	 	 	 	
2022-07-12 12:41:50	36.16	 	 	 	 	
2022-07-12 12:41:51	36.21	 	 	 	 	
2022-07-12 12:41:52	36.16	 	 	 	 	
2022-07-12 12:41:53	36.16	 	 	 	 	
2022-07-12 12:41:54	36.16	 	 	 	 	
2022-07-12 12:41:55	36.16	 	 	 	 	
2022-07-12 12:41:56	36.16	 	 	 	 	
2022-07-12 12:41:57	36.08	 	 	 	 	
2022-07-12 12:41:58	36.16	 	 	 	 	
2022-07-12 12:41:59	36.16	 	 	 	 	
2022-07-12 12:42:00	36.12	 	 	 	 	
2022-07-12 12:42:01	36.16	 	 	 	 	
2022-07-12 12:42:02	36.21	 	 	 	 	
2022-07-12 12:42:03	36.16	 	 	 	 	
2022-07-12 12:42:04	36.16	 	 	 	 	
2022-07-12 12:42:05	36.16	 	 	 	 	
2022-07-12 12:42:06	36.16	 	 	 	 	
2022-07-12 12:42:07	36.16	 	 	 	 	
2022-07-12 12:42:08	36.21	 	 	 	 	
2022-07-12 12:42:09	36.12	 	 	 	 	
2022-07-12 12:42:10	36.16	 	 	 	 	
2022-07-12 12:42:11	36.16	 	 	 	 	
2022-07-12 12:42:12	36.21	 	 	 	 	
2022-07-12 12:42:13	36.16	 	 	 	 	
2022-07-12 12:42:14	36.21	 	 	 	 	
2022-07-12 12:42:15	36.21	 	 	 	 	
2022-07-12 12:42:16	36.21	 	 	 	 	
2022-07-12 12:42:17	36.16	 	 	 	 	
2022-07-12 12:42:18	36.12	 	 	 	 	
2022-07-12 12:42:19	36.16	 	 	 	 	
2022-07-12 12:42:20	36.16	 	 	 	 	
2022-07-12 12:42:21	36.12	 	 	 	 	
2022-07-12 12:42:22	36.16	 	 	 	 	
2022-07-12 12:42:23	36.12	 	 	 	 	
2022-07-12 12:42:24	36.16	 	 	 	 	
2022-07-12 12:42:25	36.16	 	 	 	 	
2022-07-12 12:42:26	36.16	 	 	 	 	
2022-07-12 12:42:27	36.12	 	 	 	 	
2022-07-12 12:42:28	36.16	 	 	 	 	
2022-07-12 12:42:29	36.16	 	 	 	 	
2022-07-12 12:42:30	36.16	 	 	 	 	
2022-07-12 12:42:31	36.16	 	 	 	 	
2022-07-12 12:42:32	36.16	 	 	 	 	
2022-07-12 12:42:33	36.16	 	 	 	 	
2022-07-12 12:42:34	36.16	 	 	 	 	
2022-07-12 12:42:35	36.16	 	 	 	 	
2022-07-12 12:42:36	36.16	 	 	 	 	
2022-07-12 12:42:37	36.21	 	 	 	 	
2022-07-12 12:42:38	36.21	 	 	 	 	
2022-07-12 12:42:39	36.16	 	 	 	 	
2022-07-12 12:42:40	36.25	 	 	 	 	
2022-07-12 12:42:41	36.21	 	 	 	 	
2022-07-12 12:42:42	36.29	 	 	 	 	
2022-07-12 12:42:43	36.21	 	 	 	 	
2022-07-12 12:42:44	36.25	 	 	 	 	
2022-07-12 12:42:45	36.25	 	 	 	 	
2022-07-12 12:42:46	36.29	 	 	 	 	
2022-07-12 12:42:47	36.25	 	 	 	 	
2022-07-12 12:42:48	36.29	 	 	 	 	
2022-07-12 12:42:49	36.29	 	 	 	 	
2022-07-12 12:42:50	36.29	 	 	 	 	
2022-07-12 12:42:51	36.29	 	 	 	 	
2022-07-12 12:42:52	36.29	 	 	 	 	
2022-07-12 12:42:53	36.29	 	 	 	 	
2022-07-12 12:42:54	36.29	 	 	 	 	
2022-07-12 12:42:55	36.25	 	 	 	 	
2022-07-12 12:42:56	36.33	 	 	 	 	
2022-07-12 12:42:57	36.25	 	 	 	 	
2022-07-12 12:42:58	36.29	 	 	 	 	
2022-07-12 12:42:59	36.25	 	 	 	 	
2022-07-12 12:43:00	36.29	 	 	 	 	
2022-07-12 12:43:01	36.29	 	 	 	 	
2022-07-12 12:43:02	36.25	 	 	 	 	
2022-07-12 12:43:03	36.29	 	 	 	 	
2022-07-12 12:43:04	36.33	 	 	 	 	
2022-07-12 12:43:05	36.33	 	 	 	 	
2022-07-12 12:43:06	36.29	 	 	 	 	
2022-07-12 12:43:07	36.33	 	 	 	 	
2022-07-12 12:43:08	36.33	 	 	 	 	
2022-07-12 12:43:09	36.33	 	 	 	 	
2022-07-12 12:43:10	36.38	 	 	 	 	
2022-07-12 12:43:11	36.38	 	 	 	 	
2022-07-12 12:43:12	36.38	 	 	 	 	
2022-07-12 12:43:13	36.38	 	 	 	 	
2022-07-12 12:43:14	36.38	 	 	 	 	
2022-07-12 12:43:15	36.38	 	 	 	 	
2022-07-12 12:43:16	36.38	 	 	 	 	
2022-07-12 12:43:17	36.42	 	 	 	 	
2022-07-12 12:43:18	36.42	 	 	 	 	
2022-07-12 12:43:19	36.42	 	 	 	 	
2022-07-12 12:43:20	36.42	 	 	 	 	
2022-07-12 12:43:21	36.46	 	 	 	 	
2022-07-12 12:43:22	36.42	 	 	 	 	
2022-07-12 12:43:23	36.42	 	 	 	 	
2022-07-12 12:43:24	36.42	 	 	 	 	
2022-07-12 12:43:25	36.42	 	 	 	 	
2022-07-12 12:43:26	36.46	 	 	 	 	
2022-07-12 12:43:27	36.42	 	 	 	 	
2022-07-12 12:43:28	36.46	 	 	 	 	
2022-07-12 12:43:29	36.46	 	 	 	 	
2022-07-12 12:43:30	36.46	 	 	 	 	
2022-07-12 12:43:31	36.46	 	 	 	 	
2022-07-12 12:43:32	36.42	 	 	 	 	
2022-07-12 12:43:33	36.46	 	 	 	 	
2022-07-12 12:43:34	36.46	 	 	 	 	
2022-07-12 12:43:35	36.51	 	 	 	 	
2022-07-12 12:43:36	36.46	 	 	 	 	
2022-07-12 12:43:37	36.46	 	 	 	 	
2022-07-12 12:43:38	36.46	 	 	 	 	
2022-07-12 12:43:39	36.46	 	 	 	 	
2022-07-12 12:43:40	36.51	 	 	 	 	
2022-07-12 12:43:41	36.46	 	 	 	 	
2022-07-12 12:43:42	36.46	 	 	 	 	
2022-07-12 12:43:43	36.51	 	 	 	 	
2022-07-12 12:43:44	36.46	 	 	 	 	
2022-07-12 12:43:45	36.51	 	 	 	 	
2022-07-12 12:43:46	36.51	 	 	 	 	
2022-07-12 12:43:47	36.55	 	 	 	 	
2022-07-12 12:43:48	36.51	 	 	 	 	
2022-07-12 12:43:49	36.51	 	 	 	 	
2022-07-12 12:43:50	36.51	 	 	 	 	
2022-07-12 12:43:51	36.51	 	 	 	 	
2022-07-12 12:43:52	36.51	 	 	 	 	
2022-07-12 12:43:53	36.51	 	 	 	 	
2022-07-12 12:43:54	36.51	 	 	 	 	
2022-07-12 12:43:55	36.51	 	 	 	 	
2022-07-12 12:43:56	36.51	 	 	 	 	
2022-07-12 12:43:57	36.51	 	 	 	 	
2022-07-12 12:43:58	36.55	 	 	 	 	
2022-07-12 12:43:59	36.55	 	 	 	 	
2022-07-12 12:44:00	36.59	 	 	 	 	
2022-07-12 12:44:01	36.55	 	 	 	 	
2022-07-12 12:44:02	36.55	 	 	 	 	
2022-07-12 12:44:03	36.59	 	 	 	 	
2022-07-12 12:44:04	36.55	 	 	 	 	
2022-07-12 12:44:05	36.55	 	 	 	 	
2022-07-12 12:44:06	36.55	 	 	 	 	
2022-07-12 12:44:07	36.55	 	 	 	 	
2022-07-12 12:44:08	36.59	 	 	 	 	
2022-07-12 12:44:09	36.55	 	 	 	 	
2022-07-12 12:44:10	36.55	 	 	 	 	
2022-07-12 12:44:11	36.55	 	 	 	 	
2022-07-12 12:44:12	36.51	 	 	 	 	
2022-07-12 12:44:13	36.51	 	 	 	 	
2022-07-12 12:44:14	36.46	 	 	 	 	
2022-07-12 12:44:15	36.51	 	 	 	 	
2022-07-12 12:44:16	36.51	 	 	 	 	
2022-07-12 12:44:17	36.42	 	 	 	 	
2022-07-12 12:44:18	36.51	 	 	 	 	
2022-07-12 12:44:19	36.46	 	 	 	 	
2022-07-12 12:44:20	36.51	 	 	 	 	
2022-07-12 12:44:21	36.51	 	 	 	 	
2022-07-12 12:44:22	36.55	 	 	 	 	
2022-07-12 12:44:23	36.55	 	 	 	 	
2022-07-12 12:44:24	36.55	 	 	 	 	
2022-07-12 12:44:25	36.59	 	 	 	 	
2022-07-12 12:44:26	36.59	 	 	 	 	
2022-07-12 12:44:27	36.59	 	 	 	 	
2022-07-12 12:44:28	36.59	 	 	 	 	
2022-07-12 12:44:29	36.59	 	 	 	 	
2022-07-12 12:44:30	36.63	 	 	 	 	
2022-07-12 12:44:31	36.63	 	 	 	 	
2022-07-12 12:44:32	36.68	 	 	 	 	
2022-07-12 12:44:33	36.68	 	 	 	 	
2022-07-12 12:44:34	36.68	 	 	 	 	
2022-07-12 12:44:35	36.68	 	 	 	 	
2022-07-12 12:44:36	36.68	 	 	 	 	
2022-07-12 12:44:37	36.68	 	 	 	 	
2022-07-12 12:44:38	36.76	 	 	 	 	
2022-07-12 12:44:39	36.72	 	 	 	 	
2022-07-12 12:44:40	36.76	 	 	 	 	
2022-07-12 12:44:41	36.72	 	 	 	 	
2022-07-12 12:44:42	36.76	 	 	 	 	
2022-07-12 12:44:43	36.76	 	 	 	 	
2022-07-12 12:44:44	36.81	 	 	 	 	
2022-07-12 12:44:45	36.81	 	 	 	 	
2022-07-12 12:44:46	36.76	 	 	 	 	
2022-07-12 12:44:47	36.76	 	 	 	 	
2022-07-12 12:44:48	36.81	 	 	 	 	
2022-07-12 12:44:49	36.81	 	 	 	 	
2022-07-12 12:44:50	36.76	 	 	 	 	
2022-07-12 12:44:51	36.85	 	 	 	 	
2022-07-12 12:44:52	36.85	 	 	 	 	
2022-07-12 12:44:53	36.85	 	 	 	 	
2022-07-12 12:44:54	36.85	 	 	 	 	
2022-07-12 12:44:55	36.85	 	 	 	 	
2022-07-12 12:44:56	36.85	 	 	 	 	
2022-07-12 12:44:57	36.81	 	 	 	 	
2022-07-12 12:44:58	36.85	 	 	 	 	
2022-07-12 12:44:59	36.81	 	 	 	 	
2022-07-12 12:45:00	36.85	 	 	 	 	
2022-07-12 12:45:01	36.76	 	 	 	 	
2022-07-12 12:45:02	36.81	 	 	 	 	
2022-07-12 12:45:03	36.76	 	 	 	 	
2022-07-12 12:45:04	36.72	 	 	 	 	
2022-07-12 12:45:05	36.76	 	 	 	 	
2022-07-12 12:45:06	36.76	 	 	 	 	
2022-07-12 12:45:07	36.76	 	 	 	 	
2022-07-12 12:45:08	36.76	 	 	 	 	
2022-07-12 12:45:09	36.72	 	 	 	 	
2022-07-12 12:45:10	36.72	 	 	 	 	
2022-07-12 12:45:11	36.72	 	 	 	 	
2022-07-12 12:45:12	36.76	 	 	 	 	
2022-07-12 12:45:13	36.72	 	 	 	 	
2022-07-12 12:45:14	36.76	 	 	 	 	
2022-07-12 12:45:15	36.72	 	 	 	 	
2022-07-12 12:45:16	36.76	 	 	 	 	
2022-07-12 12:45:17	36.81	 	 	 	 	
2022-07-12 12:45:18	36.81	 	 	 	 	
2022-07-12 12:45:19	36.81	 	 	 	 	
2022-07-12 12:45:20	36.76	 	 	 	 	
2022-07-12 12:45:21	36.85	 	 	 	 	
2022-07-12 12:45:22	36.85	 	 	 	 	
2022-07-12 12:45:23	36.85	 	 	 	 	
2022-07-12 12:45:24	36.85	 	 	 	 	
2022-07-12 12:45:25	36.85	 	 	 	 	
2022-07-12 12:45:26	36.85	 	 	 	 	
2022-07-12 12:45:27	36.85	 	 	 	 	
2022-07-12 12:45:28	36.81	 	 	 	 	
2022-07-12 12:45:29	36.89	 	 	 	 	
2022-07-12 12:45:30	36.89	 	 	 	 	
2022-07-12 12:45:31	36.85	 	 	 	 	
2022-07-12 12:45:32	36.89	 	 	 	 	
2022-07-12 12:45:33	36.81	 	 	 	 	
2022-07-12 12:45:34	36.89	 	 	 	 	
2022-07-12 12:45:35	36.89	 	 	 	 	
2022-07-12 12:45:36	36.93	 	 	 	 	
2022-07-12 12:45:37	36.89	 	 	 	 	
2022-07-12 12:45:38	36.89	 	 	 	 	
2022-07-12 12:45:39	36.89	 	 	 	 	
2022-07-12 12:45:40	36.89	 	 	 	 	
2022-07-12 12:45:41	36.93	 	 	 	 	
2022-07-12 12:45:42	36.93	 	 	 	 	
2022-07-12 12:45:43	36.89	 	 	 	 	
2022-07-12 12:45:44	36.93	 	 	 	 	
2022-07-12 12:45:45	36.93	 	 	 	 	
2022-07-12 12:45:46	36.89	 	 	 	 	
2022-07-12 12:45:47	36.93	 	 	 	 	
2022-07-12 12:45:48	36.93	 	 	 	 	
2022-07-12 12:45:49	36.85	 	 	 	 	
2022-07-12 12:45:50	36.93	 	 	 	 	
2022-07-12 12:45:51	36.93	 	 	 	 	
2022-07-12 12:45:52	37.02	 	 	 	 	
2022-07-12 12:45:53	36.89	 	 	 	 	
2022-07-12 12:45:54	36.98	 	 	 	 	
2022-07-12 12:45:55	36.98	 	 	 	 	
2022-07-12 12:45:56	36.93	 	 	 	 	
2022-07-12 12:45:57	36.93	 	 	 	 	
2022-07-12 12:45:58	36.93	 	 	 	 	
2022-07-12 12:45:59	36.93	 	 	 	 	
2022-07-12 12:46:00	36.98	 	 	 	 	
2022-07-12 12:46:01	36.93	 	 	 	 	
2022-07-12 12:46:02	37.02	 	 	 	 	
2022-07-12 12:46:03	36.98	 	 	 	 	
2022-07-12 12:46:04	36.93	 	 	 	 	
2022-07-12 12:46:05	36.98	 	 	 	 	
2022-07-12 12:46:06	37.02	 	 	 	 	
2022-07-12 12:46:07	37.02	 	 	 	 	
2022-07-12 12:46:08	36.98	 	 	 	 	
2022-07-12 12:46:09	37.02	 	 	 	 	
2022-07-12 12:46:10	36.98	 	 	 	 	
2022-07-12 12:46:11	37.02	 	 	 	 	
2022-07-12 12:46:12	36.98	 	 	 	 	
2022-07-12 12:46:13	37.02	 	 	 	 	
2022-07-12 12:46:14	37.06	 	 	 	 	
2022-07-12 12:46:15	37.02	 	 	 	 	
2022-07-12 12:46:16	37.02	 	 	 	 	
2022-07-12 12:46:17	37.06	 	 	 	 	
2022-07-12 12:46:18	37.02	 	 	 	 	
2022-07-12 12:46:19	37.06	 	 	 	 	
2022-07-12 12:46:20	37.11	 	 	 	 	
2022-07-12 12:46:21	37.11	 	 	 	 	
2022-07-12 12:46:22	37.06	 	 	 	 	
2022-07-12 12:46:23	37.11	 	 	 	 	
2022-07-12 12:46:24	37.11	 	 	 	 	
2022-07-12 12:46:25	37.06	 	 	 	 	
2022-07-12 12:46:26	37.15	 	 	 	 	
2022-07-12 12:46:27	37.11	 	 	 	 	
2022-07-12 12:46:28	37.15	 	 	 	 	
2022-07-12 12:46:29	37.15	 	 	 	 	
2022-07-12 12:46:30	37.15	 	 	 	 	
2022-07-12 12:46:31	37.15	 	 	 	 	
2022-07-12 12:46:32	37.19	 	 	 	 	
2022-07-12 12:46:33	37.19	 	 	 	 	
2022-07-12 12:46:34	37.19	 	 	 	 	
2022-07-12 12:46:35	37.19	 	 	 	 	
2022-07-12 12:46:36	37.28	 	 	 	 	
2022-07-12 12:46:37	37.19	 	 	 	 	
2022-07-12 12:46:38	37.23	 	 	 	 	
2022-07-12 12:46:39	37.19	 	 	 	 	
2022-07-12 12:46:40	37.19	 	 	 	 	
2022-07-12 12:46:41	37.19	 	 	 	 	
2022-07-12 12:46:42	37.23	 	 	 	 	
2022-07-12 12:46:43	37.28	 	 	 	 	
2022-07-12 12:46:44	37.23	 	 	 	 	
2022-07-12 12:46:45	37.23	 	 	 	 	
2022-07-12 12:46:46	37.28	 	 	 	 	
2022-07-12 12:46:47	37.28	 	 	 	 	
2022-07-12 12:46:48	37.32	 	 	 	 	
2022-07-12 12:46:49	37.36	 	 	 	 	
2022-07-12 12:46:50	37.28	 	 	 	 	
2022-07-12 12:46:51	37.32	 	 	 	 	
2022-07-12 12:46:52	37.28	 	 	 	 	
2022-07-12 12:46:53	37.32	 	 	 	 	
2022-07-12 12:46:54	37.32	 	 	 	 	
2022-07-12 12:46:55	37.32	 	 	 	 	
2022-07-12 12:46:56	37.32	 	 	 	 	
2022-07-12 12:46:57	37.36	 	 	 	 	
2022-07-12 12:46:58	37.36	 	 	 	 	
2022-07-12 12:46:59	37.36	 	 	 	 	
2022-07-12 12:47:00	37.36	 	 	 	 	
2022-07-12 12:47:01	37.41	 	 	 	 	
2022-07-12 12:47:02	37.36	 	 	 	 	
2022-07-12 12:47:03	37.36	 	 	 	 	
2022-07-12 12:47:04	37.45	 	 	 	 	
2022-07-12 12:47:05	37.41	 	 	 	 	
2022-07-12 12:47:06	37.45	 	 	 	 	
2022-07-12 12:47:07	37.45	 	 	 	 	
2022-07-12 12:47:08	37.41	 	 	 	 	
2022-07-12 12:47:09	37.41	 	 	 	 	
2022-07-12 12:47:10	37.45	 	 	 	 	
2022-07-12 12:47:11	37.49	 	 	 	 	
2022-07-12 12:47:12	37.45	 	 	 	 	
2022-07-12 12:47:13	37.49	 	 	 	 	
2022-07-12 12:47:14	37.49	 	 	 	 	
2022-07-12 12:47:15	37.45	 	 	 	 	
2022-07-12 12:47:16	37.49	 	 	 	 	
2022-07-12 12:47:17	37.49	 	 	 	 	
2022-07-12 12:47:18	37.54	 	 	 	 	
2022-07-12 12:47:19	37.49	 	 	 	 	
2022-07-12 12:47:20	37.54	 	 	 	 	
2022-07-12 12:47:21	37.54	 	 	 	 	
2022-07-12 12:47:22	37.49	 	 	 	 	
2022-07-12 12:47:23	37.54	 	 	 	 	
2022-07-12 12:47:24	37.54	 	 	 	 	
2022-07-12 12:47:25	37.58	 	 	 	 	
2022-07-12 12:47:26	37.58	 	 	 	 	
2022-07-12 12:47:27	37.58	 	 	 	 	
2022-07-12 12:47:28	37.66	 	 	 	 	
2022-07-12 12:47:29	37.62	 	 	 	 	
2022-07-12 12:47:30	37.62	 	 	 	 	
2022-07-12 12:47:31	37.62	 	 	 	 	
2022-07-12 12:47:32	37.66	 	 	 	 	
2022-07-12 12:47:33	37.58	 	 	 	 	
2022-07-12 12:47:34	37.66	 	 	 	 	
2022-07-12 12:47:35	37.62	 	 	 	 	
2022-07-12 12:47:36	37.66	 	 	 	 	
2022-07-12 12:47:37	37.66	 	 	 	 	
2022-07-12 12:47:38	37.62	 	 	 	 	
2022-07-12 12:47:39	37.66	 	 	 	 	
2022-07-12 12:47:40	37.71	 	 	 	 	
2022-07-12 12:47:41	37.71	 	 	 	 	
2022-07-12 12:47:42	37.71	 	 	 	 	
2022-07-12 12:47:43	37.71	 	 	 	 	
2022-07-12 12:47:44	37.66	 	 	 	 	
2022-07-12 12:47:45	37.75	 	 	 	 	
2022-07-12 12:47:46	37.71	 	 	 	 	
2022-07-12 12:47:47	37.71	 	 	 	 	
2022-07-12 12:47:48	37.75	 	 	 	 	
2022-07-12 12:47:49	37.75	 	 	 	 	
2022-07-12 12:47:50	37.75	 	 	 	 	
2022-07-12 12:47:51	37.75	 	 	 	 	
2022-07-12 12:47:52	37.79	 	 	 	 	
2022-07-12 12:47:53	37.79	 	 	 	 	
2022-07-12 12:47:54	37.79	 	 	 	 	
2022-07-12 12:47:55	37.79	 	 	 	 	
2022-07-12 12:47:56	37.84	 	 	 	 	
2022-07-12 12:47:57	37.88	 	 	 	 	
2022-07-12 12:47:58	37.88	 	 	 	 	
2022-07-12 12:47:59	37.88	 	 	 	 	
2022-07-12 12:48:00	37.88	 	 	 	 	
2022-07-12 12:48:01	37.92	 	 	 	 	
2022-07-12 12:48:02	37.92	 	 	 	 	
2022-07-12 12:48:03	37.92	 	 	 	 	
2022-07-12 12:48:04	37.92	 	 	 	 	
2022-07-12 12:48:05	37.92	 	 	 	 	
2022-07-12 12:48:06	37.96	 	 	 	 	
2022-07-12 12:48:07	37.92	 	 	 	 	
2022-07-12 12:48:08	37.92	 	 	 	 	
2022-07-12 12:48:09	37.92	 	 	 	 	
2022-07-12 12:48:10	37.92	 	 	 	 	
2022-07-12 12:48:11	37.92	 	 	 	 	
2022-07-12 12:48:12	38.01	 	 	 	 	
2022-07-12 12:48:13	37.92	 	 	 	 	
2022-07-12 12:48:14	37.96	 	 	 	 	
2022-07-12 12:48:15	38.01	 	 	 	 	
2022-07-12 12:48:16	37.96	 	 	 	 	
2022-07-12 12:48:17	38.01	 	 	 	 	
2022-07-12 12:48:18	37.96	 	 	 	 	
2022-07-12 12:48:19	37.96	 	 	 	 	
2022-07-12 12:48:20	37.96	 	 	 	 	
2022-07-12 12:48:21	38.01	 	 	 	 	
2022-07-12 12:48:22	38.01	 	 	 	 	
2022-07-12 12:48:23	38.05	 	 	 	 	
2022-07-12 12:48:24	38.05	 	 	 	 	
2022-07-12 12:48:25	38.01	 	 	 	 	
2022-07-12 12:48:26	38.01	 	 	 	 	
