"site","date","depth","temp"
"Pick",2022-06-11 04:06:00,0.25,25.715
"Pick",2022-06-11 04:16:00,0.25,25.707
"Pick",2022-06-11 04:26:00,0.25,25.69
"Pick",2022-06-11 04:36:00,0.25,25.656
"Pick",2022-06-11 04:46:00,0.25,25.639
"Pick",2022-06-11 04:56:00,0.25,25.605
"Pick",2022-06-11 05:06:00,0.25,25.58
"Pick",2022-06-11 05:16:00,0.25,25.588
"Pick",2022-06-11 05:26:00,0.25,25.529
"Pick",2022-06-11 05:36:00,0.25,25.513
"Pick",2022-06-11 05:46:00,0.25,25.487
"Pick",2022-06-11 05:56:00,0.25,25.47
"Pick",2022-06-11 06:06:00,0.25,25.445
"Pick",2022-06-11 06:16:00,0.25,25.403
"Pick",2022-06-11 06:26:00,0.25,25.411
"Pick",2022-06-11 06:36:00,0.25,25.378
"Pick",2022-06-11 06:46:00,0.25,25.352
"Pick",2022-06-11 06:56:00,0.25,25.336
"Pick",2022-06-11 07:06:00,0.25,25.31
"Pick",2022-06-11 07:16:00,0.25,25.285
"Pick",2022-06-11 07:26:00,0.25,25.285
"Pick",2022-06-11 07:36:00,0.25,25.251
"Pick",2022-06-11 07:46:00,0.25,25.251
"Pick",2022-06-11 07:56:00,0.25,25.26
"Pick",2022-06-11 08:06:00,0.25,25.243
"Pick",2022-06-11 08:16:00,0.25,25.243
"Pick",2022-06-11 08:26:00,0.25,25.209
"Pick",2022-06-11 08:36:00,0.25,25.201
"Pick",2022-06-11 08:46:00,0.25,25.201
"Pick",2022-06-11 08:56:00,0.25,25.201
"Pick",2022-06-11 09:06:00,0.25,25.184
"Pick",2022-06-11 09:16:00,0.25,25.192
"Pick",2022-06-11 09:26:00,0.25,25.201
"Pick",2022-06-11 09:36:00,0.25,25.192
"Pick",2022-06-11 09:46:00,0.25,25.209
"Pick",2022-06-11 09:56:00,0.25,25.201
"Pick",2022-06-11 10:06:00,0.25,25.226
"Pick",2022-06-11 10:16:00,0.25,25.234
"Pick",2022-06-11 10:26:00,0.25,25.26
"Pick",2022-06-11 10:36:00,0.25,25.327
"Pick",2022-06-11 10:46:00,0.25,25.277
"Pick",2022-06-11 10:56:00,0.25,25.327
"Pick",2022-06-11 11:06:00,0.25,25.403
"Pick",2022-06-11 11:16:00,0.25,25.445
"Pick",2022-06-11 11:26:00,0.25,25.462
"Pick",2022-06-11 11:36:00,0.25,25.479
"Pick",2022-06-11 11:46:00,0.25,25.504
"Pick",2022-06-11 11:56:00,0.25,25.538
"Pick",2022-06-11 12:06:00,0.25,25.572
"Pick",2022-06-11 12:16:00,0.25,25.546
