Location	Trap	Trip	Date	Gas Vol	Vial #	Emptied?	Anemometer	Diffusive start	Diffusive end	YSI top Temp	YSI top Pressure	YSI top DO %L	YSI top DO mg/L	YSI top SPC	YSI top C	YSI top pH	YSI bottom Temp	YSI bottom Pressure	YSI bottom DO%L	YSI bottom DO mg/L	YSI bottom SPC	YSI bottom C	YSI Bottom pH	Macrophyte/Shade
Pick	P1A	1	7/12/2022	0.0	NA	N																		"Wolffia, cloudy, no shade"
Pick	P1B	1	7/12/2022	3.0	NA	N	0.2/0.3	10:15:13.473	10:17:24.366															"Wolffia, cloudy, no shade"
Pick	P1C	1	7/12/2022	0.0	NA	N																		"Wolffia, cloudy, no shade"
Pick	P1D	1	7/12/2022	1.0	NA	N																		"Wolffia, cloudy, no shade"
Pick	P1E	1	7/12/2022	0.0	NA	N	0.1/0.2	10:20:10.169	10:21:39.171															"Wolffia, cloudy, no shade"
Pick	P2A	1	7/12/2022	2.0	NA	N	0.0/0.0	10:31:09.670	10:33:15.670	26.9	746.2	8.7	0.68			6.98	27	746.1	11	0.87			6.8	"Wolffia, cloudy, no shade"
Pick	P2B	1	7/12/2022	2.5	NA	N																		"Wolffia, cloudy, no shade"
Pick	P2C	1	7/12/2022	0.0	NA	N	0.0/0.1	10:54:51.774	10:57:33.666	27.1	746	8.6	0.67			6.68	26.4	746	1	0.8			6.38	"Wolffia, cloudy, no shade"
Pick	P2D	1	7/12/2022	0.0	NA	N	0.0/0.0	11:06:13.373	11:08:18.372															"Wolffia, cloudy, no shade"
Pick	P2E	1	7/12/2022	0.5	NA	N																		"Wolffia, cloudy, no shade"
Pick	P3A	1	7/12/2022	0.0	NA	N																		"Wolffia, cloudy, no shade"
Pick	P3B	1	7/12/2022	1.0	NA	N	0.1/0.4	11:12:46.274	11:14:33.270															"Wolffia, cloudy, no shade"
Pick	P3C	1	7/12/2022	0.5	NA	N																		"Wolffia, cloudy, no shade"
Pick	P3D	1	7/12/2022	0.5	NA	N																		"Wolffia, cloudy, no shade"
Pick	P3E	1	7/12/2022	1.5	NA	N	0.5/0.1	11:17:15.270	11:18:39.272															"Wolffia, cloudy, no shade"
Pick	P4A	1	7/12/2022	3.0	NA	N	0.0/0.0	11:21:27.171	11:26:18.173	27.6	746	32.7	2.54			6.58	27	746	22	1.73			6.56	"Wolffia, sunny, shade"
Pick	P4B	1	7/12/2022	2.0	NA	N																		"Wolffia, sunny, shade"
Pick	P4C	1	7/12/2022	2.5	NA	N	0.0/0.0	11:31:46.983	11:35:11.976	27.7	746	25	1.94			6.56	26.9	746.9	32.7	2.54			6.41	"Wolffia in chamber, sunny"
Pick	P4D	1	7/12/2022	0.5	NA	N	0.7/0.1	11:40:39.877	11:42:08.894															"Wolffia in chamber, partial sun"
Pick	P4E	1	7/12/2022	5.0	NA	Y (chamber flipped over)																		"Wolffia in chamber, partial sun"
Pick	P5A	1	7/12/2022	8.0	NA	N																		"Wolffia, cloudy"
Pick	P5B	1	7/12/2022	0.5	NA	N	0.2/0.2	11:51:28.779	11:53:45.777															"Wolffia, cloudy"
Pick	P5C	1	7/12/2022	0.5	NA	N																		"Wolffia, cloudy"
