run.start.time	trap.number	gas.vol	vial.number	emptied?	anenometer	diffusive.start	diffusive.end	top.temp	top.mmHg	top.DO.L	top.DO.mgL	top.SPC	top.C	top.pH	bottom.temp	bottom.mmHg	bottom.DO.L	bottom.DO.mgL	bottom.SPC	bottom.C	bottom.pH	macrophyte.shade	notes
10:29	C1A	0	NA	NO																		"shade, some algae around funnel"	
10:29	C1B	0	NA	NO	0.8/0.4	10:35:59.463	10:37:50.257															shade	
10:29	C1C	0	NA	NO																		shade	
10:29	C1D	0	NA	NO																		shade	
10:29	C1E	0	NA	NO	0.3/0.6	10:39:39.959	10:41:07.792															shade	
10:29	C2A	0	NA	NO	0.1/0.9	10:43:06.661	10:48:47.363	28.3	749.8	81.4	6.76	62	65.9	7.76	27.8	749.8	81.2	6.14	61.7	65	7.54	sun	
10:29	C2B	0.5	NA	NO																		sun	
10:29	C2C	0.5	NA	NO	0.1/0.5	10:51:01.359	10:54:04.882	28.1	749.7	90.4	6.94	61.8	65.7	7.7	27	749.8	0.6	0.05	80.1	83.1	6.89	sun	
10:29	C2D	NA	NA	YES	0.1/0.0	10:57:43.768	10:59:08.761															sun	"reset, ebulition too high"
10:29	C2E	1	NA	NO																		shade	
10:29	C3A	0.5	NA	NO																		shade	
10:29	C3B	0	NA	NO	0.3/0.3	11:01:47.569	11:02:48.467															shade	
10:29	C3C	0	NA	NO																		sun	
10:29	C3D	1	NA	NO																		sun	
10:29	C3E	0	NA	NO	0.7/0.8	11:06:30.363	11:07:57.362															sun	
10:29	C4A	0	NA	NO	0.7/0.6	11:10:34.259	11:14:38.969	29	749.8	89.7	6.51	62.6	67.3	7.54	28	749.8	78.5	6.16	62.8	66.4	7.29	shade	
10:29	C4B	0	NA	NO																		shade	
10:29	C4C	0	NA	NO	0.2/0.2	11:17:38.969	11:19:39.865	28.3	749.9	98	7.57	62.6	66.7	7.62	27.6	749.9	65.4	4.93	63.3	66.5	7.16	shade	
10:29	C4D	0	NA	NO	0.4/0.0	11:24:14.663	11:26:28.666															shade	
10:29	C4E	1	NA	NO																		shade	
10:29	C5A	NA	NA	NO																		sun	set up
10:29	C5B	0.5	NA	NO	0.2/0.1	11:31:22.566	11:32:31.561															shade	
