Location,Trap #,Trip,Date,Gas Vol,Vial #,Emptied?,Anemometer,Start,End,YSI Top Temp,YSI Top Pressure,YSI Top Chl ug/L,YSI Top DO mg/L,YSI Top SPC,YSI Top C,YSI Top pH,YSI Top PC ug/L,YSI Bottom Temp,YSI Bottom Pressure,YSI Bottom Chl ug/L,YSI Bottom DO mg/L,YSI Bottom SPC,YSI Bottom C,YSI Bottom pH,YSI Bottom PC ug/L,Macrophyte/Shade,Notes
Deans,D1A,1,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1B,1,8/16/2022,0,N/A,No,1.6/4.3,10:39:34.575,10:41:05.465,,,,,,,,,,,,,,,,,Overcast,
Deans,D1C,1,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1D,1,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1E,1,8/16/2022,0,N/A,No,1.6/1.4,10:44:06.069,10:45:26.971,,,,,,,,,,,,,,,,,Overcast,
Deans,D2A,1,8/16/2022,0,N/A,No,1.3/0.7,10:48:13.770,10:54:34.376,28,751.9,3.2,5.95,45.5,48.1,8.71,0.05,28,752,3.02,5.86,45.5,48.2,8.89,-0.05,Overcast,
Deans,D2B,1,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D2C,1,8/16/2022,0,N/A,No,1.4/1.8,10:56:56.085,11:03:24.481,28,752,2.85,5.79,45.7,48.3,8.86,0.05,27.6,752,2.67,1.04,47.4,49.7,8.62,0.09,Overcast,
Deans,D2D,1,8/16/2022,0,N/A,No,1.4/1.1,11:05:20.374,11:06:36.374,,,,,,,,,,,,,,,,,Overcast,
Deans,D2E,1,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3A,1,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3B,1,8/16/2022,0,N/A,No,4.3/2.5,11:09:46.081,11:10:54.984,,,,,,,,,,,,,,,,,Overcast,
Deans,D3C,1,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3D,1,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3E,1,8/16/2022,0,N/A,No,0.2/0.0,11:12:46.776,11:14:01.779,,,,,,,,,,,,,,,,,Overcast,
Deans,D4A,1,8/16/2022,0,N/A,No,6.8/1.1,11:15:52.776,11:21:51.579,28,751.2,3.16,5.79,45.5,48.2,8.46,0.08,28,752,3.43,5.74,45.5,48.2,8.53,0.2,Overcast,
Deans,D4B,1,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D4C,1,8/16/2022,0,N/A,No,2.5/2.2,11:24:15.479,11:30:49.381,28,752.1,3.75,5.59,45.6,48.2,8.49,0.14,27.9,752.2,3.02,5.48,45.5,48,8.51,-0.05,Overcast,Came out of water
Deans,D4D,1,8/16/2022,0,N/A,No,1.1/2.3,11:32:13.274,11:33:23.278,,,,,,,,,,,,,,,,,Overcast,
Deans,D4E,1,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,Came out of water
Deans,D5A,1,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5B,1,8/16/2022,0.2,N/A,No,3.6/2.2,11:36:15.281,11:37:41.277,,,,,,,,,,,,,,,,,Overcast,
Deans,D5C,1,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5D,1,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5E,1,8/16/2022,0,N/A,No,0.4/0.0,11:39:58.281,11:41:38.277,,,,,,,,,,,,,,,,,Overcast,
Deans,D1A,2,8/16/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,Sunny,
Deans,D1B,2,8/16/2022,0,N/A,No,2.9/2.9,13:06:59.358,13:08:04.184,,,,,,,,,,,,,,,,,Sunny,
Deans,D1C,2,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Sunny,
Deans,D1D,2,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Sunny,
Deans,D1E,2,8/16/2022,0.1,N/A,No,0.2/0.7,13:10:23.056,13:12:23.666,,,,,,,,,,,,,,,,,Sunny,
