Location,Trap #,Trip,Date,Gas Vol,Vial #,Emptied?,Anemometer,Start,End,YSI Top Temp,YSI Top Pressure,YSI Top DO %L,YSI Top DO mg/L,YSI Top SPC,YSI Top C,YSI Top pH,YSI Bottom Temp,YSI Bottom Pressure,YSI Bottom DO %L,YSI Bottom DO mg/L,YSI Bottom SPC,YSI Bottom C,YSI Bottom pH,Macrophyte/Shade,Notes,,
Sisters3,P1A,1,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,Slight break in clouds at 10:55,,
Sisters3,P1B,1,8/22/2022,0,N/A,No,0.0/0.0,11:10:53.651,11:12:49.455,,,,,,,,,,,,,,,None,,,
Sisters3,P1C,1,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P1D,1,8/22/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P1E,1,8/22/2022,0.3,N/A,No,0.4/0.7,11:15:14.253,11:17:17.261,,,,,,,,,,,,,,,Overcast,,,"Paused after P1E because machine reading looked odd, got back in at 10:55"
Sisters3,P2A,1,8/22/2022,0,N/A,No,0.9/1.1,11:19:47.959,11:27:46.558,26.8,745.6,95,7.4,32.7,33.8,8.17,26.6,745.6,62.5,5.13,33.3,34.5,7.47,Overcast,,,
Sisters3,P2B,1,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P2C,1,8/22/2022,0,N/A,No,1.1/1.1,11:29:39.554,11:34:13.257,27,745.5,96.3,7.58,32.6,33.9,7.95,26,745.6,63.4,5.06,33,33.7,7.33,Sunny,,,
Sisters3,P2D,1,8/22/2022,0,N/A,No,0.0/0.0,11:36:54.167,11:37:40.061,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P2E,1,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P3A,1,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P3B,1,8/22/2022,0,N/A,No,0.4/0.2,11:41:14.998,11:42:24.963,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P3C,1,8/22/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P3D,1,8/22/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P3E,1,8/22/2022,0.2,N/A,No,1.3/0.9,11:44:10.957,11:45:20.879,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P4A,1,8/22/2022,0,N/A,No,0.4/0.2,11:47:06.861,11:50:57.763,26.8,745.5,94.5,7.46,32.6,33.7,8.15,26.8,745.5,91.6,7.28,32.6,33.8,8.15,Shade,,,
Sisters3,P4B,1,8/22/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Shade,,,
Sisters3,P4C,1,8/22/2022,0,N/A,No,1.6/1.6,11:52:43.657,11:56:44.660,26.9,745.4,94.5,7.45,32.6,33.8,8.06,26.8,745.5,82.8,6.51,32.7,33.8,8.02,Shade,,,
Sisters3,P4D,1,8/22/2022,0.3,N/A,No,1.3/0.4,11:56:19.662,11:59:19.656,,,,,,,,,,,,,,,Shade,,,
Sisters3,P4E,1,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,Shade,,,
Sisters3,P5A,1,8/22/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,Shade,,,
Sisters3,P5B,1,8/22/2022,0.4,N/A,No,1.1/0.2,12:04:14.564,12:06:18.463,,,,,,,,,,,,,,,Shade,,,
Sisters3,P5C,1,8/22/2022,N/A,N/A,No,,,,,,,,,,,,,,,,,,Shade,Seal not on tight - reset,,
Sisters3,P5D,1,8/22/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,Shade,,,
Sisters3,P5E,1,8/22/2022,4.7,N/A,No,2.9/1.1,12:09:09.463,12:10:50.287,,,,,,,,,,,,,,,Shade,E is on left side,,
Sisters3,P1A,2,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,Partly cloudy/sunny,,,
Sisters3,P1B,2,8/22/2022,0,N/A,No,1.1/1.3,13:19:58.756,13:21:34.564,,,,,,,,,,,,,,,Partly cloudy/sunny,,,
Sisters3,P1C,2,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,Partly cloudy/sunny,,,
Sisters3,P1D,2,8/22/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Partly cloudy/sunny,,,
Sisters3,P1E,2,8/22/2022,0.3,N/A,No,0.4/0.9,13:25:48.065,13:26:49.061,,,,,,,,,,,,,,,Filamentous algae,,,
Sisters3,P2A,2,8/22/2022,0,N/A,No,2.0/0.2,13:28:44.761,13:36:50.361,27.7,744.9,77,5.92,32.8,34.5,8.08,26.9,745,4.59,58.1,32.6,33.8,7.71,Partly cloudy/sunny,,,
Sisters3,P2B,2,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,Partly cloudy/sunny,,,
Sisters3,P2C,2,8/22/2022,0.1,N/A,No,0.9/0.7,13:38:37.166,13:42:37.958,27.4,744.8,94.3,7.28,32.7,34.2,7.93,26.1,744.8,57.3,4.55,33.5,34.2,7.34,Partly cloudy/sunny,,,
Sisters3,P2D,2,8/22/2022,0,N/A,No,1.8/0.4,13:44:19.751,13:47:06.460,,,,,,,,,,,,,,,Partly cloudy/sunny,,,
Sisters3,P2E,2,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,Partly cloudy/sunny,,,
Sisters3,P3A,2,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,Partly cloudy/sunny,,,
Sisters3,P3B,2,8/22/2022,0,N/A,No,0.0/0.4,13:49:39.365,13:50:56.361,,,,,,,,,,,,,,,Partly cloudy/sunny,Algae in syringe - reset,,
Sisters3,P3C,2,8/22/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Partly cloudy/sunny,,,
Sisters3,P3D,2,8/22/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Partly cloudy/sunny,,,
Sisters3,P3E,2,8/22/2022,0.3,N/A,No,0.4/0.4,13:52:36.261,13:53:55.160,,,,,,,,,,,,,,,Partly cloudy/sunny,,,
Sisters3,P4A,2,8/22/2022,0,N/A,No,0.9/0.7,13:55:41.161,14:02:10.568,28.2,744.6,84.5,6.37,32.7,34.7,7.96,26.9,744.5,82.9,6.49,32.6,33.8,8.1,Part shade,,,
Sisters3,P4B,2,8/22/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Shade,,,
Sisters3,P4C,2,8/22/2022,0,N/A,No,1.6/0.7,14:04:11.473,14:07:40.281,28.3,744.5,84.6,6.43,32.7,34.8,8.06,26.7,744.5,78.5,6.18,32.8,33.9,7.68,Shade,,,
Sisters3,P4D,2,8/22/2022,0.4,N/A,No,0.9/0.7,14:12:38.965,14:14:28.666,,,,,,,,,,,,,,,Shade,,Analyzer stopped showing both traces; shut down and restarted,
