Location,Trap #,Trip,Date,Gas Vol,Vial #,Emptied?,Anemometer,Start,End,YSI Top Temp,YSI Top Pressure,YSI Top DO %L,YSI Top DO mg/L,YSI Top SPC,YSI Top C,YSI Top pH,YSI Bottom Temp,YSI Bottom Pressure,YSI Bottom DO %L,YSI Bottom DO mg/L,YSI Bottom SPC,YSI Bottom C,YSI Bottom pH,Macrophyte/Shade,Notes
Deans,D1A,1,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1B,1,8/30/2022,0.0,N/A,No,0.4,10:04:37.455,10:06:00.266,,,,,,,,,,,,,,,Overcast,
Deans,D1C,1,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1D,1,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1E,1,8/30/2022,0.0,N/A,No,0.1,10:08:38.157,10:09:58.964,,,,,,,,,,,,,,,Overcast,
Deans,D2A,1,8/30/2022,0.1,N/A,No,0.1,10:12:21.662,10:16:54.256,27.9,747.9,78,5.8,44.4,46.9,7.59,27.9,747.8,70.1,5.4,44.4,46.8,7.48,Overcast,
Deans,D2B,1,8/30/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D2C,1,8/30/2022,0.1,N/A,No,0.4,10:20:59.792,10:26:08.461,27.9,747.8,82.3,6.22,44.4,46.9,7.48,26.6,747.7,0.6,0.05,61.6,64.5,6.82,Overcast,
Deans,D2D,1,8/30/2022,0.0,N/A,No,0.4,10:27:29.155,10:28:43.062,,,,,,,,,,,,,,,Overcast,
Deans,D2E,1,8/30/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3A,1,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3B,1,8/30/2022,0.2,N/A,No,0.1,10:31:45.867,10:32:52.766,,,,,,,,,,,,,,,Overcast,
Deans,D3C,1,8/30/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3D,1,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3E,1,8/30/2022,0.1,N/A,No,0.6,10:34:55.469,10:36:46.360,,,,,,,,,,,,,,,Overcast,
Deans,D4A,1,8/30/2022,0.0,N/A,No,0.1,10:38:47.266,10:44:19.967,27.9,747.7,63.2,4.87,44.2,46.7,7.31,27.9,747.6,59.7,4.6,44.2,46.6,7.3,Overcast,
Deans,D4B,1,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D4C,1,8/30/2022,0.0,N/A,No,0.0,10:46:05.964,10:50:05.668,27.9,747.6,64.4,5,44.3,46.8,7.37,27.4,747.7,37.7,2.91,45.9,48.1,7.09,Overcast,
Deans,D4D,1,8/30/2022,0.0,N/A,No,0.1,10:51:18.568,10:52:29.471,,,,,,,,,,,,,,,Overcast,
Deans,D4E,1,8/30/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5A,1,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5B,1,8/30/2022,0.0,N/A,No,0.4,10:56:53.377,10:58:21.360,,,,,,,,,,,,,,,Overcast,
Deans,D5C,1,8/30/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5D,1,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5E,1,8/30/2022,0.4,N/A,No,0.1,11:00:12.268,11:02:17.264,,,,,,,,,,,,,,,Overcast,
Deans,D1A,2,8/30/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D1B,2,8/30/2022,0.0,N/A,No,0.7/0.5,12:52:34.157,12:53:46.960,,,,,,,,,,,,,,,Sunny,
Deans,D1C,2,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D1D,2,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D1E,2,8/30/2022,0.1,N/A,No,0.0/0.4,12:56:26.660,12:57:36.378,,,,,,,,,,,,,,,Sunny,
Deans,D2A,2,8/30/2022,0.3,N/A,No,0.4/0.6,12:59:49.162,13:04:34.854,28.7,746.8,74,5.71,44.4,47.4,7.49,28.1,746.8,61.9,4.76,44.2,46.9,7.34,Sunny,
Deans,D2B,2,8/30/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D2C,2,8/30/2022,0.3,N/A,No,0.9/0.1,13:06:23.661,13:12:57.267,28.9,746.7,73.9,5.49,44.5,47.8,7.55,26.9,746.6,7,0.54,47.6,49.7,6.79,Sunny,
Deans,D2D,2,8/30/2022,0.0,N/A,No,0.1/0.3,13:14:43.967,13:16:29.766,,,,,,,,,,,,,,,Sunny,
Deans,D2E,2,8/30/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D3A,2,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D3B,2,8/30/2022,0.3,N/A,No,0.1/0.4,13:19:36.563,13:20:51.376,,,,,,,,,,,,,,,Sunny,
Deans,D3C,2,8/30/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
