Location,Trap #,Trip,Date,Gas Vol,Vial #,Emptied?,Anemometer,Start,End,YSI Top Temp,YSI Top Pressure,YSI Top DO %L,YSI Top DO mg/L,YSI Top SPC,YSI Top C,YSI Top pH,YSI Bottom Temp,YSI Bottom Pressure,YSI Bottom DO %L,YSI Bottom DO mg/L,YSI Bottom SPC,YSI Bottom C,YSI Bottom pH,Macrophyte/Shade,Notes
Catfish,C1A,1,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C1B,1,9/6/2022,0.1,N/A,No,0.6/0.7,10:06:06.555,10:07:10.462,,,,,,,,,,,,,,,Shade,
Catfish,C1C,1,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C1D,1,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C1E,1,9/6/2022,0.0,N/A,No,0.0/0.3,10:08:56.290,10:10:07.262,,,,,,,,,,,,,,,Shade,
Catfish,C2A,1,9/6/2022,0.0,N/A,No,0.3/0.3,10:11:45.165,10:14:09.155,25.5,748.1,49.2,3.92,59.1,59.8,7.45,25.4,748.1,43.3,3.48,59.1,59.5,7.32,,
Catfish,C2B,1,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C2C,1,9/6/2022,0.0,N/A,No,0.6/0.0,10:18:23.761,10:21:24.669,25.4,748.1,53,4.28,59.6,60,7.26,25.2,748.1,47.3,3.81,59.9,60.1,7.19,,
Catfish,C2D,1,9/6/2022,0.0,N/A,No,0.7/0.8,10:22:49.568,10:24:04.463,,,,,,,,,,,,,,,Shade,
Catfish,C2E,1,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C3A,1,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C3B,1,9/6/2022,0.0,N/A,No,0.8/0.9,10:25:55.361,10:27:06.159,,,,,,,,,,,,,,,Shade,
Catfish,C3C,1,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C3D,1,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C3E,1,9/6/2022,0.0,N/A,No,0.2/0.1,10:28:42.063,10:30:04.960,,,,,,,,,,,,,,,Shade,
Catfish,C4A,1,9/6/2022,0.0,N/A,No,0.4/0.3,10:32:08.767,10:35:45.758,25.3,748.2,51.6,4.14,59.7,60.1,7.25,25.2,748.2,40.1,3.7,60.2,60.4,7.18,Shade,
Catfish,C4B,1,9/6/2022,1.8,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C4C,1,9/6/2022,0.0,N/A,No,0.0/0.4,10:37:29.560,10:42:07.361,25.4,748.3,54.9,4.45,59.4,59.8,7.16,24.8,748.3,45.6,3.65,61.2,60.9,7.08,Shade,
Catfish,C4D,1,9/6/2022,0.0,N/A,No,0.0/0.0,10:43:26.258,10:44:35.165,,,,,,,,,,,,,,,Shade,
Catfish,C4E,1,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C5A,1,9/6/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C5B,1,9/6/2022,0.3,N/A,No,0.2/0.0,10:47:55.170,10:49:03.968,,,,,,,,,,,,,,,Shade,
Catfish,C5C,1,9/6/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C5D,1,9/6/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C5E,1,9/6/2022,0.2,N/A,No,0.0/0.0,10:51:05.865,10:53:02.870,,,,,,,,,,,,,,,Shade,
Catfish,C1A,2,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C1B,2,9/6/2022,0.6,N/A,No,0.2/0.2,13:02:22.660,13:03:25.560,,,,,,,,,,,,,,,,
Catfish,C1C,2,9/6/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C1D,2,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C1E,2,9/6/2022,0.0,N/A,No,0.0/0.0,13:05:52.460,13:06:53.462,,,,,,,,,,,,,,,Shade,
Catfish,C2A,2,9/6/2022,0.0,N/A,No,0.0/0.5,13:08:54.163,13:13:14.681,26.4,748,61.5,4.92,59.5,61.1,7.42,25.7,748,62.2,5,59.4,60.2,7.3,,
Catfish,C2B,2,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C2C,2,9/6/2022,0.3,N/A,No,0.8/0.6,13:15:08.463,13:23:04.881,26.1,748,49.9,3.97,59.7,60.7,7.2,25.2,747.9,49.3,4.04,59.6,59.9,7.13,Overcast,
Catfish,C2D,2,9/6/2022,0.0,N/A,No,0.4/0.1,13:26:21.768,13:27:27.763,,,,,,,,,,,,,,,,
Catfish,C2E,2,9/6/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C3A,2,9/6/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C3B,2,9/6/2022,0.1,N/A,No,0.4/0.2,13:29:38.562,13:31:14.464,,,,,,,,,,,,,,,,
Catfish,C3C,2,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C3D,2,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C3E,2,9/6/2022,0.0,N/A,No,0.1/0.1,13:32:44.363,13:34:30.159,,,,,,,,,,,,,,,Shade,
Catfish,C4A,2,9/6/2022,0.1,N/A,No,0.1/0.6,13:36:10.067,13:41:11.661,25.9,747.9,52.1,4.28,59.6,60.6,7.15,25.3,747.8,27.4,2.24,60.7,60.9,7.07,,
Catfish,C4B,2,9/6/2022,0.9,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C4C,2,9/6/2022,0.0,N/A,No,0.2/0.1,13:43:02.469,13:48:07.266,26.2,747.8,53.5,4.26,59.6,60.9,7.17,25.3,747.8,67.2,5.43,60.2,60.6,7.39,,
Catfish,C4D,2,9/6/2022,1.5,N/A,No,0.1/0.2,13:50:51.068,13:51:58.969,,,,,,,,,,,,,,,Shade,
Catfish,C4E,2,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C5A,2,9/6/2022,5.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C5B,2,9/6/2022,0.4,N/A,No,0.1/0.2,13:54:55.767,13:56:49.763,,,,,,,,,,,,,,,Shade,
Catfish,C5C,2,9/6/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C5D,2,9/6/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C5E,2,9/6/2022,0.3,N/A,No,0.0/0.0,13:58:42.765,14:00:18.670,,,,,,,,,,,,,,,Shade,
Catfish,C1A,3,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C1B,3,9/6/2022,0.5,N/A,No,0.3/0.2,15:53:56.659,15:54:59.467,,,,,,,,,,,,,,,,
Catfish,C1C,3,9/6/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C1D,3,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C1E,3,9/6/2022,0.0,N/A,No,0.0/0.0,15:56:39.270,15:57:55.162,,,,,,,,,,,,,,,,
Catfish,C2A,3,9/6/2022,0.0,N/A,No,0.2/0.6,15:59:39.866,16:05:22.067,26.8,746.5,59.3,4.69,59.9,61.9,7.33,25.8,746.5,60,4.8,59.4,60.3,7.32,,
Catfish,C2B,3,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C2C,3,9/6/2022,0.5,N/A,No,0.5/0.2,16:07:14.868,16:14:57.262,26.9,746.5,60.8,4.8,59.7,61.7,7.2,25.3,746.5,59.6,4.73,59.2,59.5,7.17,,
Catfish,C2D,3,9/6/2022,0.0,N/A,No,0.2/0.2,16:16:42.277,16:18:17.171,,,,,,,,,,,,,,,,
Catfish,C2E,3,9/6/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C3A,3,9/6/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C3B,3,9/6/2022,0.3,N/A,No,0.5/0.3,16:20:41.171,16:22:49.167,,,,,,,,,,,,,,,,
Catfish,C3C,3,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C3D,3,9/6/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C3E,3,9/6/2022,0.0,N/A,No,0.2/0.2,16:24:18.969,16:25:25.970,,,,,,,,,,,,,,,,
Catfish,C4A,3,9/6/2022,0.3,N/A,No,0.2/0.1,16:27:20.961,16:36:59.668,26.6,746.4,61.2,4.82,59.6,61.5,7.21,25.8,746.4,70.8,5.68,60.2,61.1,7.42,Shade - DO jumping around a lot up then down again,
Catfish,C4B,3,9/6/2022,2.5,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C4C,3,9/6/2022,0.3,N/A,No,0.2/0.3,16:38:22.564,16:43:38.468,26.5,746.3,64.3,5.08,59.6,61.4,7.26,25.3,746.3,79.5,6.45,63,63.1,7.36,,
Catfish,C4D,3,9/6/2022,2.8,N/A,No,0.3/0.1,16:44:53.371,16:46:14.369,,,,,,,,,,,,,,,Shade,
Catfish,C4E,3,9/6/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C5A,3,9/6/2022,7.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C5B,3,9/6/2022,0.5,N/A,No,0.1/0.3,16:49:56.272,16:51:13.270,,,,,,,,,,,,,,,Shade,
Catfish,C5C,3,9/6/2022,9.0,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C5D,3,9/6/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C5E,3,9/6/2022,5.0,N/A,No,0.0/0.0,16:52:43.269,16:53:55.267,,,,,,,,,,,,,,,Shade,
Catfish,C1A,4,9/6/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Catfish,C1B,4,9/6/2022,0.7,N/A,No,0.7,18:56:56.788,18:58:02.673,,,,,,,,,,,,,,,Overcast,
Catfish,C1C,4,9/6/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Catfish,C1D,4,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Catfish,C1E,4,9/6/2022,0.3,N/A,No,0.2,18:59:39.500,19:00:45.464,,,,,,,,,,,,,,,Overcast,
Catfish,C2A,4,9/6/2022,0.0,N/A,No,0.4,19:02:25.157,19:09:04.358,26.8,746.2,60.1,4.71,59.5,61.5,7.49,26.1,746.2,62.4,4.95,59.3,60.5,7.37,Overcast,
Catfish,C2B,4,9/6/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Catfish,C2C,4,9/6/2022,2.3,N/A,No,0.4,19:11:18.166,19:16:15.599,27.1,746.3,65.6,5.16,59.7,62,7.32,25.3,746.2,51.2,4.13,59.1,59.5,7.16,Overcast,
Catfish,C2D,4,9/6/2022,0.2,N/A,No,0.4,19:17:36.466,19:18:52.267,,,,,,,,,,,,,,,Overcast,
Catfish,C2E,4,9/6/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Catfish,C3A,4,9/6/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Catfish,C3B,4,9/6/2022,0.3,N/A,No,0.3,19:20:45.970,19:21:56.773,,,,,,,,,,,,,,,Overcast,
Catfish,C3C,4,9/6/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Catfish,C3D,4,9/6/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Catfish,C3E,4,9/6/2022,0.0,N/A,No,0.1,19:23:23.777,19:24:29.668,,,,,,,,,,,,,,,Overcast,
Catfish,C4A,4,9/6/2022,0.4,N/A,No,0.1,19:26:14.667,19:31:05.370,26.6,746.4,65.2,5.11,59.6,69.5,7.3,26.1,746.3,48.9,3.91,60,61.2,7.12,Overcast,
Catfish,C4B,4,9/6/2022,3.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Catfish,C4C,4,9/6/2022,0.4,N/A,No,0.1,19:33:15.270,19:39:22.866,26.5,746.4,61.7,4.89,59.7,61.5,7.2,26,746.4,71,5.65,60,61.1,7.25,Overcast,
Catfish,C4D,4,9/6/2022,4.0,N/A,No,0.2,19:41:29.771,19:42:44.775,,,,,,,,,,,,,,,Overcast,
Catfish,C4E,4,9/6/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Catfish,C5A,4,9/6/2022,12.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Catfish,C5B,4,9/6/2022,3.0,N/A,No,0.0,19:44:41.769,19:46:19.671,,,,,,,,,,,,,,,Overcast,
Catfish,C5C,4,9/6/2022,10.3,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Catfish,C5D,4,9/6/2022,30.0,0238,Yes,,,,,,,,,,,,,,,,,,Overcast,
Catfish,C5E,4,9/6/2022,5.0,N/A,No,0.0,19:51:18.468,19:52:21.367,,,,,,,,,,,,,,,Overcast,
Catfish,C1A,5,9/6/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C1B,5,9/6/2022,2.3,N/A,No,0.0,21:56:38.291,21:57:52.100,,,,,,,,,,,,,,,,
Catfish,C1C,5,9/6/2022,1.9,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C1D,5,9/6/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,,
Catfish,C1E,5,9/6/2022,0.2,N/A,No,0.3,21:59:57.791,22:01:45.392,,,,,,,,,,,,,,,,
