Location,Trap #,Trip,Date,Gas Vol,Vial #,Emptied?,Anemometer,Start,End,YSI Top Temp,YSI Top Pressure,YSI Top DO %L,YSI Top DO mg/L,YSI Top SPC,YSI Top C,YSI Top pH,YSI Bottom Temp,YSI Bottom Pressure,YSI Bottom DO %L,YSI Bottom DO mg/L,YSI Bottom SPC,YSI Bottom C,YSI Bottom pH,Macrophyte/Shade,Notes
Picks,P1A,1,9/13/2022,2.3,N/A,No,,,,,,,,,,,,,,,,,,,
Picks,P1B,1,9/13/2022,0.3,N/A,No,0.0/0.2,10:36:48.873,10:38:02.786,,,,,,,,,,,,,,,Wolffia sun,
Picks,P1C,1,9/13/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Picks,P1D,1,9/13/2022,3.0,N/A,No,,,,,,,,,,,,,,,,,,,
Picks,P1E,1,9/13/2022,0.1,N/A,No,0.0/0.3,10:41:45.564,10:42:53.468,,,,,,,,,,,,,,,Wolffia shade,
Picks,P2A,1,9/13/2022,2.5,N/A,No,0.2/0.2,10:45:18.370,10:48:07.188,23.7,743.9,5.7,0.42,60,58.6,6.84,23.6,743.8,3.3,0.26,59.3,57.7,6.72,Wolffia shade,
Picks,P2B,1,9/13/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,
Picks,P2C,1,9/13/2022,0.0,N/A,No,1.0/0.7,10:50:43.979,10:53:30.775,24.2,743.9,5,0.34,58.7,57.7,6.64,21.1,743.9,2.1,0.18,459.8,424,7.02,Wolffia sun,
Picks,P2D,1,9/13/2022,0.0,N/A,No,0.1/0.1,10:55:06.767,10:56:09.668,,,,,,,,,,,,,,,Wolffia sun,
Picks,P2E,1,9/13/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Picks,P3A,1,9/13/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Picks,P3B,1,9/13/2022,1.4,N/A,No,0.0/0.3,10:59:31.573,11:00:44.367,,,,,,,,,,,,,,,Wolffia shade,
Picks,P3C,1,9/13/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,
Picks,P3D,1,9/13/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
Picks,P3E,1,9/13/2022,0.3,N/A,No,0.2/0.5,11:03:01.375,11:04:19.273,,,,,,,,,,,,,,,Wolffia sun,
Picks,P4A,1,9/13/2022,N/A,N/A,No,0.3./0.4,11:08:31.168,11:09:37.069,24.7,743.9,8.5,0.65,62,61.4,6.69,23.5,743.8,3.2,0.26,67.8,64.5,6.69,Wolffia shade,
Picks,P4B,1,9/13/2022,2.7,N/A,No,,,,,,,,,,,,,,,,,,,
Picks,P4C,1,9/13/2022,2.5,N/A,No,0.1/0.0,11:11:59.969,11:13:47.872,24,743.8,6.9,0.49,64.5,63.6,6.69,23.5,743.8,2.8,0.22,86.5,83.6,6.66,Wolffia sun,
Picks,P4D,1,9/13/2022,0.0,N/A,No,0.9/0.9,11:15:45.771,11:16:24.665,,,,,,,,,,,,,,,Wolffia sun,
Picks,P4E,1,9/13/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,,
