SN:3K430000007758 BD:Apr 19 2021 VC:7d9ffae MD5:34e03199e6006f2831fb02c414d62259
SysTime,                      Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,         LTC0_v,      LTC0_v_sd,         LTC1_v,      LTC1_v_sd,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd, Temp_Status_mA,Analyzer_Status_mA,       Fit_Flag,      MIU_VALVE,       MIU_DESC
09/19/2022 07:05:47.038, 15.59, 2.19504e+0, 0.00000e+0, 6.96689e+2, 0.00000e+0, -1.15736e+2, 0.00000e+0, 2.19479e+0, 0.00000e+0, 6.96609e+2, 0.00000e+0, 5.01413e+2, 0.00000e+0, 2.25712e+1, 0.00000e+0, 2.34382e+1, 0.00000e+0, 3.53208e+0, 0.00000e+0, 2.56821e+0, 0.00000e+0, 1.48549e+0, 0.00000e+0, -6.23447e+0, 0.00000e+0, 4.80165e+0, 0.00000e+0, 7.28272e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled
09/19/2022 07:05:48.022, 16.58, 2.19570e+0, 0.00000e+0, 6.97982e+2, 0.00000e+0, -9.66603e+1, 0.00000e+0, 2.19549e+0, 0.00000e+0, 6.97914e+2, 0.00000e+0, 5.01349e+2, 0.00000e+0, 2.25698e+1, 0.00000e+0, 2.34410e+1, 0.00000e+0, 3.53235e+0, 0.00000e+0, 2.56878e+0, 0.00000e+0, 1.48549e+0, 0.00000e+0, -6.23447e+0, 0.00000e+0, 4.81254e+0, 0.00000e+0, 7.34874e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled
09/19/2022 07:05:49.035, 17.58, 2.19620e+0, 0.00000e+0, 6.99328e+2, 0.00000e+0, -9.19518e+1, 0.00000e+0, 2.19600e+0, 0.00000e+0, 6.99264e+2, 0.00000e+0, 5.01402e+2, 0.00000e+0, 2.25685e+1, 0.00000e+0, 2.34473e+1, 0.00000e+0, 3.53197e+0, 0.00000e+0, 2.56856e+0, 0.00000e+0, 1.48503e+0, 0.00000e+0, -6.23438e+0, 0.00000e+0, 4.80936e+0, 0.00000e+0, 7.32944e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled
09/19/2022 07:05:50.025, 18.59, 2.19631e+0, 0.00000e+0, 7.00744e+2, 0.00000e+0, -3.62995e+1, 0.00000e+0, 2.19623e+0, 0.00000e+0, 7.00718e+2, 0.00000e+0, 5.01414e+2, 0.00000e+0, 2.25663e+1, 0.00000e+0, 2.34525e+1, 0.00000e+0, 3.53142e+0, 0.00000e+0, 2.56813e+0, 0.00000e+0, 1.48458e+0, 0.00000e+0, -6.23445e+0, 0.00000e+0, 4.81323e+0, 0.00000e+0, 7.35289e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled
09/19/2022 07:05:51.017, 19.58, 2.19521e+0, 0.00000e+0, 7.01436e+2, 0.00000e+0, -8.07532e+1, 0.00000e+0, 2.19503e+0, 0.00000e+0, 7.01379e+2, 0.00000e+0, 5.01471e+2, 0.00000e+0, 2.25665e+1, 0.00000e+0, 2.34580e+1, 0.00000e+0, 3.53198e+0, 0.00000e+0, 2.56837e+0, 0.00000e+0, 1.48458e+0, 0.00000e+0, -6.23445e+0, 0.00000e+0, 4.80471e+0, 0.00000e+0, 7.30124e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled
09/19/2022 07:05:52.023, 20.58, 2.19536e+0, 0.00000e+0, 7.02222e+2, 0.00000e+0, -1.10658e+2, 0.00000e+0, 2.19511e+0, 0.00000e+0, 7.02144e+2, 0.00000e+0, 5.01492e+2, 0.00000e+0, 2.25652e+1, 0.00000e+0, 2.34595e+1, 0.00000e+0, 3.53149e+0, 0.00000e+0, 2.56871e+0, 0.00000e+0, 1.48420e+0, 0.00000e+0, -6.23470e+0, 0.00000e+0, 4.80339e+0, 0.00000e+0, 7.29326e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled
09/19/2022 07:05:53.037, 21.58, 2.19527e+0, 0.00000e+0, 7.02583e+2, 0.00000e+0, -6.34068e+1, 0.00000e+0, 2.19513e+0, 0.00000e+0, 7.02538e+2, 0.00000e+0, 5.01541e+2, 0.00000e+0, 2.25643e+1, 0.00000e+0, 2.34646e+1, 0.00000e+0, 3.53175e+0, 0.00000e+0, 2.56875e+0, 0.00000e+0, 1.48382e+0, 0.00000e+0, -6.23500e+0, 0.00000e+0, 4.81286e+0, 0.00000e+0, 7.35068e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled
09/19/2022 07:05:54.019, 22.58, 2.19509e+0, 0.00000e+0, 7.03127e+2, 0.00000e+0, -9.38279e+1, 0.00000e+0, 2.19488e+0, 0.00000e+0, 7.03061e+2, 0.00000e+0, 5.01443e+2, 0.00000e+0, 2.25651e+1, 0.00000e+0, 2.34699e+1, 0.00000e+0, 3.53159e+0, 0.00000e+0, 2.56847e+0, 0.00000e+0, 1.48382e+0, 0.00000e+0, -6.23500e+0, 0.00000e+0, 4.81455e+0, 0.00000e+0, 7.36092e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled
09/19/2022 07:05:55.018, 23.58, 2.19513e+0, 0.00000e+0, 7.03953e+2, 0.00000e+0, -9.36626e+1, 0.00000e+0, 2.19492e+0, 0.00000e+0, 7.03887e+2, 0.00000e+0, 5.01363e+2, 0.00000e+0, 2.25639e+1, 0.00000e+0, 2.34724e+1, 0.00000e+0, 3.53183e+0, 0.00000e+0, 2.56838e+0, 0.00000e+0, 1.48349e+0, 0.00000e+0, -6.23536e+0, 0.00000e+0, 4.80384e+0, 0.00000e+0, 7.29598e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled
09/19/2022 07:05:56.029, 24.58, 2.19452e+0, 0.00000e+0, 7.04303e+2, 0.00000e+0, -7.82293e+1, 0.00000e+0, 2.19435e+0, 0.00000e+0, 7.04248e+2, 0.00000e+0, 5.01484e+2, 0.00000e+0, 2.25640e+1, 0.00000e+0, 2.34763e+1, 0.00000e+0, 3.53168e+0, 0.00000e+0, 2.56840e+0, 0.00000e+0, 1.48316e+0, 0.00000e+0, -6.23574e+0, 0.00000e+0, 4.81111e+0, 0.00000e+0, 7.34008e+1, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled
