"","uid","domainID","siteID","namedLocation","collectDate","parentSampleID","waterSampleID","waterSampleCode","sdgFieldDataQF","publicationDate","release","date_time","time"
"1","9669399a-2fa3-445b-9244-0af6766f9bfc","D03","BARC","BARC.AOS.buoy.c0",2016-07-06 13:50:00,"BARC.C0.20160706","BARC.C0.20160706",NA,NA,"20221122T173009Z","RELEASE-2023",2016-07-06 09:50:00,2023-04-17 09:50:00
"2","0a53c7ef-4597-4a2d-8149-b6505e336efc","D03","BARC","BARC.AOS.littoral1",2016-07-06 14:30:00,"BARC.IN.20160706","BARC.IN.20160706",NA,NA,"20221122T173009Z","RELEASE-2023",2016-07-06 10:30:00,2023-04-17 10:30:00
"3","3689827a-4f44-4d63-b5c6-a437b80c651a","D03","BARC","BARC.AOS.littoral2",2016-07-06 15:10:00,"BARC.OT.20160706","BARC.OT.20160706",NA,NA,"20221122T173009Z","RELEASE-2023",2016-07-06 11:10:00,2023-04-17 11:10:00
"4","b05a2c9a-a87a-45ed-bbdb-ae0deffa42ff","D03","BARC","BARC.AOS.buoy.c0",2016-08-10 12:50:00,"BARC.C0.20160810","BARC.C0.20160810",NA,NA,"20221122T180741Z","RELEASE-2023",2016-08-10 08:50:00,2023-04-17 08:50:00
"5","5ff67a61-02db-40c0-a318-25ea6255a90c","D03","BARC","BARC.AOS.littoral1",2016-08-10 13:20:00,"BARC.IN.20160810","BARC.IN.20160810",NA,NA,"20221122T180741Z","RELEASE-2023",2016-08-10 09:20:00,2023-04-17 09:20:00
"6","62b73162-b332-4a49-b3cb-1c116b3ab57b","D03","BARC","BARC.AOS.littoral2",2016-08-10 13:48:00,"BARC.OT.20160810","BARC.OT.20160810",NA,NA,"20221122T180741Z","RELEASE-2023",2016-08-10 09:48:00,2023-04-17 09:48:00
"7","604c651c-771f-4b58-84b3-b4e257fc2096","D03","BARC","BARC.AOS.buoy.c0",2016-09-07 14:38:00,"BARC.C0.20160907","BARC.C0.20160907",NA,NA,"20221122T172747Z","RELEASE-2023",2016-09-07 10:38:00,2023-04-17 10:38:00
"8","205f2a9e-93dc-4ad4-995e-0b00723ca808","D03","BARC","BARC.AOS.littoral1",2016-09-07 15:04:00,"BARC.IN.20160907","BARC.IN.20160907",NA,NA,"20221122T172747Z","RELEASE-2023",2016-09-07 11:04:00,2023-04-17 11:04:00
"9","a82c2d84-e4c9-418f-813d-e6a146a0e0e7","D03","BARC","BARC.AOS.littoral2",2016-09-07 15:35:00,"BARC.OT.20160907","BARC.OT.20160907",NA,NA,"20221122T172747Z","RELEASE-2023",2016-09-07 11:35:00,2023-04-17 11:35:00
"10","4b0e7121-691c-4553-b203-b8e7be19302e","D03","BARC","BARC.AOS.buoy.c0",2016-10-12 14:25:00,"BARC.C0.20161012","BARC.C0.20161012",NA,NA,"20221122T173358Z","RELEASE-2023",2016-10-12 10:25:00,2023-04-17 10:25:00
"11","d5f79e29-383a-4c78-b92f-034bc8eecf3a","D03","BARC","BARC.AOS.littoral1",2016-10-12 14:56:00,"BARC.IN.20161012","BARC.IN.20161012",NA,NA,"20221122T173358Z","RELEASE-2023",2016-10-12 10:56:00,2023-04-17 10:56:00
"12","b076ff73-ecb8-4708-b003-f2e1bfd6b814","D03","BARC","BARC.AOS.littoral2",2016-10-12 15:30:00,"BARC.OT.20161012","BARC.OT.20161012",NA,NA,"20221122T173358Z","RELEASE-2023",2016-10-12 11:30:00,2023-04-17 11:30:00
"13","0ba27de9-5ae9-427a-b0d3-5a8245cb1e2d","D03","BARC","BARC.AOS.buoy.c0",2016-11-02 15:05:00,"BARC.C0.20161102","BARC.C0.20161102",NA,NA,"20221122T184459Z","RELEASE-2023",2016-11-02 11:05:00,2023-04-17 11:05:00
"14","d1897391-7381-47fe-8208-6412cc025c4c","D03","BARC","BARC.AOS.littoral1",2016-11-02 15:30:00,"BARC.IN.20161102","BARC.IN.20161102",NA,NA,"20221122T184459Z","RELEASE-2023",2016-11-02 11:30:00,2023-04-17 11:30:00
"15","6c9188ab-2835-4e4d-b488-83ddd64560ab","D03","BARC","BARC.AOS.littoral2",2016-11-02 15:58:00,"BARC.OT.20161102","BARC.OT.20161102",NA,NA,"20221122T184459Z","RELEASE-2023",2016-11-02 11:58:00,2023-04-17 11:58:00
"16","b952c365-aeca-4ad8-b69f-2165a6364a90","D03","BARC","BARC.AOS.littoral1",2016-12-13 15:29:00,"BARC.IN.20161213","BARC.IN.20161213",NA,NA,"20221122T190134Z","RELEASE-2023",2016-12-13 10:29:00,2023-04-17 10:29:00
"17","309a7a5a-f323-4d66-8498-c40818e155bc","D03","BARC","BARC.AOS.littoral2",2016-12-13 16:01:00,"BARC.OT.20161213","BARC.OT.20161213",NA,NA,"20221122T190134Z","RELEASE-2023",2016-12-13 11:01:00,2023-04-17 11:01:00
"18","79fd32ad-0749-4970-81cb-3e9d3fb1a31d","D03","BARC","BARC.AOS.buoy.c0",2016-12-13 16:41:00,"BARC.C0.20161213","BARC.C0.20161213",NA,NA,"20221122T190134Z","RELEASE-2023",2016-12-13 11:41:00,2023-04-17 11:41:00
"19","1963cdfa-2c7e-4678-b75c-478d9aca599b","D03","BARC","BARC.AOS.buoy.c0",2017-02-01 15:12:00,"BARC.C0.20170201","BARC.C0.20170201",NA,NA,"20221122T190757Z","RELEASE-2023",2017-02-01 10:12:00,2023-04-17 10:12:00
"20","bb879e4f-c6b1-4f71-9ea9-222b914799f5","D03","BARC","BARC.AOS.littoral1",2017-02-01 15:47:00,"BARC.IN.20170201","BARC.IN.20170201",NA,NA,"20221122T190757Z","RELEASE-2023",2017-02-01 10:47:00,2023-04-17 10:47:00
"21","2ab92eca-2928-4bfe-90af-52665b0dfe24","D03","BARC","BARC.AOS.littoral2",2017-02-01 16:20:00,"BARC.OT.20170201","BARC.OT.20170201",NA,NA,"20221122T190757Z","RELEASE-2023",2017-02-01 11:20:00,2023-04-17 11:20:00
