sample_ID,site,timestamp,pCH4_uatm,CH4_uM,CH4_notes,pCO2_uatm,CO2_uM,CO2_notes,pN2O_uatm,N2O_uM,N2O_notes
ARIK.SS.20160607,ARIK,6/7/2016 18:42,1902.21,3.106,,5118,197.3,,0.489,0.014,
ARIK.SS.20160613,ARIK,6/13/2016 18:00,1837.42,2.943,,5373,202.3,,0.662,0.018,
ARIK.SS.20160705,ARIK,7/5/2016 18:46,2609.5,4.154,,8566,319.5,,0.866,0.023,
ARIK.SS.20160718,ARIK,7/18/2016 16:59,1044.86,1.677,,5575,210.5,,0.202,0.006,
ARIK.SS.20160802,ARIK,8/2/2016 17:17,9044.55,15.333,,14350,580.6,,0.546,0.016,
ARIK.SS.20160816,ARIK,8/16/2016 20:47,4022.78,6.295,,9230,337.2,,0.129,0.003,
ARIK.SS.20160906,ARIK,9/6/2016 18:04,8759.94,15.347,,12030,506.5,,0.546,0.017,
ARIK.SS.20161004,ARIK,10/4/2016 15:39,10358.3,22.305,,9277,505.5,,0.637,0.026,
ARIK.SS.20161101,ARIK,11/1/2016 17:46,2418.79,5.383,,4734,269.4,,0.001,0,BDL
ARIK.SS.20161206,ARIK,12/6/2016 16:39,427.23,1.208,,1340,103.2,,0.001,0,BDL
ARIK.SS.20170104,ARIK,1/4/2017 16:00,547.07,1.606,,2312,186.4,,0.17,0.011,
ARIK.SS.20170118,ARIK,1/18/2017 16:42,420.91,1.233,,1892,152.1,,0.449,0.029,
ARIK.SS.20170207,ARIK,2/7/2017 18:25,358.68,0.974,,1612,117.6,,0.317,0.018,
ARIK.SS.20170214,ARIK,2/14/2017 18:10,544.58,1.448,,2026,144.6,,0.886,0.05,
ARIK.SS.20170301,ARIK,3/1/2017 19:10,669.05,1.757,,2663,187.1,,7.78,0.429,
ARIK.SS.20170309,ARIK,3/9/2017 18:22,889.45,2.116,,4051,250.9,,1.192,0.057,
ARIK.SS.20170314,ARIK,3/14/2017 16:02,886.54,2.291,,2845,195.7,,0.527,0.028,
ARIK.SS.20170406,ARIK,4/6/2017 15:40,1593.43,3.71,,3263,197,,0.193,0.009,
ARIK.SS.20170412,ARIK,4/12/2017 14:50,2360.78,5.235,,4159,235.7,,0.403,0.017,
ARIK.SS.20170418,ARIK,4/18/2017 15:20,3100.02,6.524,,4492,238.3,,0.428,0.017,
ARIK.SS.20170426,ARIK,4/26/2017 17:37,2447.78,5.376,,3156,176.3,,0.396,0.017,
ARIK.SS.20170502,ARIK,5/2/2017 17:36,1961.24,4.229,,3259,178.3,,0.313,0.013,
ARIK.SS.20170516,ARIK,5/16/2017 15:40,3558.65,6.678,,4910,224.9,,0.818,0.028,
ARIK.SS.20170531,ARIK,5/31/2017 17:19,1957.73,3.419,,5600,234.9,,1.011,0.031,
ARIK.SS.20170606,ARIK,6/6/2017 16:20,1515.12,2.625,,5649,234.9,,1.091,0.033,
ARIK.SS.20170719,ARIK,7/19/2017 14:40,7738.26,14.262,,11987,538.4,,0.766,0.026,
ARIK.SS.20170801,ARIK,8/1/2017 14:33,7595.51,14.013,,13155,592.8,,0.341,0.011,
ARIK.SS.20170816,ARIK,8/16/2017 16:30,2717.64,5.042,,9576,433.5,,0.399,0.013,
ARIK.SS.20170905,ARIK,9/5/2017 17:45,26159.04,51.634,,9474,465,,0.286,0.011,
ARIK.SS.20171012,ARIK,10/12/2017 11:19,6611.12,14.867,,6840,394,,0.333,0.015,
ARIK.SS.20171024,ARIK,10/24/2017 17:15,7594.24,17.933,,5773,355.8,,0.268,0.013,
ARIK.SS.20171107,ARIK,11/7/2017 16:40,1323.02,3.407,,2331,159.3,,0.546,0.029,
ARIK.SS.20171130,ARIK,11/30/2017 16:54,597.53,1.621,,1516,111,,0.352,0.02,
ARIK.SS.20171205,ARIK,12/5/2017 16:20,588.08,1.688,,1216,95.2,,0.249,0.016,
ARIK.SS.20171220,ARIK,12/20/2017 18:08,434.25,1.179,,1274,92.9,,0.316,0.018,
ARIK.SS.20180104,ARIK,1/4/2018 17:12,307.64,0.882,,1479,116,,0.237,0.015,
ARIK.SS.20180118,ARIK,1/18/2018 16:24,472.39,1.382,,3471,278.9,,0.486,0.031,
ARIK.SS.20180207,ARIK,2/7/2018 17:30,317.6,0.916,,1397,110.3,,0.202,0.013,
ARIK.SS.20180215,ARIK,2/15/2018 15:51,261.87,0.74,,1481,113.8,,0.281,0.017,
ARIK.SS.20180228,ARIK,2/28/2018 15:39,392.52,1.105,,1741,133,,1.218,0.074,
ARIK.SS.20180306,ARIK,3/6/2018 16:01,495.28,1.387,,1590,121.1,,0.557,0.034,
ARIK.SS.20180313,ARIK,3/13/2018 14:20,290.92,0.777,,1214,87.2,,0.404,0.023,
ARIK.SS.20180327,ARIK,3/27/2018 16:55,822.31,1.892,,2696,160.4,,0.49,0.022,
ARIK.SS.20180403,ARIK,4/3/2018 17:43,774.08,1.705,,2378,133.6,,1.073,0.046,
ARIK.SS.20180418,ARIK,4/18/2018 17:45,963.87,2.176,,2883,167.4,,1.03,0.046,
ARIK.SS.20180501,ARIK,5/1/2018 14:20,1279.42,2.804,,4185,233,,0.735,0.031,
ARIK.SS.20180509,ARIK,5/9/2018 15:34,1290.14,2.475,,5945,281.1,,0.773,0.027,
ARIK.SS.20180515,ARIK,5/15/2018 17:57,809.17,1.463,,4530,198.7,,1.753,0.057,
ARIK.SS.20180530,ARIK,5/30/2018 17:15,816.54,1.42,,5190,216.4,,2.584,0.079,
ARIK.SS.20180606,ARIK,6/6/2018 13:29,2569.9,4.97,,13494,643.1,,0.001,0,BDL
ARIK.SS.20180613,ARIK,6/13/2018 15:36,3124.13,5.967,,12757,599.8,,0.262,0.009,
ARIK.SS.20180702,ARIK,7/2/2018 18:29,1171.08,1.864,,6991,260.9,,0.87,0.024,
ARIK.SS.20180712,ARIK,7/12/2018 15:53,4843.08,8.483,,14630,617.2,,0.092,0.003,
ARIK.SS.20180718,ARIK,7/18/2018 15:18,9053.47,15.859,,14945,629.9,,0.461,0.014,
ARIK.SS.20180807,ARIK,8/7/2018 14:19,14404.51,28.238,,11571,562,,0.196,0.007,
ARIK.SS.20180820,ARIK,8/20/2018 16:50,1599.04,3.128,,4240,205.5,,0.223,0.008,
ARIK.SS.20180904,ARIK,9/4/2018 17:15,6895.65,12.253,,9325,400.1,,0.283,0.009,
ARIK.SS.20181002,ARIK,10/2/2018 15:24,7696.71,14.752,,10065,474.5,,0.488,0.017,
ARIK.SS.20181106,ARIK,11/6/2018 16:25,753.98,1.846,,2544,163.3,,0.176,0.009,
ARIK.SS.20181204,ARIK,12/4/2018 16:14,234.65,0.666,,1258,97.4,,0.126,0.008,
ARIK.SS.20181219,ARIK,12/19/2018 16:15,261.44,0.719,,1252,92.8,,0.221,0.013,
ARIK.SS.20190103,ARIK,1/3/2019 16:00,366.79,1.077,,2285,184.4,,0.077,0.005,
ARIK.SS.20190121,ARIK,1/21/2019 18:57,207.65,0.588,,905,69.3,,0.233,0.014,
ARIK.SS.20190205,ARIK,2/5/2019 18:04,223.62,0.665,,745,60.8,,0.245,0.016,
ARIK.SS.20190214,ARIK,2/14/2019 18:20,303.18,0.828,,1103,81.1,,0.292,0.017,
ARIK.SS.20190227,ARIK,2/27/2019 15:59,338.52,0.983,,1471,117.3,,0.23,0.015,
ARIK.SS.20190305,ARIK,3/5/2019 17:58,423.5,1.219,,2963,233.9,,0.271,0.017,
ARIK.SS.20190312,ARIK,3/12/2019 19:45,367.98,0.822,,2820,160.7,,0.612,0.027,
ARIK.SS.20190327,ARIK,3/27/2019 16:31,880.27,1.941,,3657,205.9,,0.454,0.02,
ARIK.SS.20190402,ARIK,4/2/2019 19:39,1010.1,2.191,,3230,178.1,,0.73,0.031,
ARIK.SS.20190417,ARIK,4/17/2019 17:20,1540.63,3.114,,4423,223,,0.548,0.021,
ARIK.SS.20190429,ARIK,4/29/2019 18:35,1817.76,3.957,,3553,196.9,,0.563,0.024,
ARIK.SS.20190507,ARIK,5/7/2019 13:15,1293.91,2.893,,3679,210.6,,0.634,0.028,
ARIK.SS.20190514,ARIK,5/14/2019 16:51,1154.87,2.086,,6215,272.3,,1.332,0.043,
ARIK.SS.20190529,ARIK,5/29/2019 18:15,1177.82,2.375,,3748,188.4,,0.709,0.027,
ARIK.SS.20190605,ARIK,6/5/2019 16:16,1294.69,2.318,,3704,160.6,,0.315,0.01,
ARIK.SS.20190611,ARIK,6/11/2019 17:31,2652.22,4.866,,7423,332.2,,0.667,0.022,
ARIK.SS.20190618,ARIK,6/18/2019 15:30,3124.76,6.023,,7166,340.3,,0.7,0.025,
ARIK.SS.20190708,ARIK,7/8/2019 16:05,7305.85,13.405,,13759,614.5,,0.742,0.025,
ARIK.SS.20190718,ARIK,7/18/2019 15:41,13140.94,23.791,,16046,705.4,,0.637,0.021,
ARIK.SS.20190806,ARIK,8/6/2019 17:35,11879.35,19.151,,16282,617.3,,1.098,0.03,
ARIK.SS.20190819,ARIK,8/19/2019 17:43,8312.89,14.14,,16105,653.8,,1.297,0.039,
ARIK.SS.20190903,ARIK,9/3/2019 19:50,7592.41,13.012,,13228,542.6,,0.093,0.003,
ARIK.SS.20191002,ARIK,10/2/2019 14:10,3324.41,7.45,,3499,200.9,,0.103,0.005,
ARIK.SS.20191105,ARIK,11/5/2019 20:01,2139.09,5.194,,3735,237.6,,0.214,0.011,
ARIK.SS.20191212,ARIK,12/12/2019 19:10,569.37,1.55,,1742,127.8,,0.107,0.006,
ARIK.SS.20191218,ARIK,12/18/2019 18:29,736.62,2.067,,2215,168.8,,0.253,0.015,
ARIK.SS.20200107,ARIK,1/7/2020 18:34,1070.71,3.014,,1890,144.8,,0.234,0.014,
ARIK.SS.20200115,ARIK,1/15/2020 18:16,580.58,1.665,,1112,87.2,,0.204,0.013,
ARIK.SS.20200205,ARIK,2/5/2020 19:19,962.42,2.809,,812,64.9,,0.001,0,BDL
ARIK.SS.20200212,ARIK,2/12/2020 16:20,857.34,2.485,,1270,100.8,,0.124,0.008,
ARIK.SS.20200227,ARIK,2/27/2020 15:26,575.46,1.642,,841,65.6,,0.216,0.013,
ARIK.SS.20200303,ARIK,3/3/2020 18:30,791.28,1.936,,1648,105.5,,0.415,0.021,
ARIK.SS.20200310,ARIK,3/10/2020 15:45,931.35,2.261,,1794,114.1,,0.415,0.02,
BARC.C0.20160706,BARC,7/6/2016 13:50,1798.72,2.185,,2007,55.2,,0.937,0.018,
BARC.C0.20160810,BARC,8/10/2016 12:50,907.26,1.163,,2465,72.6,,0.632,0.013,
