"","Unix Timestamp","UTC_Date_&_Time","Eastern Standard Time","Battery","Temperature","Dissolved Oxygen","Dissolved Oxygen Saturation","Q","DO_mgL","Date_Time"
"1","1654888560","2022-06-10 19:16:00","2022-06-10 15:16:00","3.210000","34.138000","6.900000","97.887919","0.968000",6.9,2022-06-10 15:16:00
"2","1654889160","2022-06-10 19:26:00","2022-06-10 15:26:00","3.210000","36.131000","6.629000","97.163885","0.965000",6.629,2022-06-10 15:26:00
"3","1654889760","2022-06-10 19:36:00","2022-06-10 15:36:00","3.210000","17.848000","1.794000","18.891392","0.925000",1.794,2022-06-10 15:36:00
"4","1654890360","2022-06-10 19:46:00","2022-06-10 15:46:00","3.220000","15.433000","2.203000","22.051319","0.950000",2.203,2022-06-10 15:46:00
"5","1654890960","2022-06-10 19:56:00","2022-06-10 15:56:00","3.220000","14.641000","2.193000","21.579347","0.957000",2.193,2022-06-10 15:56:00
"6","1654891560","2022-06-10 20:06:00","2022-06-10 16:06:00","3.220000","14.347000","2.072000","20.258582","0.960000",2.072,2022-06-10 16:06:00
"7","1654892160","2022-06-10 20:16:00","2022-06-10 16:16:00","3.220000","14.191000","1.899000","18.503898","0.961000",1.899,2022-06-10 16:16:00
"8","1654892760","2022-06-10 20:26:00","2022-06-10 16:26:00","3.220000","14.139000","1.762000","17.149426","0.962000",1.762,2022-06-10 16:26:00
"9","1654893360","2022-06-10 20:36:00","2022-06-10 16:36:00","3.220000","14.104000","1.605000","15.609378","0.961000",1.605,2022-06-10 16:36:00
"10","1654893960","2022-06-10 20:46:00","2022-06-10 16:46:00","3.220000","14.087000","1.394000","13.552251","0.959000",1.394,2022-06-10 16:46:00
"11","1654894560","2022-06-10 20:56:00","2022-06-10 16:56:00","3.220000","13.982000","0.574000","5.567493","0.948000",0.574,2022-06-10 16:56:00
"12","1654895160","2022-06-10 21:06:00","2022-06-10 17:06:00","3.220000","13.974000","0.676000","6.555686","0.953000",0.676,2022-06-10 17:06:00
"13","1654895760","2022-06-10 21:16:00","2022-06-10 17:16:00","3.220000","14.000000","0.667000","6.472101","0.954000",0.667,2022-06-10 17:16:00
"14","1654896360","2022-06-10 21:26:00","2022-06-10 17:26:00","3.220000","13.982000","0.615000","5.965171","0.954000",0.615,2022-06-10 17:26:00
"15","1654896960","2022-06-10 21:36:00","2022-06-10 17:36:00","3.220000","13.965000","0.552000","5.352105","0.953000",0.552,2022-06-10 17:36:00
"16","1654897560","2022-06-10 21:46:00","2022-06-10 17:46:00","3.220000","13.947000","0.491000","4.758775","0.952000",0.491,2022-06-10 17:46:00
"17","1654898160","2022-06-10 21:56:00","2022-06-10 17:56:00","3.220000","13.956000","0.426000","4.129612","0.952000",0.426,2022-06-10 17:56:00
"18","1654898760","2022-06-10 22:06:00","2022-06-10 18:06:00","3.220000","13.939000","0.371000","3.595102","0.951000",0.371,2022-06-10 18:06:00
"19","1654899360","2022-06-10 22:16:00","2022-06-10 18:16:00","3.220000","13.965000","0.328000","3.180236","0.951000",0.328,2022-06-10 18:16:00
"20","1654899960","2022-06-10 22:26:00","2022-06-10 18:26:00","3.220000","13.930000","0.289000","2.799943","0.950000",0.289,2022-06-10 18:26:00
"21","1654900560","2022-06-10 22:36:00","2022-06-10 18:36:00","3.210000","13.956000","0.257000","2.491339","0.949000",0.257,2022-06-10 18:36:00
"22","1654901160","2022-06-10 22:46:00","2022-06-10 18:46:00","3.220000","13.939000","0.224000","2.170628","0.948000",0.224,2022-06-10 18:46:00
"23","1654901760","2022-06-10 22:56:00","2022-06-10 18:56:00","3.220000","13.921000","0.202000","1.956666","0.948000",0.202,2022-06-10 18:56:00
"24","1654902360","2022-06-10 23:06:00","2022-06-10 19:06:00","3.220000","13.895000","0.181000","1.752248","0.948000",0.181,2022-06-10 19:06:00
"25","1654902960","2022-06-10 23:16:00","2022-06-10 19:16:00","3.220000","13.921000","0.161000","1.559521","0.948000",0.161,2022-06-10 19:16:00
"26","1654903560","2022-06-10 23:26:00","2022-06-10 19:26:00","3.220000","13.904000","0.147000","1.423378","0.948000",0.147,2022-06-10 19:26:00
"27","1654904160","2022-06-10 23:36:00","2022-06-10 19:36:00","3.220000","13.930000","0.133000","1.288555","0.948000",0.133,2022-06-10 19:36:00
"28","1654904760","2022-06-10 23:46:00","2022-06-10 19:46:00","3.220000","13.947000","0.122000","1.182425","0.948000",0.122,2022-06-10 19:46:00
"29","1654905360","2022-06-10 23:56:00","2022-06-10 19:56:00","3.220000","13.913000","0.112000","1.084694","0.947000",0.112,2022-06-10 19:56:00
"30","1654905960","2022-06-11 00:06:00","2022-06-10 20:06:00","3.220000","13.930000","0.103000","0.997904","0.947000",0.103,2022-06-10 20:06:00
"31","1654906560","2022-06-11 00:16:00","2022-06-10 20:16:00","3.220000","13.904000","0.097000","0.939236","0.947000",0.097,2022-06-10 20:16:00
"32","1654907160","2022-06-11 00:26:00","2022-06-10 20:26:00","3.220000","13.921000","0.092000","0.891155","0.947000",0.092,2022-06-10 20:26:00
"33","1654907760","2022-06-11 00:36:00","2022-06-10 20:36:00","3.220000","13.895000","0.086000","0.832560","0.947000",0.086,2022-06-10 20:36:00
"34","1654908360","2022-06-11 00:46:00","2022-06-10 20:46:00","3.220000","13.913000","0.083000","0.803835","0.947000",0.083,2022-06-10 20:46:00
"35","1654908960","2022-06-11 00:56:00","2022-06-10 20:56:00","3.220000","13.921000","0.079000","0.765231","0.947000",0.079,2022-06-10 20:56:00
"36","1654909560","2022-06-11 01:06:00","2022-06-10 21:06:00","3.220000","13.913000","0.077000","0.745727","0.947000",0.077,2022-06-10 21:06:00
"37","1654910160","2022-06-11 01:16:00","2022-06-10 21:16:00","3.220000","13.895000","0.074000","0.716389","0.947000",0.074,2022-06-10 21:16:00
"38","1654910760","2022-06-11 01:26:00","2022-06-10 21:26:00","3.220000","13.913000","0.071000","0.687618","0.947000",0.071,2022-06-10 21:26:00
"39","1654911360","2022-06-11 01:36:00","2022-06-10 21:36:00","3.220000","13.904000","0.068000","0.658434","0.947000",0.068,2022-06-10 21:36:00
"40","1654911960","2022-06-11 01:46:00","2022-06-10 21:46:00","3.220000","13.895000","0.067000","0.648622","0.947000",0.067,2022-06-10 21:46:00
"41","1654912560","2022-06-11 01:56:00","2022-06-10 21:56:00","3.220000","13.878000","0.068000","0.658057","0.947000",0.068,2022-06-10 21:56:00
"42","1654913160","2022-06-11 02:06:00","2022-06-10 22:06:00","3.220000","13.852000","0.068000","0.657680","0.947000",0.068,2022-06-10 22:06:00
"43","1654913760","2022-06-11 02:16:00","2022-06-10 22:16:00","3.220000","13.895000","0.067000","0.648622","0.947000",0.067,2022-06-10 22:16:00
"44","1654914360","2022-06-11 02:26:00","2022-06-10 22:26:00","3.220000","13.886000","0.064000","0.619457","0.947000",0.064,2022-06-10 22:26:00
"45","1654914960","2022-06-11 02:36:00","2022-06-10 22:36:00","3.220000","13.878000","0.064000","0.619348","0.947000",0.064,2022-06-10 22:36:00
"46","1654915560","2022-06-11 02:46:00","2022-06-10 22:46:00","3.220000","13.895000","0.063000","0.609899","0.947000",0.063,2022-06-10 22:46:00
"47","1654916160","2022-06-11 02:56:00","2022-06-10 22:56:00","3.220000","13.895000","0.062000","0.600218","0.947000",0.062,2022-06-10 22:56:00
"48","1654916760","2022-06-11 03:06:00","2022-06-10 23:06:00","3.220000","13.904000","0.063000","0.610019","0.947000",0.063,2022-06-10 23:06:00
"49","1654917360","2022-06-11 03:16:00","2022-06-10 23:16:00","3.220000","13.895000","0.062000","0.600218","0.947000",0.062,2022-06-10 23:16:00
"50","1654917960","2022-06-11 03:26:00","2022-06-10 23:26:00","3.220000","13.869000","0.061000","0.590199","0.947000",0.061,2022-06-10 23:26:00
"51","1654918560","2022-06-11 03:36:00","2022-06-10 23:36:00","3.220000","13.878000","0.061000","0.590316","0.947000",0.061,2022-06-10 23:36:00
"52","1654919160","2022-06-11 03:46:00","2022-06-10 23:46:00","3.220000","13.878000","0.061000","0.590316","0.947000",0.061,2022-06-10 23:46:00
"53","1654919760","2022-06-11 03:56:00","2022-06-10 23:56:00","3.220000","13.869000","0.061000","0.590199","0.947000",0.061,2022-06-10 23:56:00
"54","1654920360","2022-06-11 04:06:00","2022-06-11 00:06:00","3.220000","13.878000","0.061000","0.590316","0.947000",0.061,2022-06-11 00:06:00
"55","1654920960","2022-06-11 04:16:00","2022-06-11 00:16:00","3.210000","13.878000","0.061000","0.590316","0.947000",0.061,2022-06-11 00:16:00
"56","1654921560","2022-06-11 04:26:00","2022-06-11 00:26:00","3.210000","13.860000","0.062000","0.599755","0.947000",0.062,2022-06-11 00:26:00
"57","1654922160","2022-06-11 04:36:00","2022-06-11 00:36:00","3.220000","13.886000","0.060000","0.580741","0.947000",0.06,2022-06-11 00:36:00
