"site","date","depth","temp"
"Catfish",2022-09-07 09:53:00,0.25,25.297
"Catfish",2022-09-07 10:03:00,0.25,25.322
"Catfish",2022-09-07 10:13:00,0.25,25.33
"Catfish",2022-09-07 10:23:00,0.25,25.339
"Catfish",2022-09-07 10:33:00,0.25,25.373
"Catfish",2022-09-07 10:43:00,0.25,25.356
"Catfish",2022-09-07 10:53:00,0.25,25.389
"Catfish",2022-09-07 11:03:00,0.25,25.423
"Catfish",2022-09-07 11:13:00,0.25,25.415
"Catfish",2022-09-07 11:23:00,0.25,25.423
"Catfish",2022-09-07 11:33:00,0.25,25.415
"Catfish",2022-09-07 11:43:00,0.25,25.507
"Catfish",2022-09-07 11:53:00,0.25,25.533
"Catfish",2022-09-07 12:03:00,0.25,25.634
"Catfish",2022-09-07 12:13:00,0.25,25.617
"Catfish",2022-09-07 12:23:00,0.25,25.642
"Catfish",2022-09-07 12:33:00,0.25,25.667
"Catfish",2022-09-07 12:43:00,0.25,25.726
"Catfish",2022-09-07 12:53:00,0.25,25.735
"Catfish",2022-09-07 13:03:00,0.25,25.726
"Catfish",2022-09-07 13:13:00,0.25,25.777
"Catfish",2022-09-07 13:23:00,0.25,25.861
"Catfish",2022-09-07 13:33:00,0.25,25.912
"Catfish",2022-09-07 13:43:00,0.25,25.954
"Catfish",2022-09-07 13:53:00,0.25,26.013
"Catfish",2022-09-07 14:03:00,0.25,26.047
"Catfish",2022-09-07 14:13:00,0.25,26.072
"Catfish",2022-09-07 14:23:00,0.25,26.132
"Catfish",2022-09-07 14:33:00,0.25,26.174
"Catfish",2022-09-07 14:43:00,0.25,26.301
"Catfish",2022-09-07 14:53:00,0.25,26.394
"Catfish",2022-09-07 15:03:00,0.25,26.546
"Catfish",2022-09-07 15:13:00,0.25,26.597
"Catfish",2022-09-07 15:23:00,0.25,26.681
"Catfish",2022-09-07 15:33:00,0.25,26.597
"Catfish",2022-09-07 15:43:00,0.25,26.588
"Catfish",2022-09-07 15:53:00,0.25,26.563
"Catfish",2022-09-07 16:03:00,0.25,26.656
"Catfish",2022-09-07 16:13:00,0.25,26.647
"Catfish",2022-09-07 16:23:00,0.25,26.639
"Catfish",2022-09-07 16:33:00,0.25,26.698
"Catfish",2022-09-07 16:43:00,0.25,26.766
"Catfish",2022-09-07 16:53:00,0.25,26.783
"Catfish",2022-09-07 17:03:00,0.25,26.808
"Catfish",2022-09-07 17:13:00,0.25,26.842
"Catfish",2022-09-07 17:23:00,0.25,26.851
"Catfish",2022-09-07 17:33:00,0.25,26.8
"Catfish",2022-09-07 17:43:00,0.25,26.766
"Catfish",2022-09-07 17:53:00,0.25,26.758
"Catfish",2022-09-07 18:03:00,0.25,26.664
"Catfish",2022-09-07 18:13:00,0.25,26.639
"Catfish",2022-09-07 18:23:00,0.25,26.546
"Catfish",2022-09-07 18:33:00,0.25,26.529
"Catfish",2022-09-07 18:43:00,0.25,26.563
"Catfish",2022-09-07 18:53:00,0.25,26.741
"Catfish",2022-09-07 19:03:00,0.25,26.783
"Catfish",2022-09-07 19:13:00,0.25,26.817
"Catfish",2022-09-07 19:23:00,0.25,26.859
"Catfish",2022-09-07 19:33:00,0.25,26.868
"Catfish",2022-09-07 19:43:00,0.25,26.791
"Catfish",2022-09-07 19:53:00,0.25,26.774
"Catfish",2022-09-07 20:03:00,0.25,26.707
"Catfish",2022-09-07 20:13:00,0.25,26.664
"Catfish",2022-09-07 20:23:00,0.25,26.63
"Catfish",2022-09-07 20:33:00,0.25,26.571
"Catfish",2022-09-07 20:43:00,0.25,26.529
"Catfish",2022-09-07 20:53:00,0.25,26.487
