"site","date","depth","temp"
"Deans",2022-07-20 18:06:00,0.25,30.004
"Deans",2022-07-20 18:16:00,0.25,29.995
"Deans",2022-07-20 18:26:00,0.25,30.004
"Deans",2022-07-20 18:36:00,0.25,29.978
"Deans",2022-07-20 18:46:00,0.25,29.995
"Deans",2022-07-20 18:56:00,0.25,30.021
"Deans",2022-07-20 19:06:00,0.25,30.038
"Deans",2022-07-20 19:16:00,0.25,30.056
"Deans",2022-07-20 19:26:00,0.25,30.056
"Deans",2022-07-20 19:36:00,0.25,30.073
"Deans",2022-07-20 19:46:00,0.25,30.082
"Deans",2022-07-20 19:56:00,0.25,30.082
"Deans",2022-07-20 20:06:00,0.25,30.108
"Deans",2022-07-20 20:16:00,0.25,30.056
"Deans",2022-07-20 20:26:00,0.25,30.082
"Deans",2022-07-20 20:36:00,0.25,30.038
"Deans",2022-07-20 20:46:00,0.25,30.056
"Deans",2022-07-20 20:56:00,0.25,30.073
"Deans",2022-07-20 21:06:00,0.25,30.082
"Deans",2022-07-20 21:16:00,0.25,30.099
"Deans",2022-07-20 21:26:00,0.25,30.108
"Deans",2022-07-20 21:36:00,0.25,30.159
"Deans",2022-07-20 21:46:00,0.25,30.099
"Deans",2022-07-20 21:56:00,0.25,30.142
"Deans",2022-07-20 22:06:00,0.25,30.125
"Deans",2022-07-20 22:16:00,0.25,30.082
"Deans",2022-07-20 22:26:00,0.25,30.047
"Deans",2022-07-20 22:36:00,0.25,30.038
"Deans",2022-07-20 22:46:00,0.25,30.021
"Deans",2022-07-20 22:56:00,0.25,29.969
"Deans",2022-07-20 23:06:00,0.25,29.952
"Deans",2022-07-20 23:16:00,0.25,29.918
"Deans",2022-07-20 23:26:00,0.25,29.874
"Deans",2022-07-20 23:36:00,0.25,29.849
"Deans",2022-07-20 23:46:00,0.25,29.831
"Deans",2022-07-20 23:56:00,0.25,29.762
"Deans",2022-07-21 00:06:00,0.25,29.762
"Deans",2022-07-21 00:16:00,0.25,29.711
"Deans",2022-07-21 00:26:00,0.25,29.693
"Deans",2022-07-21 00:36:00,0.25,29.676
"Deans",2022-07-21 00:46:00,0.25,29.633
"Deans",2022-07-21 00:56:00,0.25,29.633
"Deans",2022-07-21 01:06:00,0.25,29.59
"Deans",2022-07-21 01:16:00,0.25,29.573
"Deans",2022-07-21 01:26:00,0.25,29.521
"Deans",2022-07-21 01:36:00,0.25,29.513
"Deans",2022-07-21 01:46:00,0.25,29.478
"Deans",2022-07-21 01:56:00,0.25,29.478
"Deans",2022-07-21 02:06:00,0.25,29.47
"Deans",2022-07-21 02:16:00,0.25,29.435
"Deans",2022-07-21 02:26:00,0.25,29.401
"Deans",2022-07-21 02:36:00,0.25,29.384
"Deans",2022-07-21 02:46:00,0.25,29.332
"Deans",2022-07-21 02:56:00,0.25,29.341
"Deans",2022-07-21 03:06:00,0.25,29.315
"Deans",2022-07-21 03:16:00,0.25,29.289
"Deans",2022-07-21 03:26:00,0.25,29.272
"Deans",2022-07-21 03:36:00,0.25,29.263
"Deans",2022-07-21 03:46:00,0.25,29.246
"Deans",2022-07-21 03:56:00,0.25,29.229
"Deans",2022-07-21 04:06:00,0.25,29.203
"Deans",2022-07-21 04:16:00,0.25,29.195
"Deans",2022-07-21 04:26:00,0.25,29.178
"Deans",2022-07-21 04:36:00,0.25,29.178
"Deans",2022-07-21 04:46:00,0.25,29.169
"Deans",2022-07-21 04:56:00,0.25,29.135
"Deans",2022-07-21 05:06:00,0.25,29.109
"Deans",2022-07-21 05:16:00,0.25,29.109
"Deans",2022-07-21 05:26:00,0.25,29.075
"Deans",2022-07-21 05:36:00,0.25,29.057
"Deans",2022-07-21 05:46:00,0.25,29.075
"Deans",2022-07-21 05:56:00,0.25,29.04
"Deans",2022-07-21 06:06:00,0.25,29.032
"Deans",2022-07-21 06:16:00,0.25,29.04
"Deans",2022-07-21 06:26:00,0.25,29.023
"Deans",2022-07-21 06:36:00,0.25,28.989
"Deans",2022-07-21 06:46:00,0.25,28.972
"Deans",2022-07-21 06:56:00,0.25,28.98
"Deans",2022-07-21 07:06:00,0.25,28.963
"Deans",2022-07-21 07:16:00,0.25,28.912
"Deans",2022-07-21 07:26:00,0.25,28.955
"Deans",2022-07-21 07:36:00,0.25,28.937
"Deans",2022-07-21 07:46:00,0.25,28.937
"Deans",2022-07-21 07:56:00,0.25,28.946
"Deans",2022-07-21 08:06:00,0.25,28.912
"Deans",2022-07-21 08:16:00,0.25,28.903
"Deans",2022-07-21 08:26:00,0.25,28.895
"Deans",2022-07-21 08:36:00,0.25,28.895
"Deans",2022-07-21 08:46:00,0.25,28.886
"Deans",2022-07-21 08:56:00,0.25,28.86
"Deans",2022-07-21 09:06:00,0.25,28.852
"Deans",2022-07-21 09:16:00,0.25,28.869
"Deans",2022-07-21 09:26:00,0.25,28.835
"Deans",2022-07-21 09:36:00,0.25,28.826
"Deans",2022-07-21 09:46:00,0.25,28.809
"Deans",2022-07-21 09:56:00,0.25,28.766
"Deans",2022-07-21 10:06:00,0.25,28.766
"Deans",2022-07-21 10:16:00,0.25,28.749
"Deans",2022-07-21 10:26:00,0.25,28.74
"Deans",2022-07-21 10:36:00,0.25,28.715
"Deans",2022-07-21 10:46:00,0.25,28.681
"Deans",2022-07-21 10:56:00,0.25,28.689
"Deans",2022-07-21 11:06:00,0.25,28.672
"Deans",2022-07-21 11:16:00,0.25,28.646
"Deans",2022-07-21 11:26:00,0.25,28.655
"Deans",2022-07-21 11:36:00,0.25,28.638
"Deans",2022-07-21 11:46:00,0.25,28.578
"Deans",2022-07-21 11:56:00,0.25,28.569
"Deans",2022-07-21 12:06:00,0.25,28.604
"Deans",2022-07-21 12:16:00,0.25,28.604
"Deans",2022-07-21 12:26:00,0.25,28.629
"Deans",2022-07-21 12:36:00,0.25,28.646
"Deans",2022-07-21 12:46:00,0.25,28.663
"Deans",2022-07-21 12:56:00,0.25,28.706
"Deans",2022-07-21 13:06:00,0.25,28.706
"Deans",2022-07-21 13:16:00,0.25,28.732
"Deans",2022-07-21 13:26:00,0.25,28.783
"Deans",2022-07-21 13:36:00,0.25,28.8
"Deans",2022-07-21 13:46:00,0.25,28.835
"Deans",2022-07-21 13:56:00,0.25,28.895
"Deans",2022-07-21 14:06:00,0.25,28.92
"Deans",2022-07-21 14:16:00,0.25,28.955
"Deans",2022-07-21 14:26:00,0.25,28.98
"Deans",2022-07-21 14:36:00,0.25,28.989
"Deans",2022-07-21 14:46:00,0.25,29.092
"Deans",2022-07-21 14:56:00,0.25,29.384
"Deans",2022-07-21 15:06:00,0.25,29.47
"Deans",2022-07-21 15:16:00,0.25,29.358
"Deans",2022-07-21 15:26:00,0.25,29.409
"Deans",2022-07-21 15:36:00,0.25,29.418
"Deans",2022-07-21 15:46:00,0.25,29.375
"Deans",2022-07-21 15:56:00,0.25,29.366
"Deans",2022-07-21 16:06:00,0.25,29.581
"Deans",2022-07-21 16:16:00,0.25,29.513
"Deans",2022-07-21 16:26:00,0.25,29.504
"Deans",2022-07-21 16:36:00,0.25,29.521
"Deans",2022-07-21 16:46:00,0.25,29.573
"Deans",2022-07-21 16:56:00,0.25,29.633
"Deans",2022-07-21 17:06:00,0.25,29.599
"Deans",2022-07-21 17:16:00,0.25,29.659
"Deans",2022-07-21 17:26:00,0.25,29.564
"Deans",2022-07-21 17:36:00,0.25,29.599
"Deans",2022-07-21 17:46:00,0.25,29.607
"Deans",2022-07-21 17:56:00,0.25,29.693
"Deans",2022-07-21 18:06:00,0.25,29.719
"Deans",2022-07-21 18:16:00,0.25,29.771
"Deans",2022-07-21 18:26:00,0.25,29.728
"Deans",2022-07-21 18:36:00,0.25,29.754
"Deans",2022-07-21 18:46:00,0.25,29.771
"Deans",2022-07-21 18:56:00,0.25,29.754
"Deans",2022-07-21 19:06:00,0.25,29.736
"Deans",2022-07-21 19:16:00,0.25,29.736
"Deans",2022-07-21 19:26:00,0.25,29.693
"Deans",2022-07-21 19:36:00,0.25,29.693
"Deans",2022-07-21 19:46:00,0.25,29.719
"Deans",2022-07-21 19:56:00,0.25,29.711
"Deans",2022-07-21 20:06:00,0.25,29.728
"Deans",2022-07-21 20:16:00,0.25,29.719
"Deans",2022-07-21 20:26:00,0.25,29.711
"Deans",2022-07-21 20:36:00,0.25,29.728
"Deans",2022-07-21 20:46:00,0.25,29.719
"Deans",2022-07-21 20:56:00,0.25,29.719
"Deans",2022-07-21 21:06:00,0.25,29.736
"Deans",2022-07-21 21:16:00,0.25,29.745
"Deans",2022-07-21 21:26:00,0.25,29.788
"Deans",2022-07-21 21:36:00,0.25,29.797
"Deans",2022-07-21 21:46:00,0.25,29.78
"Deans",2022-07-21 21:56:00,0.25,29.736
"Deans",2022-07-21 22:06:00,0.25,29.711
"Deans",2022-07-21 22:16:00,0.25,29.711
"Deans",2022-07-21 22:26:00,0.25,29.65
"Deans",2022-07-21 22:36:00,0.25,29.659
"Deans",2022-07-21 22:46:00,0.25,29.625
"Deans",2022-07-21 22:56:00,0.25,29.599
"Deans",2022-07-21 23:06:00,0.25,29.547
"Deans",2022-07-21 23:16:00,0.25,29.521
"Deans",2022-07-21 23:26:00,0.25,29.495
"Deans",2022-07-21 23:36:00,0.25,29.478
"Deans",2022-07-21 23:46:00,0.25,29.444
"Deans",2022-07-21 23:56:00,0.25,29.427
"Deans",2022-07-22 00:06:00,0.25,29.392
"Deans",2022-07-22 00:16:00,0.25,29.375
"Deans",2022-07-22 00:26:00,0.25,29.349
"Deans",2022-07-22 00:36:00,0.25,29.323
"Deans",2022-07-22 00:46:00,0.25,29.298
"Deans",2022-07-22 00:56:00,0.25,29.263
"Deans",2022-07-22 01:06:00,0.25,29.238
"Deans",2022-07-22 01:16:00,0.25,29.22
"Deans",2022-07-22 01:26:00,0.25,29.195
"Deans",2022-07-22 01:36:00,0.25,29.195
"Deans",2022-07-22 01:46:00,0.25,29.152
"Deans",2022-07-22 01:56:00,0.25,29.126
"Deans",2022-07-22 02:06:00,0.25,29.1
"Deans",2022-07-22 02:16:00,0.25,29.1
"Deans",2022-07-22 02:26:00,0.25,29.109
"Deans",2022-07-22 02:36:00,0.25,29.075
"Deans",2022-07-22 02:46:00,0.25,29.066
"Deans",2022-07-22 02:56:00,0.25,29.066
"Deans",2022-07-22 03:06:00,0.25,29.015
"Deans",2022-07-22 03:16:00,0.25,28.997
"Deans",2022-07-22 03:26:00,0.25,28.972
"Deans",2022-07-22 03:36:00,0.25,28.963
"Deans",2022-07-22 03:46:00,0.25,28.937
"Deans",2022-07-22 03:56:00,0.25,28.929
"Deans",2022-07-22 04:06:00,0.25,28.929
"Deans",2022-07-22 04:16:00,0.25,28.886
"Deans",2022-07-22 04:26:00,0.25,28.903
"Deans",2022-07-22 04:36:00,0.25,28.843
"Deans",2022-07-22 04:46:00,0.25,28.86
"Deans",2022-07-22 04:56:00,0.25,28.852
"Deans",2022-07-22 05:06:00,0.25,28.843
"Deans",2022-07-22 05:16:00,0.25,28.826
"Deans",2022-07-22 05:26:00,0.25,28.826
"Deans",2022-07-22 05:36:00,0.25,28.783
"Deans",2022-07-22 05:46:00,0.25,28.749
"Deans",2022-07-22 05:56:00,0.25,28.758
"Deans",2022-07-22 06:06:00,0.25,28.732
"Deans",2022-07-22 06:16:00,0.25,28.74
"Deans",2022-07-22 06:26:00,0.25,28.723
"Deans",2022-07-22 06:36:00,0.25,28.681
"Deans",2022-07-22 06:46:00,0.25,28.689
"Deans",2022-07-22 06:56:00,0.25,28.689
"Deans",2022-07-22 07:06:00,0.25,28.681
"Deans",2022-07-22 07:16:00,0.25,28.672
"Deans",2022-07-22 07:26:00,0.25,28.663
"Deans",2022-07-22 07:36:00,0.25,28.646
"Deans",2022-07-22 07:46:00,0.25,28.655
"Deans",2022-07-22 07:56:00,0.25,28.638
"Deans",2022-07-22 08:06:00,0.25,28.621
"Deans",2022-07-22 08:16:00,0.25,28.621
"Deans",2022-07-22 08:26:00,0.25,28.621
"Deans",2022-07-22 08:36:00,0.25,28.638
"Deans",2022-07-22 08:46:00,0.25,28.595
"Deans",2022-07-22 08:56:00,0.25,28.621
"Deans",2022-07-22 09:06:00,0.25,28.612
"Deans",2022-07-22 09:16:00,0.25,28.621
"Deans",2022-07-22 09:26:00,0.25,28.629
"Deans",2022-07-22 09:36:00,0.25,28.663
"Deans",2022-07-22 09:46:00,0.25,28.655
"Deans",2022-07-22 09:56:00,0.25,28.663
"Deans",2022-07-22 10:06:00,0.25,28.672
"Deans",2022-07-22 10:16:00,0.25,28.698
"Deans",2022-07-22 10:26:00,0.25,28.723
