"site","date","depth","temp"
"Sister3",2022-07-20 15:58:00,0.25,29.057
"Sister3",2022-07-20 16:08:00,0.25,29.04
"Sister3",2022-07-20 16:18:00,0.25,29.091
"Sister3",2022-07-20 16:28:00,0.25,29.108
"Sister3",2022-07-20 16:38:00,0.25,29.074
"Sister3",2022-07-20 16:48:00,0.25,29.108
"Sister3",2022-07-20 16:58:00,0.25,29.134
"Sister3",2022-07-20 17:08:00,0.25,29.091
"Sister3",2022-07-20 17:18:00,0.25,29.117
"Sister3",2022-07-20 17:28:00,0.25,29.108
"Sister3",2022-07-20 17:38:00,0.25,29.108
"Sister3",2022-07-20 17:48:00,0.25,29.1
"Sister3",2022-07-20 17:58:00,0.25,29.117
"Sister3",2022-07-20 18:08:00,0.25,29.108
"Sister3",2022-07-20 18:18:00,0.25,29.083
"Sister3",2022-07-20 18:28:00,0.25,29.108
"Sister3",2022-07-20 18:38:00,0.25,29.143
"Sister3",2022-07-20 18:48:00,0.25,29.134
"Sister3",2022-07-20 18:58:00,0.25,29.134
"Sister3",2022-07-20 19:08:00,0.25,29.134
"Sister3",2022-07-20 19:18:00,0.25,29.151
"Sister3",2022-07-20 19:28:00,0.25,29.126
"Sister3",2022-07-20 19:38:00,0.25,29.143
"Sister3",2022-07-20 19:48:00,0.25,29.134
"Sister3",2022-07-20 19:58:00,0.25,29.151
"Sister3",2022-07-20 20:08:00,0.25,29.134
"Sister3",2022-07-20 20:18:00,0.25,29.134
"Sister3",2022-07-20 20:28:00,0.25,29.126
"Sister3",2022-07-20 20:38:00,0.25,29.117
"Sister3",2022-07-20 20:48:00,0.25,29.126
"Sister3",2022-07-20 20:58:00,0.25,29.143
"Sister3",2022-07-20 21:08:00,0.25,29.134
"Sister3",2022-07-20 21:18:00,0.25,29.126
"Sister3",2022-07-20 21:28:00,0.25,29.117
"Sister3",2022-07-20 21:38:00,0.25,29.117
"Sister3",2022-07-20 21:48:00,0.25,29.143
"Sister3",2022-07-20 21:58:00,0.25,29.134
"Sister3",2022-07-20 22:08:00,0.25,29.117
"Sister3",2022-07-20 22:18:00,0.25,29.117
"Sister3",2022-07-20 22:28:00,0.25,29.126
"Sister3",2022-07-20 22:38:00,0.25,29.108
"Sister3",2022-07-20 22:48:00,0.25,29.1
"Sister3",2022-07-20 22:58:00,0.25,29.074
"Sister3",2022-07-20 23:08:00,0.25,29.1
"Sister3",2022-07-20 23:18:00,0.25,29.108
"Sister3",2022-07-20 23:28:00,0.25,29.091
"Sister3",2022-07-20 23:38:00,0.25,29.091
"Sister3",2022-07-20 23:48:00,0.25,29.1
"Sister3",2022-07-20 23:58:00,0.25,29.108
"Sister3",2022-07-21 00:08:00,0.25,29.1
"Sister3",2022-07-21 00:18:00,0.25,29.091
"Sister3",2022-07-21 00:28:00,0.25,29.083
"Sister3",2022-07-21 00:38:00,0.25,29.083
"Sister3",2022-07-21 00:48:00,0.25,29.083
"Sister3",2022-07-21 00:58:00,0.25,29.065
"Sister3",2022-07-21 01:08:00,0.25,29.091
"Sister3",2022-07-21 01:18:00,0.25,29.083
"Sister3",2022-07-21 01:28:00,0.25,29.083
"Sister3",2022-07-21 01:38:00,0.25,29.1
"Sister3",2022-07-21 01:48:00,0.25,29.1
"Sister3",2022-07-21 01:58:00,0.25,29.108
"Sister3",2022-07-21 02:08:00,0.25,29.1
"Sister3",2022-07-21 02:18:00,0.25,29.074
"Sister3",2022-07-21 02:28:00,0.25,29.04
"Sister3",2022-07-21 02:38:00,0.25,29.023
"Sister3",2022-07-21 02:48:00,0.25,28.98
"Sister3",2022-07-21 02:58:00,0.25,28.971
"Sister3",2022-07-21 03:08:00,0.25,28.92
"Sister3",2022-07-21 03:18:00,0.25,28.937
"Sister3",2022-07-21 03:28:00,0.25,28.903
"Sister3",2022-07-21 03:38:00,0.25,28.877
"Sister3",2022-07-21 03:48:00,0.25,28.86
"Sister3",2022-07-21 03:58:00,0.25,28.825
"Sister3",2022-07-21 04:08:00,0.25,28.817
"Sister3",2022-07-21 04:18:00,0.25,28.791
"Sister3",2022-07-21 04:28:00,0.25,28.783
"Sister3",2022-07-21 04:38:00,0.25,28.774
"Sister3",2022-07-21 04:48:00,0.25,28.74
"Sister3",2022-07-21 04:58:00,0.25,28.706
"Sister3",2022-07-21 05:08:00,0.25,28.706
"Sister3",2022-07-21 05:18:00,0.25,28.688
"Sister3",2022-07-21 05:28:00,0.25,28.663
"Sister3",2022-07-21 05:38:00,0.25,28.637
"Sister3",2022-07-21 05:48:00,0.25,28.628
"Sister3",2022-07-21 05:58:00,0.25,28.611
"Sister3",2022-07-21 06:08:00,0.25,28.603
"Sister3",2022-07-21 06:18:00,0.25,28.577
"Sister3",2022-07-21 06:28:00,0.25,28.56
"Sister3",2022-07-21 06:38:00,0.25,28.551
"Sister3",2022-07-21 06:48:00,0.25,28.526
"Sister3",2022-07-21 06:58:00,0.25,28.509
"Sister3",2022-07-21 07:08:00,0.25,28.5
"Sister3",2022-07-21 07:18:00,0.25,28.475
"Sister3",2022-07-21 07:28:00,0.25,28.466
"Sister3",2022-07-21 07:38:00,0.25,28.466
"Sister3",2022-07-21 07:48:00,0.25,28.457
"Sister3",2022-07-21 07:58:00,0.25,28.44
"Sister3",2022-07-21 08:08:00,0.25,28.415
"Sister3",2022-07-21 08:18:00,0.25,28.415
