Site,Date,Trap,Depth
Catfish,9/6/2022,C1A,0.51
Catfish,9/6/2022,C1B,1.67
Catfish,9/6/2022,C1C,1.88
Catfish,9/6/2022,C1D,1.98
Catfish,9/6/2022,C1E,0.51
Catfish,9/6/2022,C2A,0.61
Catfish,9/6/2022,C2B,1.19
Catfish,9/6/2022,C2C,1.53
Catfish,9/6/2022,C2D,1.4
Catfish,9/6/2022,C2E,0.39
Catfish,9/6/2022,C3A,0.68
Catfish,9/6/2022,C3B,0.9
Catfish,9/6/2022,C3C,1.11
Catfish,9/6/2022,C3D,0.81
Catfish,9/6/2022,C3E,0.21
Catfish,9/6/2022,C4A,0.37
Catfish,9/6/2022,C4B,0.68
Catfish,9/6/2022,C4C,0.78
Catfish,9/6/2022,C4D,0.72
Catfish,9/6/2022,C4E,0.32
Catfish,9/6/2022,C5A,0.15
Catfish,9/6/2022,C5B,0.5
Catfish,9/6/2022,C5C,0.43
Catfish,9/6/2022,C5D,0.38
Catfish,9/6/2022,C5E,0.16
Catfish,9/18/2022,C1A,0.64
Catfish,9/18/2022,C1B,1.64
Catfish,9/18/2022,C1C,1.82
Catfish,9/18/2022,C1D,1.96
Catfish,9/18/2022,C1E,0.53
Catfish,9/18/2022,C2A,0.59
Catfish,9/18/2022,C2B,1.16
Catfish,9/18/2022,C2C,1.54
Catfish,9/18/2022,C2D,1.4
Catfish,9/18/2022,C2E,0.41
Catfish,9/18/2022,C3A,0.76
Catfish,9/18/2022,C3B,0.93
Catfish,9/18/2022,C3C,1.1
Catfish,9/18/2022,C3D,0.96
Catfish,9/18/2022,C3E,0.23
Catfish,9/18/2022,C4A,0.29
Catfish,9/18/2022,C4B,0.53
Catfish,9/18/2022,C4C,0.81
Catfish,9/18/2022,C4D,0.84
Catfish,9/18/2022,C4E,0.41
Catfish,9/18/2022,C5A,0.2
Catfish,9/18/2022,C5B,0.47
Catfish,9/18/2022,C5C,0.4
Catfish,9/18/2022,C5D,0.42
Catfish,9/18/2022,C5E,0.17
Deans,8/16/2022,D1A,0.89
Deans,8/16/2022,D1B,2.34
Deans,8/16/2022,D1C,3.31
Deans,8/16/2022,D1D,2.64
Deans,8/16/2022,D1E,1
Deans,8/16/2022,D2A,1.43
Deans,8/16/2022,D2B,3.14
Deans,8/16/2022,D2C,3.49
Deans,8/16/2022,D2D,2.05
Deans,8/16/2022,D2E,1.31
Deans,8/16/2022,D3A,0.83
Deans,8/16/2022,D3B,3.08
Deans,8/16/2022,D3C,3.42
Deans,8/16/2022,D3D,2.5
Deans,8/16/2022,D3E,1.19
Deans,8/16/2022,D4A,0.78
Deans,8/16/2022,D4B,2.85
Deans,8/16/2022,D4C,2.84
Deans,8/16/2022,D4D,2.03
Deans,8/16/2022,D4E,1.34
Deans,8/16/2022,D5A,1.39
Deans,8/16/2022,D5B,2.46
Deans,8/16/2022,D5C,2.13
Deans,8/16/2022,D5D,1.67
Deans,8/16/2022,D5E,0.49
Deans,8/30/2022,D1A,1.03
Deans,8/30/2022,D1B,2.39
Deans,8/30/2022,D1C,3.25
Deans,8/30/2022,D1D,2.14
Deans,8/30/2022,D1E,0.71
Deans,8/30/2022,D2A,1.18
Deans,8/30/2022,D2B,3.05
Deans,8/30/2022,D2C,3.45
Deans,8/30/2022,D2D,2.8
Deans,8/30/2022,D2E,1.52
Deans,8/30/2022,D3A,1.36
Deans,8/30/2022,D3B,3.15
Deans,8/30/2022,D3C,3.52
Deans,8/30/2022,D3D,2.42
Deans,8/30/2022,D3E,1.15
Deans,8/30/2022,D4A,0.55
Deans,8/30/2022,D4B,2.78
Deans,8/30/2022,D4C,2.87
Deans,8/30/2022,D4D,2.16
Deans,8/30/2022,D4E,1.48
Deans,8/30/2022,D5A,1.35
Deans,8/30/2022,D5B,2.47
Deans,8/30/2022,D5C,2.2
Deans,8/30/2022,D5D,1.55
Deans,8/30/2022,D5E,0.46
Picks,9/13/2022,P1A,1.58
Picks,9/13/2022,P1B,2.47
Picks,9/13/2022,P1C,3.3
Picks,9/13/2022,P1D,3.74
Picks,9/13/2022,P1E,0.6
Picks,9/13/2022,P2A,0.35
Picks,9/13/2022,P2B,3.8
Picks,9/13/2022,P2C,2.85
Picks,9/13/2022,P2D,1.25
Picks,9/13/2022,P2E,0.5
Picks,9/13/2022,P3A,1.3
Picks,9/13/2022,P3B,1.74
Picks,9/13/2022,P3C,2.02
Picks,9/13/2022,P3D,2.16
Picks,9/13/2022,P3E,1.58
Picks,9/13/2022,P4A,0.64
Picks,9/13/2022,P4B,NA
Picks,9/13/2022,P4C,1.11
Picks,9/13/2022,P4D,1.1
Picks,9/13/2022,P4E,0.33
Picks,9/13/2022,P5A,0.24
Picks,9/13/2022,P5B,0.65
Picks,9/13/2022,P5C,0.88
Picks,9/13/2022,P5D,0.7
Picks,9/13/2022,P5E,0.7
Sister3,8/22/2022,S1A,1.17
Sister3,8/22/2022,S1B,1.92
Sister3,8/22/2022,S1C,2.23
Sister3,8/22/2022,S1D,2
Sister3,8/22/2022,S1E,1.12
Sister3,8/22/2022,S2A,0.78
Sister3,8/22/2022,S2B,1.66
Sister3,8/22/2022,S2C,2.27
Sister3,8/22/2022,S2D,2.1
Sister3,8/22/2022,S2E,1.1
Sister3,8/22/2022,S3A,0.78
Sister3,8/22/2022,S3B,1.56
Sister3,8/22/2022,S3C,2.08
Sister3,8/22/2022,S3D,1.65
Sister3,8/22/2022,S3E,0.86
Sister3,8/22/2022,S4A,0.35
Sister3,8/22/2022,S4B,0.97
Sister3,8/22/2022,S4C,1.41
Sister3,8/22/2022,S4D,1.34
Sister3,8/22/2022,S4E,0.75
Sister3,8/22/2022,S5A,0.7
Sister3,8/22/2022,S5B,1.06
Sister3,8/22/2022,S5C,0.83
Sister3,8/22/2022,S5D,0.39
Sister3,8/22/2022,S5E,0.25
