Location,trip,trap.number,anemometer,date,diffusive.start,diffusive.end,wolffia
Pick,1,P1A,0.2/0.1,6/20/2022,10:54:00.203,10:55:41.881,no
Pick,1,P1B,0.4/0.3,6/20/2022,11:00:56.399,11:02:17.277,no
Pick,1,P1C,0.1/0.0,6/20/2022,11:07:47.094,11:08:33.879,no
Pick,1,P1D,0.7/0.3,6/20/2022,11:11:51.777,11:12:52.690,no
Pick,1,P1E,0.3/0.2,6/20/2022,11:17:05.575,11:18:04.486,no
Pick,1,P2A,0.4/0.6,6/20/2022,11:27:13.178,11:28:06.082,no
Pick,1,P2B,1.4/1.6,6/20/2022,11:30:57.877,11:32:49.883,no
Pick,1,P2C,0.6/0.9,6/20/2022,11:34:43.777,11:35:58.679,no
Pick,1,P2D,0.8/1.2,6/20/2022,11:39:30.377,11:40:36.379,no
Pick,1,P2E,0.8/0.2,6/20/2022,11:42:51.000,11:44:03.262,no
Pick,1,P3A,0.1/0.2,6/20/2022,11:51:37.000,11:52:22.192,yes
Pick,1,P3B,0.0/0.1,6/20/2022,11:55:42.014,11:57:01.078,no
Pick,1,P3C,0.0/2.8,6/20/2022,12:01:09.983,12:02:33.987,no
Pick,1,P3D,0.5/0.3,6/20/2022,12:05:16.977,12:06:11.982,yes
Pick,1,P3E,0.4/0.1,6/20/2022,12:10:04.893,12:11:08.879,yes
Pick,1,P4A,0.3/0.7,6/20/2022,12:19:38.457,12:21:46.256,yes
Pick,1,P4B,0.6/1.1,6/20/2022,12:24:19.858,12:25:46.760,yes
Pick,1,P4C,0.8/0.6,6/20/2022,12:30:28.057,12:31:48.954,yes
Pick,1,P4D,0.2/1.1,6/20/2022,12:36:54.455,12:37:45.263,yes
Pick,1,P4E,1.5/1.2,6/20/2022,12:40:25.860,12:42:22.566,no
Pick,1,P5A,0.2/1.8,6/20/2022,12:44:46.156,12:46:22.967,yes
Pick,1,P5B,0.6/1.2,6/20/2022,12:51:17.459,12:52:48.263,yes
Pick,1,P5C,1.5/0.4,6/20/2022,12:55:29.160,12:56:32.158,yes
Pick,1,P5D,0.1/0.0,6/20/2022,12:59:13.058,13:01:02.862,no
Pick,1,P5E,0.1/0.5,6/20/2022,13:02:32.753,13:04:59.660,yes
Pick,2,P1A,0.7/1.1,6/20/2022,14:43:49.483,14:45:53.167,no
Pick,2,P1B,0.5/0.6,6/20/2022,14:48:03.964,14:49:58.767,no
Pick,2,P1C,0.6/1.2,6/20/2022,14:53:18.461,14:54:46.269,no
Pick,2,P1D,0.8/1.3,6/20/2022,14:58:54.969,14:59:49.867,no
Pick,2,P1E,0.3/1.5,6/20/2022,15:02:03.566,15:03:14.268,no
Pick,2,P2A,0.1/0.8,6/20/2022,15:09:52.165,15:11:31.869,no
Pick,2,P2B,1.4/0.7,6/20/2022,15:16:58.771,15:18:17.667,no
Pick,2,P2C,2.0/0.7,6/20/2022,15:20:30.564,15:23:08.565,no
Pick,2,P2D,0.9/1.3,6/20/2022,15:27:31.368,15:28:31.369,no
Pick,2,P2E,0.6/0.1,6/20/2022,15:30:46.275,15:31:37.167,no
Pick,2,P3A,0.6/1.1,6/20/2022,15:34:51.176,15:36:19.068,yes
Pick,2,P3B,0.2/0.1,6/20/2022,15:39:59.973,15:41:19.068,yes
Pick,2,P3C,0.1/0.2,6/20/2022,15:42:54.874,15:44:51.870,no
Pick,2,P3D,0.3/0.2,6/20/2022,15:49:49.771,15:51:05.773,no
Pick,2,P3E,0.2/0.2,6/20/2022,15:52:50.688,15:54:59.568,yes
Pick,2,P4A,1.7/1.5,6/20/2022,16:04:54.574,16:06:14.578,yes
Pick,2,P4B,0.5/0.9,6/20/2022,16:15:20.371,16:16:44.374,yes
Pick,2,P4C,1.4/0.5,6/20/2022,16:18:53.369,16:20:25.381,yes
Pick,2,P4D,0.5/0.2,6/20/2022,16:26:11.375,16:27:10.373,yes
Pick,2,P4E,0.1/0.1,6/20/2022,16:32:29.374,16:33:27.377,yes
Pick,2,P5A,1.1/0.8,6/20/2022,16:54:17.874,16:55:58.875,yes
Pick,2,P5B,0.2/0.5,6/20/2022,16:49:09.000,16:50:30.880,yes
Pick,2,P5C,1.4/1.8,6/20/2022,16:43:41.085,16:45:27.078,yes
Pick,2,P5D,0.2/0.5,6/20/2022,16:39:55.179,16:41:16.181,yes
Pick,2,P5E,0.2/0.0,6/20/2022,16:36:00.276,16:37:22.279,yes
Pick,3,P1A,0.8/0.5,6/20/2022,18:42:26.198,18:44:11.179,no
Pick,3,P1B,0.2/0.1,6/20/2022,18:46:21.984,18:48:23.873,no
Pick,3,P1C,0.6/0.7,6/20/2022,18:50:50.369,18:52:36.173,no
Pick,3,P1D,0.1/0.2,6/20/2022,18:55:40.788,18:57:21.674,no
Pick,3,P1E,0.3/0.2,6/20/2022,18:59:56.668,19:01:41.474,no
Pick,4,P1A,0.2/0.3,6/20/2022,19:52:47.367,19:55:08.078,no
Pick,4,P1B,0.1/0.2,6/20/2022,19:57:14.801,19:58:42.670,no
Pick,4,P1C,0.3/0.1,6/20/2022,20:02:23.564,20:03:35.372,no
Pick,4,P1D,0.0/0.0,6/20/2022,20:05:50.167,20:06:55.167,no
Pick,4,P1E,0.1/0.1,6/20/2022,20:09:26.065,20:10:54.879,no
Pick,4,P2A,0.1/0.1,6/20/2022,20:17:10.771,20:19:12.670,no
Pick,4,P2B,0.0/0.2,6/20/2022,20:24:40.466,20:26:03.370,yes
Pick,4,P2C,0.2/0.3,6/20/2022,20:27:52.273,20:29:14.171,yes
Pick,4,P2D,0.1/0.2,6/20/2022,20:35:31.871,20:36:56.869,yes
Pick,4,P2E,0.2/0.4,6/20/2022,20:38:46.169,20:39:54.600,yes
Pick,4,P3A,0.2/0.2,6/20/2022,20:44:57.574,20:46:22.570,yes
Pick,4,P3B,0.2/0.2,6/20/2022,20:48:07.573,20:49:43.576,yes
Pick,4,P3C,0.2/0.3,6/20/2022,20:51:50.584,20:52:56.475,yes
Pick,4,P3D,0.0/0.0,6/20/2022,20:55:27.375,20:56:30.376,yes
Pick,4,P3E,0.1/0.2,6/20/2022,20:58:08.375,20:59:43.279,yes
Pick,4,P4A,0.0/0.0,6/20/2022,21:02:44.277,21:04:39.272,yes
Pick,4,P4B,0.0/0.0,6/20/2022,21:12:24.381,21:14:01.070,yes
Pick,4,P4C,0.0/0.0,6/20/2022,21:16:02.075,21:17:11.075,yes
Pick,4,P4D,0.0/0.0,6/20/2022,21:25:12.782,21:26:24.779,yes
Pick,4,P4E,0.0/0.0,6/20/2022,21:29:01.676,21:30:36.674,yes
Pick,4,P5A,0.1/0.1,6/20/2022,21:47:15.380,21:48:55.277,yes
