"","Location","Trap #","Trip","date_time","name","value","sampling"
"1","Deans","D2A",1,2022-08-16 10:48:13,"YSI Top Temp","28","Deans1"
"2","Deans","D2A",1,2022-08-16 10:48:13,"YSI Top Pressure","751.9","Deans1"
"3","Deans","D2A",1,2022-08-16 10:48:13,"YSI Top Chl ug/L","3.2","Deans1"
"4","Deans","D2A",1,2022-08-16 10:48:13,"YSI Top DO mg/L","5.95","Deans1"
"5","Deans","D2A",1,2022-08-16 10:48:13,"YSI Top SPC","45.5","Deans1"
"6","Deans","D2A",1,2022-08-16 10:48:13,"YSI Top C","48.1","Deans1"
"7","Deans","D2A",1,2022-08-16 10:48:13,"YSI Top pH","8.71","Deans1"
"8","Deans","D2A",1,2022-08-16 10:48:13,"YSI Top PC ug/L","0.05","Deans1"
"9","Deans","D2A",1,2022-08-16 10:48:13,"YSI Bottom Temp","28","Deans1"
"10","Deans","D2A",1,2022-08-16 10:48:13,"YSI Bottom Pressure","752","Deans1"
"11","Deans","D2A",1,2022-08-16 10:48:13,"YSI Bottom Chl ug/L","3.02","Deans1"
"12","Deans","D2A",1,2022-08-16 10:48:13,"YSI Bottom DO mg/L","5.86","Deans1"
"13","Deans","D2A",1,2022-08-16 10:48:13,"YSI Bottom SPC","45.5","Deans1"
"14","Deans","D2A",1,2022-08-16 10:48:13,"YSI Bottom C","48.2","Deans1"
"15","Deans","D2A",1,2022-08-16 10:48:13,"YSI Bottom pH","8.89","Deans1"
"16","Deans","D2A",1,2022-08-16 10:48:13,"YSI Bottom PC ug/L","-0.05","Deans1"
"17","Deans","D2C",1,2022-08-16 10:56:56,"YSI Top Temp","28","Deans1"
"18","Deans","D2C",1,2022-08-16 10:56:56,"YSI Top Pressure","752","Deans1"
"19","Deans","D2C",1,2022-08-16 10:56:56,"YSI Top Chl ug/L","2.85","Deans1"
"20","Deans","D2C",1,2022-08-16 10:56:56,"YSI Top DO mg/L","5.79","Deans1"
"21","Deans","D2C",1,2022-08-16 10:56:56,"YSI Top SPC","45.7","Deans1"
"22","Deans","D2C",1,2022-08-16 10:56:56,"YSI Top C","48.3","Deans1"
"23","Deans","D2C",1,2022-08-16 10:56:56,"YSI Top pH","8.86","Deans1"
"24","Deans","D2C",1,2022-08-16 10:56:56,"YSI Top PC ug/L","0.05","Deans1"
"25","Deans","D2C",1,2022-08-16 10:56:56,"YSI Bottom Temp","27.6","Deans1"
"26","Deans","D2C",1,2022-08-16 10:56:56,"YSI Bottom Pressure","752","Deans1"
"27","Deans","D2C",1,2022-08-16 10:56:56,"YSI Bottom Chl ug/L","2.67","Deans1"
"28","Deans","D2C",1,2022-08-16 10:56:56,"YSI Bottom DO mg/L","1.04","Deans1"
