"","sampling","area","pathway","gas","flux_mean_g_day","flux_2.5_g_day","flux_97.5_g_day","co2_eq_conv","flux_mean_g_m2_day","flux_2.5_g_m2_day","flux_97.5_g_m2_day","flux_mean_g_day_co2_eq","flux_2.5_g_day_co2_eq","flux_97.5_g_day_co2_eq"
"1","Catfish1",1752.25242128636,"diffusion","CH4",20.4895665694434,13.2153442538488,28.6932017623644,27,0.0116932733666315,0.00754191810113016,0.0163750390148128,553.218297374973,356.814294853917,774.716447583839
"2","Catfish1",1752.25242128636,"diffusion","CO2",5495.33596849937,4786.66623705862,6352.50760788304,1,3.13615544298414,2.73172185634341,3.62533818228057,5495.33596849937,4786.66623705862,6352.50760788304
"3","Catfish1",1752.25242128636,"ebullition","CH4",214.341852342711,119.581915861578,356.66288123105,27,0.122323616014956,0.0682446857592526,0.203545377879527,5787.23001325318,3228.71172826259,9629.89779323835
"4","Catfish2",1752.25242128636,"diffusion","CH4",19.6614097404671,11.9951758174743,30.3834425325286,27,0.0112206492064843,0.0068455752560287,0.0173396493355812,530.858062992612,323.869747071807,820.352948378272
"5","Catfish2",1752.25242128636,"diffusion","CO2",4248.7261568178,3638.70655930028,4960.82044072132,1,2.42472266278778,2.07658811886762,2.83111062108248,4248.7261568178,3638.70655930028,4960.82044072132
"6","Catfish2",1752.25242128636,"ebullition","CH4",66.3430717802153,36.8187322797688,115.108154709256,27,0.0378615951527757,0.0210122307907781,0.0656915369674607,1791.26293806581,994.105771553757,3107.9201771499
"7","Deans1",4157.61481472687,"diffusion","CH4",50.1775681851103,37.4466779748607,62.8537766619448,27,0.0120688352387465,0.00900676942034631,0.0151177488687282,1354.79434099798,1011.06030532124,1697.05196987251
"8","Deans1",4157.61481472687,"diffusion","CO2",13387.4383747365,11462.4274572363,15593.581330157,1,3.21998043861982,2.75697195820901,3.75060750575602,13387.4383747365,11462.4274572363,15593.581330157
"9","Deans1",4157.61481472687,"ebullition","CH4",96.6072816457957,27.1078652866237,201.119581842895,27,0.0232362270077543,0.00652005211993274,0.0483737890125129,2608.39660443648,731.91236273884,5430.22870975817
"10","Deans2",4157.61481472687,"diffusion","CH4",26.4649896167929,21.6837558948359,32.0735314904597,27,0.00636542604260744,0.00521543165038496,0.00771440667780253,714.554719653409,585.461409160569,865.985350242412
"11","Deans2",4157.61481472687,"diffusion","CO2",4944.82605810986,4253.32114762198,5678.86832314796,1,1.18934203346461,1.02301952854221,1.36589573017505,4944.82605810986,4253.32114762198,5678.86832314796
"12","Deans2",4157.61481472687,"ebullition","CH4",158.138275575326,78.7026278561121,256.143205656092,27,0.0380358168378603,0.018929754525921,0.0616082097718134,4269.7334405338,2124.97095211503,6915.86655271448
"13","Pick1",7717.06223701918,"diffusion","CH4",2275.97320483904,1912.0295895171,2683.93248061321,27,0.294927413429565,0.247766511502912,0.34779199625192,61451.276530654,51624.7989169617,72466.1769765567
"14","Pick1",7717.06223701918,"diffusion","CO2",27949.1165624411,22696.4603379263,33439.513903078,1,3.62173009676761,2.94107519686054,4.33319220138808,27949.1165624411,22696.4603379263,33439.513903078
"15","Pick1",7717.06223701918,"ebullition","CH4",1770.53938082921,1184.97243300997,2503.30439701315,27,0.229431787181375,0.153552271138308,0.32438566907037,47804.5632823887,31994.2556912691,67589.2187193551
"16","Sister31",1174.64981024584,"diffusion","CH4",13.4427979441613,11.5061028138057,15.6690130316617,27,0.011444089827374,0.00979534727153927,0.0133393058041548,362.955544492355,310.664775972755,423.063351854867
"17","Sister31",1174.64981024584,"diffusion","CO2",-87.4444556998002,-148.230495768075,-25.9914742550657,1,-0.0744429998941548,-0.126191222673464,-0.0221269982154306,-87.4444556998002,-148.230495768075,-25.9914742550657
"18","Sister31",1174.64981024584,"ebullition","CH4",81.3304980065035,58.5144482416919,107.444048312128,27,0.0692380804024323,0.0498143767881301,0.091469004102287,2195.9234461756,1579.89010252568,2900.98930442745
