"","X","site","date","period","flux_2.5_g_hr","flux_97.5_g_hr","mean_flux_g_hr","avg_time","pathway","gas","sampling","flux_g_mean","flux_g_2.5","flux_g_97.5","area"
"1",1,"Deans","2022-08-16","0~1",0.0376392281175352,1.62945734848782,0.584665916284112,1.6517,"ebullition","CH4","Deans1",0.965692693926468,0.0621687130817329,2.69137470249733,4157.61481472687
"2",2,"Deans","2022-08-16","1~2",1.5782675108087,8.84905680238906,5.02912634059756,2.37434444444444,"ebullition","CH4","Deans1",11.940878187207,3.74735069613579,21.0107088573257,4157.61481472687
"3",3,"Deans","2022-08-16","2~3",1.17786099508898,9.14973698027043,4.34103965632549,3.17881111111111,"ebullition","CH4","Deans1",13.7993450933014,3.74419761853324,29.0852855766279,4157.61481472687
"4",4,"Deans","2022-08-16","3~4",0.398684601657778,3.67790300128407,1.72826115154192,2.86303333333333,"ebullition","CH4","Deans1",4.94806928556956,1.14144730403294,10.529958889443,4157.61481472687
"5",5,"Deans","2022-08-16","4~5",1.50127809582505,21.7388608048796,8.92655351734788,2.88555555555556,"ebullition","CH4","Deans1",25.7580660939472,4.33202134984185,62.7286905669693,4157.61481472687
"6",6,"Deans","2022-08-16","5~6",0.687813116993728,3.65333302270852,1.85244732335162,3.14204166666667,"ebullition","CH4","Deans1",5.82046667527594,2.16113747247417,11.4789245795595,4157.61481472687
"7",7,"Deans","2022-08-16","6~7",1.2203787346778,10.8516895744024,5.09511494225161,3.098625,"ebullition","CH4","Deans1",15.7878505379344,3.781496056741,33.6253166074826,4157.61481472687
"8",8,"Deans","2022-08-16","7~8",1.76140134727001,6.48656984329503,3.80651720358384,4.62021111111111,"ebullition","CH4","Deans1",17.5869130786336,8.13804607578298,29.9693220629899,4157.61481472687
"9",1,"Deans","2022-08-30","0~1",2.78600826155376,6.568956275,4.12722262119216,1.75601111111111,"ebullition","CH4","Deans2",7.24744878084255,4.89226146293575,11.535160207303,4157.61481472687
"10",2,"Deans","2022-08-30","1~2",3.85065226335679,11.91769225,6.84576891722748,2.82668888888889,"ebullition","CH4","Deans2",19.3508589342278,10.8845959678055,33.6876082642722,4157.61481472687
"11",3,"Deans","2022-08-30","2~3",4.4514019,14.410150790848,9.60599930782996,2.99363333333333,"ebullition","CH4","Deans2",28.7568397278967,13.3258651079033,43.1387077458422,4157.61481472687
"12",4,"Deans","2022-08-30","3~4",3.19518962082044,8.4599243,5.8705826761054,4.34876666666667,"ebullition","CH4","Deans2",25.529794255758,13.8951341167032,36.7902367983634,4157.61481472687
"13",5,"Deans","2022-08-30","4~5",1.980495975,15.16399775,7.41885544319639,1.87922222222222,"ebullition","CH4","Deans2",13.9416780123089,3.72179204724166,28.4965215495277,4157.61481472687
