"","site","date","period","gas","sum_flux"
"1","Catfish","2022-09-06",1,"CH4",1.74473021407184
"2","Catfish","2022-09-06",1,"CH4",2.85327399193912
"3","Catfish","2022-09-06",1,"CH4",3.79171690841191
"4","Catfish","2022-09-06",1,"CH4",2.96378694503635
"5","Catfish","2022-09-06",1,"CH4",2.26905399854898
"6","Catfish","2022-09-06",1,"CH4",3.22476864236844
"7","Catfish","2022-09-06",1,"CH4",2.11654405192973
"8","Catfish","2022-09-06",1,"CH4",2.45429437397087
"9","Catfish","2022-09-06",1,"CH4",2.54263430250971
"10","Catfish","2022-09-06",1,"CH4",1.99408381223618
"11","Catfish","2022-09-06",1,"CH4",3.46761498852351
"12","Catfish","2022-09-06",1,"CH4",3.37623998207753
"13","Catfish","2022-09-06",1,"CH4",2.76730165380188
"14","Catfish","2022-09-06",1,"CH4",3.77755048718469
"15","Catfish","2022-09-06",1,"CH4",3.29172569405708
"16","Catfish","2022-09-06",1,"CH4",3.74306842412499
"17","Catfish","2022-09-06",1,"CH4",3.11955232903125
"18","Catfish","2022-09-06",1,"CH4",3.80883905301471
"19","Catfish","2022-09-06",1,"CH4",3.80508082124252
"20","Catfish","2022-09-06",1,"CH4",4.64728102226146
"21","Catfish","2022-09-06",1,"CH4",2.90794517658753
"22","Catfish","2022-09-06",1,"CH4",2.25972926486767
"23","Catfish","2022-09-06",1,"CH4",2.00987322541958
"24","Catfish","2022-09-06",1,"CH4",3.3901815013705
"25","Catfish","2022-09-06",1,"CH4",3.31624248103657
"26","Catfish","2022-09-06",2,"CH4",3.31235300228976
"27","Catfish","2022-09-06",2,"CH4",2.79884083386513
"28","Catfish","2022-09-06",2,"CH4",2.91270064824623
"29","Catfish","2022-09-06",2,"CH4",2.85470410695085
"30","Catfish","2022-09-06",2,"CH4",3.7649642991565
"31","Catfish","2022-09-06",2,"CH4",2.35030386170538
"32","Catfish","2022-09-06",2,"CH4",3.27288321419621
"33","Catfish","2022-09-06",2,"CH4",3.11349158769187
"34","Catfish","2022-09-06",2,"CH4",2.87511066865476
"35","Catfish","2022-09-06",2,"CH4",3.29539663763136
"36","Catfish","2022-09-06",2,"CH4",4.63397232285198
"37","Catfish","2022-09-06",2,"CH4",2.81066883310771
"38","Catfish","2022-09-06",2,"CH4",3.9561927028107
"39","Catfish","2022-09-06",2,"CH4",2.77766237240647
"40","Catfish","2022-09-06",2,"CH4",2.65120745079982
"41","Catfish","2022-09-06",2,"CH4",2.30239415228715
"42","Catfish","2022-09-06",2,"CH4",2.50867938851967
"43","Catfish","2022-09-06",2,"CH4",2.99095395659351
"44","Catfish","2022-09-06",2,"CH4",3.07257007502471
"45","Catfish","2022-09-06",2,"CH4",2.84462740110054
"46","Catfish","2022-09-06",2,"CH4",2.73496387392943
"47","Catfish","2022-09-06",2,"CH4",2.38888321132093
"48","Catfish","2022-09-06",2,"CH4",3.17475213292277
"49","Catfish","2022-09-06",2,"CH4",3.33949927894827
"50","Catfish","2022-09-06",2,"CH4",2.64781579669347
"51","Catfish","2022-09-06",3,"CH4",9.61805618249909
"52","Catfish","2022-09-06",3,"CH4",7.7437814808553
"53","Catfish","2022-09-06",3,"CH4",6.70317808832553
"54","Catfish","2022-09-06",3,"CH4",4.82824702339557
"55","Catfish","2022-09-06",3,"CH4",3.95280715431712
"56","Catfish","2022-09-06",3,"CH4",5.03992432162243
"57","Catfish","2022-09-06",3,"CH4",4.76154030015661
"58","Catfish","2022-09-06",3,"CH4",5.43047023853221
"59","Catfish","2022-09-06",3,"CH4",4.61453550245165
"60","Catfish","2022-09-06",3,"CH4",5.67086856148303
"61","Catfish","2022-09-06",3,"CH4",6.45578052426447
"62","Catfish","2022-09-06",3,"CH4",4.82279221868591
"63","Catfish","2022-09-06",3,"CH4",6.47787337825409
"64","Catfish","2022-09-06",3,"CH4",8.69591516586605
"65","Catfish","2022-09-06",3,"CH4",5.13358026002252
"66","Catfish","2022-09-06",3,"CH4",8.86285467907145
"67","Catfish","2022-09-06",3,"CH4",4.30555293076143
"68","Catfish","2022-09-06",3,"CH4",5.00191119384351
"69","Catfish","2022-09-06",3,"CH4",8.88705358585516
"70","Catfish","2022-09-06",3,"CH4",8.36565865443741
"71","Catfish","2022-09-06",3,"CH4",6.19282397921288
"72","Catfish","2022-09-06",3,"CH4",6.20010023636364
"73","Catfish","2022-09-06",3,"CH4",5.11527398211596
"74","Catfish","2022-09-06",3,"CH4",5.75915060080087
"75","Catfish","2022-09-06",3,"CH4",5.15508244474334
"76","Catfish","2022-09-06",4,"CH4",20.017848432493
"77","Catfish","2022-09-06",4,"CH4",10.1308777940871
"78","Catfish","2022-09-06",4,"CH4",17.3401859110615
"79","Catfish","2022-09-06",4,"CH4",25.123190672024
"80","Catfish","2022-09-06",4,"CH4",18.1205059165625
"81","Catfish","2022-09-06",4,"CH4",15.9739658225672
"82","Catfish","2022-09-06",4,"CH4",12.590703428161
"83","Catfish","2022-09-06",4,"CH4",26.1714292158891
"84","Catfish","2022-09-06",4,"CH4",16.4183305102212
