"site","date","period","sum_flux"
"Deans","2022-08-16","0~1",0.305201738086102
"Deans","2022-08-16","1~2",4.62447238112645
"Deans","2022-08-16","2~3",3.79407021440018
"Deans","2022-08-16","3~4",2.03234507757815
"Deans","2022-08-16","4~5",2.32999769621636
"Deans","2022-08-16","5~6",2.61190239598639
"Deans","2022-08-16","6~7",1.46229414037651
"Deans","2022-08-16","7~8",4.29214022722395
"Deans","2022-08-16","0~1",0.786017600972321
"Deans","2022-08-16","1~2",7.60604305407776
"Deans","2022-08-16","2~3",4.17786684057584
"Deans","2022-08-16","3~4",2.87387812186889
"Deans","2022-08-16","4~5",1.4963636292555
"Deans","2022-08-16","5~6",2.16787461572683
"Deans","2022-08-16","6~7",2.66880216593181
"Deans","2022-08-16","7~8",1.98119427817242
"Deans","2022-08-16","0~1",0.723468889893272
"Deans","2022-08-16","1~2",3.82398601935628
"Deans","2022-08-16","2~3",1.59494588368073
"Deans","2022-08-16","3~4",2.28567514702662
"Deans","2022-08-16","4~5",14.3388127734144
"Deans","2022-08-16","5~6",1.47009768876791
"Deans","2022-08-16","6~7",4.06067596998019
"Deans","2022-08-16","7~8",2.0910038525453
"Deans","2022-08-16","0~1",0.0376094604200957
"Deans","2022-08-16","1~2",8.84927479917961
"Deans","2022-08-16","2~3",2.85873559770957
"Deans","2022-08-16","3~4",2.10993929758782
"Deans","2022-08-16","4~5",11.3829499859718
"Deans","2022-08-16","5~6",1.98905013431088
"Deans","2022-08-16","6~7",4.92855113435246
"Deans","2022-08-16","7~8",4.03380153695456
"Deans","2022-08-16","0~1",0.420781788746179
"Deans","2022-08-16","1~2",5.04503209291189
"Deans","2022-08-16","2~3",3.37168490308851
"Deans","2022-08-16","3~4",0.833692305975255
"Deans","2022-08-16","4~5",22.6907292566205
"Deans","2022-08-16","5~6",1.10751083447652
"Deans","2022-08-16","6~7",2.52700659426346
"Deans","2022-08-16","7~8",1.95288598656153
"Deans","2022-08-16","0~1",0.0389926557117945
"Deans","2022-08-16","1~2",2.07901430979415
"Deans","2022-08-16","2~3",4.67124282205286
"Deans","2022-08-16","3~4",1.20461464502109
"Deans","2022-08-16","4~5",6.8720746781429
"Deans","2022-08-16","5~6",1.81671130166206
"Deans","2022-08-16","6~7",3.90621436980335
"Deans","2022-08-16","7~8",3.33708878471697
"Deans","2022-08-16","0~1",0.527871217879772
"Deans","2022-08-16","1~2",3.26360176330681
"Deans","2022-08-16","2~3",7.29244904719061
"Deans","2022-08-16","3~4",1.78348080753448
"Deans","2022-08-16","4~5",12.2868912722993
"Deans","2022-08-16","5~6",1.23496020484677
"Deans","2022-08-16","6~7",3.35893003452949
"Deans","2022-08-16","7~8",5.48325719760127
"Deans","2022-08-16","0~1",0.0411969248198482
"Deans","2022-08-16","1~2",7.48448971733595
"Deans","2022-08-16","2~3",4.80412465673956
"Deans","2022-08-16","3~4",3.47200686257197
"Deans","2022-08-16","4~5",8.62992822930531
"Deans","2022-08-16","5~6",1.95874125320951
"Deans","2022-08-16","6~7",4.39043329626141
"Deans","2022-08-16","7~8",5.3793445021013
"Deans","2022-08-16","0~1",0.658401824691687
"Deans","2022-08-16","1~2",4.27941269055565
"Deans","2022-08-16","2~3",1.19935111710385
"Deans","2022-08-16","3~4",1.287362288065
"Deans","2022-08-16","4~5",1.45880797380743
"Deans","2022-08-16","5~6",1.25858256521274
"Deans","2022-08-16","6~7",6.18673486017492
"Deans","2022-08-16","7~8",3.89611298316773
"Deans","2022-08-16","0~1",0.357223464828475
"Deans","2022-08-16","1~2",1.18800944188752
"Deans","2022-08-16","2~3",3.2253550354448
"Deans","2022-08-16","3~4",1.18704845319911
"Deans","2022-08-16","4~5",11.5460978838163
"Deans","2022-08-16","5~6",1.81130736997027
"Deans","2022-08-16","6~7",5.71465015986151
"Deans","2022-08-16","7~8",2.17332625629207
"Deans","2022-08-16","0~1",0.386612538815907
"Deans","2022-08-16","1~2",4.23609349935466
"Deans","2022-08-16","2~3",2.10486152550418
"Deans","2022-08-16","3~4",0.60357326353528
"Deans","2022-08-16","4~5",17.5574016014194
"Deans","2022-08-16","5~6",2.09836369383359
"Deans","2022-08-16","6~7",4.85197935989405
"Deans","2022-08-16","7~8",3.50523276005776
"Deans","2022-08-16","0~1",1.20977569469222
"Deans","2022-08-16","1~2",6.24611182216678
"Deans","2022-08-16","2~3",2.17084440152903
"Deans","2022-08-16","3~4",0.737729323909388
"Deans","2022-08-16","4~5",11.2168457931744
"Deans","2022-08-16","5~6",0.86079936027743
"Deans","2022-08-16","6~7",9.82568946062545
"Deans","2022-08-16","7~8",3.08220578201293
"Deans","2022-08-16","0~1",0.639799201200665
"Deans","2022-08-16","1~2",5.6846376985776
"Deans","2022-08-16","2~3",4.31621405409908
"Deans","2022-08-16","3~4",2.27095730740569
"Deans","2022-08-16","4~5",2.9919157233903
"Deans","2022-08-16","5~6",2.04409982182864
"Deans","2022-08-16","6~7",1.21865147736367
"Deans","2022-08-16","7~8",4.02340727673715
"Deans","2022-08-16","0~1",1.13541449937503
"Deans","2022-08-16","1~2",7.15069477531519
"Deans","2022-08-16","2~3",2.74062366050534
"Deans","2022-08-16","3~4",1.45861507278319
"Deans","2022-08-16","4~5",6.54505502202634
"Deans","2022-08-16","5~6",0.984129782680982
"Deans","2022-08-16","6~7",10.5043772386776
"Deans","2022-08-16","7~8",3.2177783401942
"Deans","2022-08-16","0~1",0.100724585440853
"Deans","2022-08-16","1~2",2.78033733415624
"Deans","2022-08-16","2~3",2.04078686147491
"Deans","2022-08-16","3~4",1.83539862275875
"Deans","2022-08-16","4~5",2.98906459073522
"Deans","2022-08-16","5~6",2.07343226706808
"Deans","2022-08-16","6~7",3.08132481417237
"Deans","2022-08-16","7~8",1.76140134727001
"Deans","2022-08-16","0~1",1.144095529125
"Deans","2022-08-16","1~2",3.61819036622129
"Deans","2022-08-16","2~3",5.23105723316424
"Deans","2022-08-16","3~4",0.752457810948423
"Deans","2022-08-16","4~5",15.9620343331574
"Deans","2022-08-16","5~6",1.88738418769781
"Deans","2022-08-16","6~7",1.07705869285695
"Deans","2022-08-16","7~8",6.48656984329503
"Deans","2022-08-16","0~1",0.254631002212514
"Deans","2022-08-16","1~2",2.85540563174096
"Deans","2022-08-16","2~3",1.36717824011781
"Deans","2022-08-16","3~4",1.90085444074193
"Deans","2022-08-16","4~5",8.53285996465094
"Deans","2022-08-16","5~6",1.99984043192216
"Deans","2022-08-16","6~7",2.00348311355098
"Deans","2022-08-16","7~8",1.85826781550649
"Deans","2022-08-16","0~1",0.797938986372097
"Deans","2022-08-16","1~2",4.07899621018601
"Deans","2022-08-16","2~3",5.84533901915163
"Deans","2022-08-16","3~4",1.82366047718621
"Deans","2022-08-16","4~5",11.689318907651
"Deans","2022-08-16","5~6",1.45560598627397
"Deans","2022-08-16","6~7",4.15867677642236
"Deans","2022-08-16","7~8",4.63731098252966
"Deans","2022-08-16","0~1",0.029990091686801
"Deans","2022-08-16","1~2",5.48351863618757
"Deans","2022-08-16","2~3",5.76981945722317
"Deans","2022-08-16","3~4",1.44695764412268
"Deans","2022-08-16","4~5",9.09164244506758
"Deans","2022-08-16","5~6",1.50885944191479
"Deans","2022-08-16","6~7",7.5864384946392
"Deans","2022-08-16","7~8",2.98694929445588
"Deans","2022-08-16","0~1",0.0605587172594185
"Deans","2022-08-16","1~2",3.47362280128001
"Deans","2022-08-16","2~3",3.3789834694539
"Deans","2022-08-16","3~4",1.66369695672903
"Deans","2022-08-16","4~5",2.05311628815853
"Deans","2022-08-16","5~6",0.706467611958533
"Deans","2022-08-16","6~7",1.61662531304362
"Deans","2022-08-16","7~8",1.98423546466952
"Deans","2022-08-16","0~1",0.816436162831379
"Deans","2022-08-16","1~2",2.81103140265392
"Deans","2022-08-16","2~3",3.75278702139113
"Deans","2022-08-16","3~4",0.587220584815952
"Deans","2022-08-16","4~5",1.8716397258736
"Deans","2022-08-16","5~6",0.47546574124103
"Deans","2022-08-16","6~7",1.80741757984936
"Deans","2022-08-16","7~8",3.33408035953972
"Deans","2022-08-16","0~1",0.387200646957097
"Deans","2022-08-16","1~2",4.91169876234795
"Deans","2022-08-16","2~3",2.99030680907701
"Deans","2022-08-16","3~4",1.33289125364503
"Deans","2022-08-16","4~5",1.83224417350724
"Deans","2022-08-16","5~6",1.31569856196535
"Deans","2022-08-16","6~7",4.44664170402398
"Deans","2022-08-16","7~8",5.90849010817702
"Deans","2022-08-16","0~1",0.483159080266936
"Deans","2022-08-16","1~2",7.16112819932937
"Deans","2022-08-16","2~3",2.21158634981422
"Deans","2022-08-16","3~4",1.539666874664
"Deans","2022-08-16","4~5",2.44476297670174
"Deans","2022-08-16","5~6",0.75342669274726
"Deans","2022-08-16","6~7",6.73309151125142
"Deans","2022-08-16","7~8",3.49550560227285
"Deans","2022-08-16","0~1",0.0866590835541067
"Deans","2022-08-16","1~2",3.21090740094626
"Deans","2022-08-16","2~3",5.21129203140651
"Deans","2022-08-16","3~4",1.87127109118808
"Deans","2022-08-16","4~5",4.55714155899542
"Deans","2022-08-16","5~6",1.18073124809364
