"","site","date","period","gas","sum_flux"
"1","Deans","2022-08-30",1,"CH4",5.06903074163523
"2","Deans","2022-08-30",1,"CH4",5.74628020925534
"3","Deans","2022-08-30",1,"CH4",5.83020680383189
"4","Deans","2022-08-30",1,"CH4",5.39578573926275
"5","Deans","2022-08-30",1,"CH4",4.99120878013995
"6","Deans","2022-08-30",1,"CH4",5.48074679818252
"7","Deans","2022-08-30",1,"CH4",5.83201675195481
"8","Deans","2022-08-30",1,"CH4",4.97138360627653
"9","Deans","2022-08-30",1,"CH4",4.38197487300979
"10","Deans","2022-08-30",1,"CH4",5.02304810897385
"11","Deans","2022-08-30",1,"CH4",7.16783375617615
"12","Deans","2022-08-30",1,"CH4",5.47007951576412
"13","Deans","2022-08-30",1,"CH4",5.17204339148261
"14","Deans","2022-08-30",1,"CH4",5.26897530050116
"15","Deans","2022-08-30",1,"CH4",5.48653264620434
"16","Deans","2022-08-30",1,"CH4",5.29027583470916
"17","Deans","2022-08-30",1,"CH4",4.35296925486117
"18","Deans","2022-08-30",1,"CH4",4.60626590588528
"19","Deans","2022-08-30",1,"CH4",6.18304153704082
"20","Deans","2022-08-30",1,"CH4",5.36367021018969
"21","Deans","2022-08-30",1,"CH4",5.23977886669534
"22","Deans","2022-08-30",1,"CH4",4.66627966365111
"23","Deans","2022-08-30",1,"CH4",4.21536715682944
"24","Deans","2022-08-30",1,"CH4",6.28159323257805
"25","Deans","2022-08-30",1,"CH4",4.8329835674889
"26","Deans","2022-08-30",2,"CH4",4.19403251987311
"27","Deans","2022-08-30",2,"CH4",6.23857989727315
"28","Deans","2022-08-30",2,"CH4",5.1594052453176
"29","Deans","2022-08-30",2,"CH4",6.54315905235431
"30","Deans","2022-08-30",2,"CH4",5.02169290143952
"31","Deans","2022-08-30",2,"CH4",5.04636141308835
"32","Deans","2022-08-30",2,"CH4",6.10837003831523
"33","Deans","2022-08-30",2,"CH4",4.88494512588784
"34","Deans","2022-08-30",2,"CH4",5.07521555626505
"35","Deans","2022-08-30",2,"CH4",5.60529274782822
"36","Deans","2022-08-30",2,"CH4",5.07555230789871
"37","Deans","2022-08-30",2,"CH4",6.8158935172484
"38","Deans","2022-08-30",2,"CH4",5.30902372632927
"39","Deans","2022-08-30",2,"CH4",4.74192006540652
"40","Deans","2022-08-30",2,"CH4",5.26967598538152
"41","Deans","2022-08-30",2,"CH4",5.13890457577141
"42","Deans","2022-08-30",2,"CH4",5.43047676551954
"43","Deans","2022-08-30",2,"CH4",5.70870112991782
"44","Deans","2022-08-30",2,"CH4",5.89234120958154
"45","Deans","2022-08-30",2,"CH4",5.88209801572553
"46","Deans","2022-08-30",2,"CH4",5.40713851396355
"47","Deans","2022-08-30",2,"CH4",5.65451750177793
"48","Deans","2022-08-30",2,"CH4",6.11174723903817
"49","Deans","2022-08-30",2,"CH4",4.83945508683093
"50","Deans","2022-08-30",2,"CH4",6.10287759329749
"51","Deans","2022-08-30",3,"CH4",13.315312411111
"52","Deans","2022-08-30",3,"CH4",12.511269062619
"53","Deans","2022-08-30",3,"CH4",15.8502034565323
"54","Deans","2022-08-30",3,"CH4",11.9613975763939
"55","Deans","2022-08-30",3,"CH4",13.5164246333392
"56","Deans","2022-08-30",3,"CH4",15.5943561575155
"57","Deans","2022-08-30",3,"CH4",12.3293940290969
"58","Deans","2022-08-30",3,"CH4",10.0420563777649
"59","Deans","2022-08-30",3,"CH4",14.9490155442682
"60","Deans","2022-08-30",3,"CH4",13.6017088272668
"61","Deans","2022-08-30",3,"CH4",12.428278506915
"62","Deans","2022-08-30",3,"CH4",11.0451136037768
"63","Deans","2022-08-30",3,"CH4",12.4544897044535
"64","Deans","2022-08-30",3,"CH4",11.1280928068582
"65","Deans","2022-08-30",3,"CH4",11.6841045267998
"66","Deans","2022-08-30",3,"CH4",8.87294567819023
"67","Deans","2022-08-30",3,"CH4",9.65903437677382
"68","Deans","2022-08-30",3,"CH4",14.5125595758646
"69","Deans","2022-08-30",3,"CH4",11.2708621567389
"70","Deans","2022-08-30",3,"CH4",13.1223539655667
"71","Deans","2022-08-30",3,"CH4",11.4757026998756
"72","Deans","2022-08-30",3,"CH4",13.9180837905933
"73","Deans","2022-08-30",3,"CH4",10.1749153760877
"74","Deans","2022-08-30",3,"CH4",13.1389967749114
"75","Deans","2022-08-30",3,"CH4",14.2787830278525
"76","Deans","2022-08-30",4,"CH4",5.38035346887725
"77","Deans","2022-08-30",4,"CH4",4.99227892345104
"78","Deans","2022-08-30",4,"CH4",5.25650889247769
"79","Deans","2022-08-30",4,"CH4",5.39231480233003
"80","Deans","2022-08-30",4,"CH4",5.18723380582893
"81","Deans","2022-08-30",4,"CH4",5.70033647904041
"82","Deans","2022-08-30",4,"CH4",5.62481215738131
"83","Deans","2022-08-30",4,"CH4",4.98990850472593
"84","Deans","2022-08-30",4,"CH4",4.77185956145931
"85","Deans","2022-08-30",4,"CH4",5.71861791128073
"86","Deans","2022-08-30",4,"CH4",3.25862377327855
"87","Deans","2022-08-30",4,"CH4",4.75184766321017
"88","Deans","2022-08-30",4,"CH4",6.89385588694037
"89","Deans","2022-08-30",4,"CH4",5.73200430490802
"90","Deans","2022-08-30",4,"CH4",4.9183249515563
"91","Deans","2022-08-30",4,"CH4",7.38344359913842
"92","Deans","2022-08-30",4,"CH4",5.55845426357125
"93","Deans","2022-08-30",4,"CH4",7.4195051914893
"94","Deans","2022-08-30",4,"CH4",7.64238025769459
"95","Deans","2022-08-30",4,"CH4",5.08579812279716
"96","Deans","2022-08-30",4,"CH4",5.18773658831475
"97","Deans","2022-08-30",4,"CH4",6.19045059802754
"98","Deans","2022-08-30",4,"CH4",5.41650503242777
"99","Deans","2022-08-30",4,"CH4",6.78806438590356
"100","Deans","2022-08-30",4,"CH4",6.11126146169829
"101","Deans","2022-08-30",5,"CH4",10.5772168485589
"102","Deans","2022-08-30",5,"CH4",11.5643466300594
"103","Deans","2022-08-30",5,"CH4",7.96527721888085
"104","Deans","2022-08-30",5,"CH4",5.87991242997169
"105","Deans","2022-08-30",5,"CH4",8.84775297988629
"106","Deans","2022-08-30",5,"CH4",15.8179335813138
"107","Deans","2022-08-30",5,"CH4",9.91915435641558
"108","Deans","2022-08-30",5,"CH4",9.35983364116675
"109","Deans","2022-08-30",5,"CH4",7.94157815014823
"110","Deans","2022-08-30",5,"CH4",7.48176434826843
"111","Deans","2022-08-30",5,"CH4",5.96938002926302
"112","Deans","2022-08-30",5,"CH4",5.97169149277772
"113","Deans","2022-08-30",5,"CH4",16.930483679493
"114","Deans","2022-08-30",5,"CH4",5.08382381966988
"115","Deans","2022-08-30",5,"CH4",10.4755017083177
"116","Deans","2022-08-30",5,"CH4",8.11108735356398
"117","Deans","2022-08-30",5,"CH4",9.06835764749142
"118","Deans","2022-08-30",5,"CH4",9.36350080405726
"119","Deans","2022-08-30",5,"CH4",13.3424137799277
"120","Deans","2022-08-30",5,"CH4",16.4723252520687
"121","Deans","2022-08-30",5,"CH4",10.1580478828698
"122","Deans","2022-08-30",5,"CH4",8.32696027650803
"123","Deans","2022-08-30",5,"CH4",9.49558338011892
"124","Deans","2022-08-30",5,"CH4",9.86374896463815
"125","Deans","2022-08-30",5,"CH4",9.27796667543987
"126","Deans","2022-08-30",6,"CH4",5.72299542621473
"127","Deans","2022-08-30",6,"CH4",5.80326638969226
"128","Deans","2022-08-30",6,"CH4",5.48273824371156
"129","Deans","2022-08-30",6,"CH4",5.40366952886712
"130","Deans","2022-08-30",6,"CH4",6.98442361647167
"131","Deans","2022-08-30",6,"CH4",4.49512527355393
"132","Deans","2022-08-30",6,"CH4",4.94069240073359
"133","Deans","2022-08-30",6,"CH4",5.03644042324883
"134","Deans","2022-08-30",6,"CH4",3.87485220851398
"135","Deans","2022-08-30",6,"CH4",3.98105456252439
"136","Deans","2022-08-30",6,"CH4",4.50488332376362
"137","Deans","2022-08-30",6,"CH4",4.69561780278114
"138","Deans","2022-08-30",6,"CH4",8.37156049108163
"139","Deans","2022-08-30",6,"CH4",6.43013455452444
"140","Deans","2022-08-30",6,"CH4",5.58167107045393
"141","Deans","2022-08-30",6,"CH4",4.17739732410135
"142","Deans","2022-08-30",6,"CH4",3.85505781772725
"143","Deans","2022-08-30",6,"CH4",5.92153924268332
"144","Deans","2022-08-30",6,"CH4",4.50326803060407
"145","Deans","2022-08-30",6,"CH4",6.6170266321629
"146","Deans","2022-08-30",6,"CH4",7.06042939857397
"147","Deans","2022-08-30",6,"CH4",4.52038642827597
"148","Deans","2022-08-30",6,"CH4",5.15887059581137
"149","Deans","2022-08-30",6,"CH4",4.81957879990081
"150","Deans","2022-08-30",6,"CH4",5.46961897178658
"151","Deans","2022-08-30",7,"CH4",9.27136628636833
"152","Deans","2022-08-30",7,"CH4",4.12768792899394
"153","Deans","2022-08-30",7,"CH4",6.66197380298969
"154","Deans","2022-08-30",7,"CH4",5.61901070425763
"155","Deans","2022-08-30",7,"CH4",6.14761099911851
"156","Deans","2022-08-30",7,"CH4",7.55407328213622
"157","Deans","2022-08-30",7,"CH4",8.41668062760027
"158","Deans","2022-08-30",7,"CH4",5.72132752906594
"159","Deans","2022-08-30",7,"CH4",6.35336103995626
"160","Deans","2022-08-30",7,"CH4",6.7054196127962
"161","Deans","2022-08-30",7,"CH4",9.90590217301562
"162","Deans","2022-08-30",7,"CH4",5.78798411600171
"163","Deans","2022-08-30",7,"CH4",5.40465896706365
"164","Deans","2022-08-30",7,"CH4",7.12958432063346
"165","Deans","2022-08-30",7,"CH4",5.85876327392757
"166","Deans","2022-08-30",7,"CH4",6.57257405354155
