"","site","date","period","gas","sum_flux"
"1","Pick","2022-09-13",1,"CH4",126.533010290295
"2","Pick","2022-09-13",1,"CH4",120.077943373011
"3","Pick","2022-09-13",1,"CH4",107.949836248686
"4","Pick","2022-09-13",1,"CH4",92.3293311383639
"5","Pick","2022-09-13",1,"CH4",104.925083259503
"6","Pick","2022-09-13",1,"CH4",105.536686883922
"7","Pick","2022-09-13",1,"CH4",105.797696168217
"8","Pick","2022-09-13",1,"CH4",97.1622630565117
"9","Pick","2022-09-13",1,"CH4",91.9558540232983
"10","Pick","2022-09-13",1,"CH4",123.106689314941
"11","Pick","2022-09-13",1,"CH4",96.8327266290782
"12","Pick","2022-09-13",1,"CH4",108.467513393778
"13","Pick","2022-09-13",1,"CH4",104.007839201979
"14","Pick","2022-09-13",1,"CH4",115.087251742006
"15","Pick","2022-09-13",1,"CH4",120.770198867292
"16","Pick","2022-09-13",1,"CH4",104.985947687303
"17","Pick","2022-09-13",1,"CH4",86.7676993977826
"18","Pick","2022-09-13",1,"CH4",105.307177897809
"19","Pick","2022-09-13",1,"CH4",125.67801863256
"20","Pick","2022-09-13",1,"CH4",104.607745726026
"21","Pick","2022-09-13",1,"CH4",127.036878753358
"22","Pick","2022-09-13",1,"CH4",134.943389615267
"23","Pick","2022-09-13",1,"CH4",103.995803488578
"24","Pick","2022-09-13",1,"CH4",117.090185534733
"25","Pick","2022-09-13",1,"CH4",101.011890209979
"26","Pick","2022-09-13",2,"CH4",98.5810266375003
"27","Pick","2022-09-13",2,"CH4",79.8000776373928
"28","Pick","2022-09-13",2,"CH4",92.072295054447
"29","Pick","2022-09-13",2,"CH4",76.3746548331253
"30","Pick","2022-09-13",2,"CH4",96.7167333142832
"31","Pick","2022-09-13",2,"CH4",93.6804200850475
"32","Pick","2022-09-13",2,"CH4",100.721301368602
"33","Pick","2022-09-13",2,"CH4",76.2311191241746
"34","Pick","2022-09-13",2,"CH4",104.044966821795
"35","Pick","2022-09-13",2,"CH4",101.56052503535
"36","Pick","2022-09-13",2,"CH4",84.9127670019568
"37","Pick","2022-09-13",2,"CH4",141.261584488025
"38","Pick","2022-09-13",2,"CH4",113.657130498882
"39","Pick","2022-09-13",2,"CH4",111.330204477235
"40","Pick","2022-09-13",2,"CH4",84.1614003629322
"41","Pick","2022-09-13",2,"CH4",90.6032014877007
"42","Pick","2022-09-13",2,"CH4",89.1025231085358
"43","Pick","2022-09-13",2,"CH4",94.4764342887009
"44","Pick","2022-09-13",2,"CH4",120.059904610963
"45","Pick","2022-09-13",2,"CH4",76.2053303274427
"46","Pick","2022-09-13",2,"CH4",86.9240848596368
"47","Pick","2022-09-13",2,"CH4",99.4720277234598
