"","site","date","period","gas","sum_flux"
"1","Sister3","2022-08-22",1,"CH4",2.17412840024991
"2","Sister3","2022-08-22",1,"CH4",2.16783907879541
"3","Sister3","2022-08-22",2,"CH4",0.421854291705315
"4","Sister3","2022-08-22",2,"CH4",0.538870453424087
"5","Sister3","2022-08-22",3,"CH4",2.66593227778985
"6","Sister3","2022-08-22",3,"CH4",4.19268813885223
"7","Sister3","2022-08-22",4,"CH4",4.21665178162643
"8","Sister3","2022-08-22",4,"CH4",3.91798881888425
"9","Sister3","2022-08-22",5,"CH4",5.57962113332578
"10","Sister3","2022-08-22",5,"CH4",6.77930776499048
"11","Sister3","2022-08-22",6,"CH4",4.21673813015925
"12","Sister3","2022-08-22",6,"CH4",4.14970877244914
"13","Sister3","2022-08-22",7,"CH4",1.17660555518239
"14","Sister3","2022-08-22",7,"CH4",1.32312513240054
"15","Sister3","2022-08-22",8,"CH4",2.35351691230382
"16","Sister3","2022-08-22",8,"CH4",2.35546768228071
"17","Sister3","2022-08-22",9,"CH4",6.13609068835525
"18","Sister3","2022-08-22",9,"CH4",6.74894800523372
"19","Sister3","2022-08-22",1,"CH4",1.48097980650726
"20","Sister3","2022-08-22",1,"CH4",1.50585087632188
"21","Sister3","2022-08-22",2,"CH4",0.400873427100425
"22","Sister3","2022-08-22",2,"CH4",0.356333808803854
"23","Sister3","2022-08-22",3,"CH4",3.70475917726407
"24","Sister3","2022-08-22",3,"CH4",3.62128303540461
"25","Sister3","2022-08-22",4,"CH4",2.72123504345848
"26","Sister3","2022-08-22",4,"CH4",2.95860139101865
"27","Sister3","2022-08-22",5,"CH4",4.02823536442163
"28","Sister3","2022-08-22",5,"CH4",4.33486436513333
"29","Sister3","2022-08-22",6,"CH4",2.27138949627545
"30","Sister3","2022-08-22",6,"CH4",3.4580856182344
"31","Sister3","2022-08-22",7,"CH4",1.94626138967062
"32","Sister3","2022-08-22",7,"CH4",1.52193058593641
"33","Sister3","2022-08-22",8,"CH4",5.37910697754792
"34","Sister3","2022-08-22",8,"CH4",4.26050102641657
"35","Sister3","2022-08-22",9,"CH4",16.9092320689768
"36","Sister3","2022-08-22",9,"CH4",12.068521366512
