"site","date","flux_round_diffusion_CH4","flux_round_diffusion_CO2","flux_round_ebullition_CH4","flux_round_2.5_diffusion_CH4","flux_round_2.5_diffusion_CO2","flux_round_2.5_ebullition_CH4","flux_round_97.5_diffusion_CH4","flux_round_97.5_diffusion_CO2","flux_round_97.5_ebullition_CH4","type","sampling"
"Catfish","2022-09-06",0.0117,3.1362,0.1223,0.0075,2.7317,0.0682,0.0164,3.6253,0.2035,"calculated","Catfish
06 Sept"
"Catfish","2022-09-18",0.0112,2.4247,0.0379,0.0068,2.0766,0.021,0.0173,2.8311,0.0657,"calculated","Catfish
18 Sept"
"Deans","2022-08-16",0.0121,3.22,0.0232,0.009,2.757,0.0065,0.0151,3.7506,0.0484,"calculated","Deans
16 Aug"
"Deans","2022-08-30",0.0064,1.1893,0.038,0.0052,1.023,0.0189,0.0077,1.3659,0.0616,"calculated","Deans
30 Aug"
"Pick","2022-09-13",0.2949,3.6217,0.2294,0.2478,2.9411,0.1536,0.3478,4.3332,0.3244,"calculated","Blue Herron
13 Sept"
"Sister3","2022-08-22",0.0114,-0.0744,0.0692,0.0098,-0.1262,0.0498,0.0133,-0.0221,0.0915,"calculated","Sister
22 Aug"
"Catfish","2022-09-06",0.00995409747783353,4.08345731954348,NA,0.00557594364619562,2.71912698386718,NA,0.015098088757709,5.74202964735422,NA,"four random","Catfish
06 Sept"
"Catfish","2022-09-18",0.014579869115405,2.5283349820953,NA,0.00156053447068831,1.90205133625525,NA,0.0426968710418068,3.14173970758664,NA,"four random","Catfish
18 Sept"
"Deans","2022-08-16",0.0129717076150418,4.04609082084585,NA,0.00710504637995718,2.40044838643153,NA,0.0190826682813697,5.75459031750102,NA,"four random","Deans
16 Aug"
"Deans","2022-08-30",0.00829795155722107,1.94786779826914,NA,0.00502898335901618,1.22182702835522,NA,0.0119542329476045,2.76673152421566,NA,"four random","Deans
30 Aug"
"Pick","2022-09-13",0.422639649258243,-3.76909299617049,NA,0.209538315256017,-9.36090710576239,NA,0.643676675518283,2.06622166037987,NA,"four random","Blue Herron
13 Sept"
"Sister3","2022-08-22",0.0111774882591737,-0.0558050044410373,NA,0.00520336792453252,-0.31199592288122,NA,0.0182979077088002,0.169126999094269,NA,"four random","Sister
22 Aug"
"Catfish","2022-09-06",0.0155206622271479,3.14599177064337,NA,0.00626859898370358,2.38291056204608,NA,0.0291245320762178,3.87944585519685,NA,"four random, twice","Catfish
06 Sept"
"Catfish","2022-09-18",0.0105362700453066,2.15172122487665,NA,0.00321160028512594,1.60956718994221,NA,0.0216969462675458,2.80849465824156,NA,"four random, twice","Catfish
18 Sept"
"Deans","2022-08-16",0.0119025895761609,2.93651456051583,NA,0.00698371165082938,1.86454690821522,NA,0.0170317211784384,3.85788292609947,NA,"four random, twice","Deans
16 Aug"
"Deans","2022-08-30",0.0060631763550625,1.20474050916016,NA,0.00416401389384071,0.845752143992398,NA,0.00851014438992633,1.56119611372754,NA,"four random, twice","Deans
30 Aug"
"Pick","2022-09-13",0.262738278578719,2.14517257319679,NA,0.174854713929413,-0.463267599294492,NA,0.345934320613935,4.91011405206825,NA,"four random, twice","Blue Herron
13 Sept"
"Sister3","2022-08-22",0.0151097561407664,-0.419169249719637,NA,0.0075954631661042,-0.585262707637902,NA,0.0239038289872731,-0.267263161769678,NA,"four random, twice","Sister
22 Aug"
"Catfish","2022-09-06",0.0102335377388609,4.23549882036298,NA,0.00557176708279671,2.46526451960881,NA,0.0151058921821401,5.78533543944087,NA,"transect","Catfish
06 Sept"
"Catfish","2022-09-18",0.0215428458090826,2.49765718568283,NA,0.00187193110943534,1.99694841103575,NA,0.0429340934101523,2.9994462666229,NA,"transect","Catfish
18 Sept"
"Deans","2022-08-16",0.0129216610959781,4.01938939212704,NA,0.00731170018969865,2.45752052590668,NA,0.0198116314100705,5.90586759130707,NA,"transect","Deans
16 Aug"
"Deans","2022-08-30",0.00808871449033979,1.81940740395173,NA,0.00476658880575576,1.22547707080764,NA,0.0114128958050983,2.6314021668648,NA,"transect","Deans
30 Aug"
"Pick","2022-09-13",0.431435621073836,-3.51575590736949,NA,0.249745932877189,-8.51769244993196,NA,0.644178434033274,1.12662321898966,NA,"transect","Blue Herron
13 Sept"
"Sister3","2022-08-22",0.0112632949896896,-0.0609987093055599,NA,0.00539888181444275,-0.330833099568086,NA,0.0182505022532264,0.174482335648653,NA,"transect","Sister
22 Aug"
"Catfish","2022-09-06",0.015113572898218,3.18694010115948,NA,0.00637690486766375,2.57168770067427,NA,0.0291375954565963,3.8843191903124,NA,"transect twice","Catfish
06 Sept"
"Catfish","2022-09-18",0.010749499255903,2.23132986491126,NA,0.00388695720151373,1.75247759862152,NA,0.0202581403048119,2.64888157505739,NA,"transect twice","Catfish
18 Sept"
"Deans","2022-08-16",0.0124901753063452,3.0457369744024,NA,0.00771512536187257,2.03311332932658,NA,0.0173249667928974,3.9232327215885,NA,"transect twice","Deans
16 Aug"
"Deans","2022-08-30",0.00601398091445374,1.16642474386741,NA,0.0041657497674125,0.792536259206503,NA,0.0076327142064309,1.55904712779583,NA,"transect twice","Deans
30 Aug"
"Pick","2022-09-13",0.277750734540527,2.53194692796642,NA,0.202141494837154,0.842247713414732,NA,0.358862435872126,4.41566696671485,NA,"transect twice","Blue Herron
13 Sept"
"Sister3","2022-08-22",0.0153467358441771,-0.420467328189037,NA,0.00894842356818248,-0.588556212163715,NA,0.0224889769454842,-0.281898844400387,NA,"transect twice","Sister
22 Aug"
