"change_diff_eb","site","date","np"
0.0166474019316826,"Deans","2022-08-16",1
0.0099435046191576,"Deans","2022-08-16",1
0.0272300213314614,"Deans","2022-08-16",1
0.0166313867557264,"Deans","2022-08-16",1
0.036155770261668,"Deans","2022-08-16",1
NA,"Deans","2022-08-16",1
0.0100602344930139,"Deans","2022-08-16",1
0.0215375596984467,"Deans","2022-08-16",1
NA,"Deans","2022-08-16",1
0.034297817592455,"Deans","2022-08-16",1
0.0106505877313058,"Deans","2022-08-16",1
0.0168599648457756,"Deans","2022-08-16",1
0.0248596522176203,"Deans","2022-08-16",1
0.0459135446427331,"Deans","2022-08-16",1
0.0748038180783401,"Deans","2022-08-16",1
0.0260750194338087,"Deans","2022-08-16",1
0.0131748834335342,"Deans","2022-08-16",1
0.00390786476852468,"Deans","2022-08-16",1
0.0220983620139864,"Deans","2022-08-16",1
0.0321560209572674,"Deans","2022-08-16",1
0.0445299060517858,"Deans","2022-08-16",1
0.019376474888847,"Deans","2022-08-16",1
0.0160654125577383,"Deans","2022-08-16",1
0.00418182295111491,"Deans","2022-08-16",1
0.0440027328467973,"Deans","2022-08-16",1
0.00908527453240784,"Deans","2022-08-16",1
0.0402959943499782,"Deans","2022-08-16",1
0.0269817467869673,"Deans","2022-08-16",1
0.0300491368112957,"Deans","2022-08-16",1
0.0129471097477458,"Deans","2022-08-16",1
0.040655800561485,"Deans","2022-08-16",1
0.0330314079544039,"Deans","2022-08-16",1
0.0170993381714028,"Deans","2022-08-16",1
0.00418182295111491,"Deans","2022-08-16",1
0.0184719580617221,"Deans","2022-08-16",1
0.020647482502393,"Deans","2022-08-16",1
0.024270438045259,"Deans","2022-08-16",1
0.0158174909296141,"Deans","2022-08-16",1
0.028600577297104,"Deans","2022-08-16",1
NA,"Deans","2022-08-16",1
0.000336857822483779,"Deans","2022-08-16",1
0.0200242664649538,"Deans","2022-08-16",1
0.00196826436756879,"Deans","2022-08-16",1
NA,"Deans","2022-08-16",1
0.0306879022584366,"Deans","2022-08-16",1
0.0110289251665925,"Deans","2022-08-16",1
0.00021550120541487,"Deans","2022-08-16",1
0.0144050243498867,"Deans","2022-08-16",1
0.0112778074177823,"Deans","2022-08-16",1
NA,"Deans","2022-08-16",1
0.014111987287786,"Deans","2022-08-16",1
0.0467031317355209,"Deans","2022-08-16",1
0.00196826436756879,"Deans","2022-08-16",1
0.0316340643579692,"Deans","2022-08-16",1
NA,"Deans","2022-08-16",1
NA,"Deans","2022-08-16",1
NA,"Deans","2022-08-16",1
0.010260547458905,"Deans","2022-08-16",1
NA,"Deans","2022-08-16",1
0.0173155192948072,"Deans","2022-08-16",1
0.0746547964290978,"Deans","2022-08-16",1
0.0220482544622044,"Deans","2022-08-16",1
0.00978985268489383,"Deans","2022-08-16",1
0.00643020578658615,"Deans","2022-08-16",1
0.00196826436756879,"Deans","2022-08-16",1
0.0363479238054902,"Deans","2022-08-16",1
0.032911643868335,"Deans","2022-08-16",1
0.0412307592435796,"Deans","2022-08-16",1
0.0323508584144079,"Deans","2022-08-16",1
0.00418182295111491,"Deans","2022-08-16",1
0.00021550120541487,"Deans","2022-08-16",1
0.00730472833395542,"Deans","2022-08-16",1
0.0397757703050369,"Deans","2022-08-16",1
0.0364126448450162,"Deans","2022-08-16",1
0.028336344293999,"Deans","2022-08-16",1
NA,"Deans","2022-08-16",1
0.0645248165311765,"Deans","2022-08-16",1
